block,ch,reading,n,keep,base,pts,delta,p,pf,mde,total
A research,10,align 13>34>89,746,0.5710644805029309,-1.0175449101796392,1.8882841823056316,2.9058290924852708,0.0025,1.0702281445024866,6.898450848862661,1408.6600000000012
A research,10,slow 34>89,829,0.6177894826267947,-1.0175449101796392,1.2407599517490968,2.2583048619287363,0.005,1.0452013426063052,6.603904917476004,1028.5900000000013
A research,10,fast 13>34,1008,0.7377453062611503,-1.0175449101796392,0.8935317460317482,1.9110766562113874,0.0075,1.0319931003910154,6.060905631180452,900.6800000000022
A research,15,align 13>34>89,695,0.6189980210394751,0.9077547495682227,2.722949640287772,1.8151948907195492,0.0275,1.1024065775710412,7.204841027432868,1892.4500000000014
A research,15,slow 34>89,740,0.6485782730965525,0.9077547495682227,3.2613513513513532,2.3535966017831305,0.005,1.1221345149689932,7.082561012209472,2413.4000000000015
A research,15,fast 13>34,943,0.8056452452869493,0.9077547495682227,1.8467974549310737,0.9390427053628511,0.12,1.0671672271231358,6.307278151865761,1741.5300000000025
A research,20,align 13>34>89,668,0.6647199046483909,0.9557305502846313,2.7938323353293435,1.8381017850447123,0.035,1.1056426564745667,7.30256623812139,1866.2800000000013
A research,20,slow 34>89,697,0.6810488676996425,0.9557305502846313,2.5120086083213784,1.5562780580367472,0.07,1.0941694002561213,7.174440541781683,1750.8700000000008
A research,20,fast 13>34,913,0.867222884386174,0.9557305502846313,1.7921467688937573,0.8364162186091261,0.125,1.0653136350191539,6.378134250985309,1636.2300000000005
A research,30,align 13>34>89,639,0.7309397797167787,0.8446982758620704,1.4408294209702666,0.5961311451081962,0.3,1.0535763021068223,7.407568339028826,920.6900000000003
A research,30,slow 34>89,647,0.7356601344585896,0.8446982758620704,1.2231375579598152,0.3784392820977448,0.3875,1.0450905605936638,7.39090809254476,791.3700000000003
A research,30,fast 13>34,870,0.9449291946788728,0.8446982758620704,0.8042528735632191,-0.040445402298851296,0.59,1.0289988536397148,6.489609802119058,699.7000000000006
A research,40,align 13>34>89,630,0.7817324882171298,1.4645248868778291,1.8671428571428585,0.40261797026502943,0.385,1.0697673177215392,7.479189596410641,1176.3000000000009
A research,40,slow 34>89,636,0.7840078010726474,1.4645248868778291,1.6832704402515726,0.21874555337374346,0.4,1.0625262093076775,7.455555919506481,1070.5600000000002
A research,40,fast 13>34,847,0.9795221843003413,1.4645248868778291,1.3865053128689506,-0.07801957400887849,0.5875,1.0506127863473003,6.573755032562799,1174.3700000000013
A research,55,align 13>34>89,603,0.8461969725284993,1.5466834170854284,2.6320563847429543,1.0853729676575259,0.0775,1.1011622830081045,7.5994772928131535,1587.1300000000015
A research,55,slow 34>89,607,0.8478789011399739,1.5466834170854284,2.594678747940693,1.0479953308552645,0.09,1.0993934046960019,7.59154141114977,1574.9700000000007
A research,55,fast 13>34,778,0.991777237899458,1.5466834170854284,1.2022879177377903,-0.34439549934763813,0.955,1.0446139031036281,6.748811732287159,935.3800000000008
B holdout,10,align 13>34>89,331,0.5527845490343146,-3.043215434083588,0.25531722054383066,3.2985326546274187,0.1125,1.007704411689629,12.055930985574761,84.51000000000795
B holdout,10,slow 34>89,371,0.6069754359647478,-3.043215434083588,-0.16035040431266911,2.882865029770919,0.105,0.9951206429038936,11.279371170908101,-59.49000000000024
B holdout,10,fast 13>34,479,0.7239827489218076,-3.043215434083588,-2.786242171189941,0.2569732628936472,0.5625,0.9193756705554864,9.897357063136205,-1334.6099999999817
B holdout,15,align 13>34>89,318,0.6054562127464466,-0.44326086956519833,2.1706918238993986,2.613952693464597,0.0925,1.0667048695095902,12.440939338758053,690.2800000000087
B holdout,15,slow 34>89,346,0.6398441082072444,-0.44326086956519833,2.8880346820809235,3.331295551646122,0.04,1.0902655954443539,11.922733804056506,999.2599999999995
