stop,target,hold_h,n,pts,sd,se,t,sharpe,pf,win,mde,need_n,med_min,trigger,hold_pts
20,20,1.0,1545,-5.312653721682845,19.374416372953753,0.4929063203514899,-10.778221950764213,-4.058119020003595,0.5758799739370326,0.41941747572815535,1.3809190610111894,-1,0.0,donch20 long,-6.35190476190476
20,20,2.0,1533,-5.4537312459230245,19.656945295245055,0.502047665084828,-10.862975022504168,-4.088991126820911,0.5749946115430916,0.4181343770384866,1.4065293172897844,-1,0.0,donch20 long,-6.37719346049046
20,20,4.0,1530,-5.415490196078428,19.750999111789255,0.5049441604499291,-10.724928854020158,-4.0369738122058925,0.5794991565318541,0.4222222222222222,1.4146440958889843,-1,0.0,donch20 long,-6.37719346049046
20,30,1.0,1506,-4.043652058432932,23.337472254687835,0.6013694040976897,-6.72407347443978,-2.6297015410317397,0.7026486881071488,0.3658698539176627,1.6847876331454918,-1,0.0,donch20 long,-4.819944289693591
20,30,2.0,1488,-4.130053763440858,23.787163367803007,0.6166534841768204,-6.697527654374849,-2.6047917385568273,0.7047925244132017,0.3635752688172043,1.7276072859676392,-1,0.0,donch20 long,-4.737552447552446
20,30,4.0,1481,-4.1401012829169455,23.992576589617332,0.6234467431941249,-6.64066550689772,-2.5795026906609886,0.7075492621586777,0.36461850101282917,1.746639180013332,-1,0.0,donch20 long,-4.737552447552446
20,40,1.0,1473,-2.6389477257298015,26.837886923216956,0.6992732987197225,-3.7738431176499487,-1.5013655522803546,0.8127091090604931,0.3428377460964019,1.9590737371142688,-1,0.0,donch20 long,-3.168917378917377
20,40,2.0,1452,-2.69082644628099,27.599537534058623,0.7243000193089967,-3.7150716202494607,-1.4717495783722876,0.8161176822736743,0.3333333333333333,2.029188227575023,-1,0.0,donch20 long,-3.088567335243553
20,40,4.0,1440,-2.7004166666666642,27.988785152920528,0.737569250202775,-3.66123813584183,-1.4510098069632116,0.8189121878254001,0.33055555555555555,2.0663631087027596,-1,0.0,donch20 long,-3.1508321377331403
20,50,1.0,1445,-1.935674740484427,29.842019231602624,0.7850445127967001,-2.4656878800268758,-0.984742523496371,0.8676155077827153,0.3169550173010381,2.1993691026119317,-1,0.0,donch20 long,-2.159710144927532
20,50,2.0,1420,-2.053380281690139,30.748066919588727,0.8159689734899508,-2.5164930878532084,-1.0038981128344548,0.8653615631689672,0.30422535211267604,2.2860066145682585,-1,0.0,donch20 long,-2.519446064139942
20,50,4.0,1407,-1.9957569296375248,31.44925447364352,0.8384232362368212,-2.3803692972481056,-0.9460770964578228,0.8724406637375577,0.2977967306325515,2.3489141451635156,-1,0.0,donch20 long,-2.792189781021896
