,adx>=15,adx>=20,adx>=25,adx>=30,adx<=20,adx<=25,+DI>-DI,-DI>+DI,atr/tod>=1.0,atr/tod>=1.2,atr/tod<=1.0,atr/tod<=0.8,atrpct250>=0.5,atrpct250>=0.8,atrpct250<=0.5,atrpct250<=0.2,ema13>48,ema13<48,ema13x48 fresh<=5,ema13>34>89,d_ema200>=0,d_ema200>=1.0,d_ema200>=2.0,d_ema200<=1.0
adx>=15,1.0,0.4483915778212263,0.2711292806919496,0.19320979935476174,-0.448391577821226,-0.2711292806919494,0.04250718244239803,-0.04250718244239792,0.0228204973901957,-0.0049360172605494405,-0.022820497390195708,-0.041742259206391075,0.15957133665520087,0.10534300800290253,-0.15759505940734966,-0.12134393358538621,0.008099165053460448,-0.00809916505346043,-0.03228341690782692,0.03658248985233868,0.08970383520380147,0.09944990605052506,0.09739753821804326,-0.0994499060505251
adx>=20,0.4483915778212263,1.0,0.6046707701544949,0.43089524627912335,-1.0000000000000004,-0.6046707701544949,0.03901637004092689,-0.039016370040926784,0.047624442664903927,0.01728434625320819,-0.04762444266490415,-0.0681692899471066,0.1685194760041775,0.13619346146036426,-0.17100167547243547,-0.0952758714765757,0.06902081836972428,-0.06902081836972444,-0.12798926863366675,0.1184721957176491,0.13247069985763338,0.11961101655495608,0.13429382318437624,-0.11961101655495618
adx>=25,0.2711292806919496,0.6046707701544949,1.0,0.7126113375201347,-0.604670770154495,-1.0000000000000002,0.05181974292996599,-0.051819742929965835,0.018866815318089664,-0.010272137439044956,-0.018866815318089557,-0.03361441494118066,0.10133166357764793,0.11015119191666367,-0.10094894137290177,-0.06729100513915487,0.12911308827769494,-0.1291130882776951,-0.20529901273995696,0.20371685640197426,0.19070117759298347,0.21048496505891157,0.21835846135760753,-0.21048496505891154
adx>=30,0.19320979935476174,0.43089524627912335,0.7126113375201347,1.0,-0.4308952462791234,-0.7126113375201346,0.04365107994176159,-0.04365107994176147,-0.02002446930966336,-0.04825501437944049,0.020024469309663413,0.0044539001572828935,0.07225580207502104,0.07257991834901548,-0.0719905661888211,-0.03371184054027486,0.14057652356994893,-0.14057652356994874,-0.22134112559574828,0.22826897178175926,0.17174748251618113,0.21207150280937892,0.23584567183282218,-0.21207150280937892
adx<=20,-0.448391577821226,-1.0000000000000004,-0.604670770154495,-0.4308952462791234,1.0,0.604670770154495,-0.03901637004092685,0.03901637004092678,-0.04762444266490459,-0.017284346253208613,0.04762444266490453,0.06816928994710679,-0.1685194760041772,-0.1361934614603643,0.17100167547243528,0.09527587147657554,-0.06902081836972428,0.06902081836972429,0.12798926863366678,-0.11847219571764936,-0.13247069985763318,-0.11961101655495607,-0.1342938231843761,0.11961101655495604
adx<=25,-0.2711292806919494,-0.6046707701544949,-1.0000000000000002,-0.7126113375201346,0.604670770154495,1.0,-0.05181974292996597,0.05181974292996587,-0.018866815318089713,0.010272137439044973,0.018866815318089595,0.033614414941180754,-0.10133166357764795,-0.11015119191666368,0.10094894137290167,0.0672910051391549,-0.12911308827769502,0.12911308827769502,0.20529901273995707,-0.2037168564019743,-0.19070117759298336,-0.21048496505891162,-0.2183584613576077,0.2104849650589115
+DI>-DI,0.04250718244239803,0.03901637004092689,0.05181974292996599,0.04365107994176159,-0.03901637004092685,-0.05181974292996597,1.0,-1.0,-0.008412925388131893,-0.021812182961762072,0.008412925388131902,0.00918395912855039,-0.054040395485701484,-0.07837334633983803,0.054776285334172586,0.02571948936205595,0.1475743413325226,-0.1475743413325226,0.04876027123448725,0.10321554260049585,0.0540316388123896,0.09258504519275716,0.11564089127982743,-0.09258504519275718
-DI>+DI,-0.04250718244239792,-0.039016370040926784,-0.051819742929965835,-0.04365107994176147,0.03901637004092678,0.05181974292996587,-1.0,1.0,0.008412925388130854,0.02181218296176103,-0.008412925388130816,-0.009183959128549543,0.054040395485701394,0.0783733463398381,-0.05477628533417272,-0.02571948936205592,-0.1475743413325226,0.14757434133252254,-0.048760271234487174,-0.10321554260049563,-0.054031638812389454,-0.09258504519275697,-0.11564089127982737,0.09258504519275691
atr/tod>=1.0,0.0228204973901957,0.047624442664903927,0.018866815318089664,-0.02002446930966336,-0.04762444266490459,-0.018866815318089713,-0.008412925388131893,0.008412925388130854,1.0,0.6965724576496041,-0.9999999999999998,-0.6076180280231057,0.1745287535054806,0.13142988285946683,-0.178463318271787,-0.10120672566529876,-0.1056350438808207,0.10563504388082041,0.08773309787827198,-0.19207745993046613,-0.16920024557950333,-0.19580537327662673,-0.2102304124593055,0.19580537327662734
atr/tod>=1.2,-0.0049360172605494405,0.01728434625320819,-0.010272137439044956,-0.04825501437944049,-0.017284346253208613,0.010272137439044973,-0.021812182961762072,0.02181218296176103,0.6965724576496041,1.0,-0.6965724576496037,-0.4232499830922608,0.11691225085242475,0.15116316284202022,-0.11868956561614814,-0.05324302529636351,-0.11458000470889215,0.1145800047088919,0.11247472121638721,-0.19488049724138948,-0.19324649593133497,-0.2051317215642209,-0.21862099022135079,0.20513172156422116
