rule,geom,n,pts,sd,mde,pf,win,be,res_win,amb,flat_sh,tot,kept,ctl_med,p,lift_pts,fam,lift_br
adx>=15,30/150,1046,0.9767304015296385,55.77257804201457,4.831956418579357,1.046190272310386,0.31261950286806883,0.17938888888888888,0.108,0.0076481835564053535,0.2829827915869981,1021.6600000000019,0.9281221922731356,1.4130308905148086,0.8275,-0.48483910519682083,ADX,1.0293465928940022
adx>=20,30/150,801,0.8935205992509385,55.14492295841828,5.459557033472095,1.0426792689108204,0.31335830212234705,0.17938888888888888,0.10460992907801418,0.009987515605493134,0.2958801498127341,715.7100000000017,0.7219227313566936,1.1224322542716203,0.61,-0.5680489074755208,ADX,1.0444009244089532
adx>=25,30/150,528,0.37856060606060715,54.910916264973565,6.695913894645234,1.0179028224621844,0.30303030303030304,0.17938888888888888,0.10160427807486631,0.00946969696969697,0.2916666666666667,199.88000000000056,0.48697214734950584,0.8969291194738782,0.6525,-1.083008900665852,ADX,1.0418611517151857
adx>=30,30/150,346,0.7302312138728344,53.46614419442316,8.05395032910955,1.0353194279220024,0.3265895953757225,0.17938888888888888,0.0847457627118644,0.005780346820809248,0.3179190751445087,252.6600000000007,0.3252470799640611,0.7193109869646204,0.4975,-0.731338292853625,ADX,1.097447161713499
adx<=20,30/150,415,3.9726506024096406,59.486700723822686,8.182084590972632,1.1924888877991715,0.327710843373494,0.17938888888888888,0.14,0.0,0.27710843373493976,1648.6500000000008,0.2780772686433064,0.7258568061945923,0.0525,2.5110810956831813,ADX,0.9006009171637877
adx<=25,30/150,686,1.8863848396501484,56.6464983672998,6.060090948169189,1.091078775969268,0.3206997084548105,0.17938888888888888,0.11934156378600823,0.004373177842565598,0.2915451895043732,1294.0600000000018,0.5130278526504941,0.8808175042512412,0.205,0.424815332923689,ADX,0.9632625357848444
atr/tod>=1.0,30/150,828,2.1302898550724656,59.87891590272937,5.830783168808829,1.0958284098410085,0.29347826086956524,0.17938888888888888,0.12577639751552794,0.00966183574879227,0.2222222222222222,1763.8800000000015,0.6819407008086253,1.113046736108627,0.11,0.6687203483460062,ATR,1.0286146741976974
atr/tod>=1.2,30/150,651,2.4089247311827977,61.864479546919725,6.793897655819964,1.1056887008433067,0.27956989247311825,0.17938888888888888,0.13799621928166353,0.01228878648233487,0.18740399385560677,1568.2100000000012,0.5098831985624438,0.9482070302239871,0.1,0.9473552244563384,ATR,1.0113246223142511
atr/tod<=1.0,30/150,351,-0.17603988603988496,46.0042060684344,6.880375058396712,0.9901692499101087,0.36752136752136755,0.17938888888888888,0.0663265306122449,0.0,0.4415954415954416,-61.78999999999962,0.31805929919137466,0.7062861261033805,0.68,-1.6376093927663442,ATR,0.9437122124137992
atr/tod<=0.8,30/150,185,1.2343243243243267,44.86175264926469,9.241841229042702,1.0755432930722482,0.3891891891891892,0.17938888888888888,0.06521739130434782,0.0,0.5027027027027027,228.35000000000042,0.14690026954177898,0.3350194896315184,0.395,-0.22724518240213265,ATR,0.8816118752700562
