param,don,stop,tgt,cell,atr_u_n,atr_u_days,atr_u_mean,atr_u_sd,atr_u_se,atr_u_n_eff,atr_u_t,atr_u_mde80,atr_u_pf,atr_u_win,pct_n,pct_days,pct_mean,pct_sd,pct_se,pct_n_eff,pct_t,pct_mde80,pct_pf,pct_win,med_min,amb,n_US30,m_US30,n_US100,m_US100,n_NQ,m_NQ
atr,10,0.9676,3.2253,don10 0.9676N/3.2253N,3726,1726,-0.04697413954218425,1.5969616526938444,0.028949075593125928,3043.123478516054,-1.6226473066842397,0.08110330225973651,0.9330657725347727,0.3158883521202362,3726,1726,-0.008245663324996755,0.26556473617174203,0.005049797708325074,2765.6221764317,-1.632870027922701,0.01414743861410427,0.9176112916271283,0.3158883521202362,30.0,0.013150831991411701,1503,-0.01576153910680349,1641,-0.08256934537448883,582,-0.027216073706386085
atr,10,0.9676,4.838,don10 0.9676N/4.838N,3575,1726,-0.05716810949076767,1.8434956297074934,0.034409521195815904,2870.2978503571726,-1.6614038063894694,0.09640120594454271,0.9231639758461837,0.27972027972027974,3575,1726,-0.008888423647125214,0.2968776781846923,0.005814519131240562,2606.9186682157824,-1.5286601430837183,0.016289870848518614,0.9146586141373724,0.27972027972027974,30.0,0.0033566433566433566,1433,-0.031770475815407234,1581,-0.09048784011090177,561,-0.02814193292456356
atr,10,0.9676,1000000000.0,don10 0.9676N/none,3433,1726,-0.05083929933817542,2.249309083996582,0.04217494682676036,2844.390286974961,-1.2054383742795252,0.11815670760455227,0.9344547115107112,0.25662685697640547,3433,1726,-0.009138774740275184,0.325859360098264,0.006490300671622426,2520.7557564621197,-1.4080664675879646,0.01818313042272606,0.9144659785641394,0.25662685697640547,30.0,0.0,1387,-0.03480729857091299,1515,-0.0616546237667523,531,-0.06185844915907748
atr,10,1.6127,3.2253,don10 1.6127N/3.2253N,3426,1726,-0.051898491045651425,1.9809716260808774,0.03736333997244634,2811.027711305746,-1.3890217278199448,0.10467658096613507,0.9428681299590669,0.40863981319322823,3426,1726,-0.009258070195445544,0.324553209253596,0.0064003492855487475,2571.3693628775854,-1.446494524345601,0.01793112394915327,0.9273366380202794,0.40863981319322823,45.0,0.011091652072387624,1385,-0.042762412148317275,1507,-0.05701685477470067,534,-0.061149605527169415
atr,10,1.6127,4.838,don10 1.6127N/4.838N,3257,1726,-0.059656352567423174,2.281045437022395,0.04431601423070634,2649.39362006945,-1.34615789806493,0.12415509039443082,0.9393005749512991,0.3699723672090881,3257,1726,-0.009407699738170024,0.3587373369549516,0.007387228374489131,2358.2514442009506,-1.2735087181896716,0.02069594981679344,0.9299021208797795,0.3699723672090881,60.0,0.0015351550506601166,1310,-0.02601167674470397,1440,-0.08817462800643926,507,-0.06558970305179981
atr,10,1.6127,1000000000.0,don10 1.6127N/none,3079,1726,-0.04100693648054525,2.812032749368277,0.05619104981572371,2504.4159227671134,-0.7297770127987615,0.15742401455398097,0.9606662223091103,0.34556674244884705,3079,1726,-0.00820119679250037,0.39214268637912225,0.008348833531643868,2206.158119495626,-0.9823164830650986,0.02338996861073935,0.9408931489406979,0.34556674244884705,60.0,0.0,1254,-0.039075872958293505,1353,-0.01887240880347416,472,-0.10958653309914895
atr,10,3.2253,3.2253,don10 3.2253N/3.2253N,3199,1726,-0.11278104341767677,2.594071045271236,0.05149947570903136,2537.2199461182017,-2.189945467695287,0.14428016988699013,0.9059917541120073,0.5014066895904971,3199,1726,-0.01598267494252203,0.4080666884560772,0.008440433214675816,2337.3987721752,-1.8935846698878123,0.02364659292870549,0.9002572262439982,0.5014066895904971,75.0,0.002813379180994061,1300,-0.09161466475866659,1403,-0.1202127686890901,496,-0.14723584523404837
atr,10,3.2253,4.838,don10 3.2253N/4.838N,3011,1726,-0.09092461059378541,2.979195604129543,0.06135675351125856,2357.617206148252,-1.4819006122463982,0.17189617366854296,0.931190394721958,0.46529392228495514,3011,1726,-0.014103254967847511,0.44799903334016394,0.009682875867934449,2140.6488167466623,-1.456515105656933,0.02712740190042793,0.9179175753952342,0.46529392228495514,75.0,0.0009963467286615742,1223,-0.052648658162942355,1326,-0.13391819625962467,462,-0.06885100719555617
atr,10,3.2253,1000000000.0,don10 3.2253N/none,2793,1726,-0.0926070163962177,3.5915941623381133,0.07756133235707456,2144.292330971052,-1.193984342221924,0.21729468222872717,0.936118888351237,0.43823845327604727,2793,1726,-0.013885934240545067,0.4940504597613158,0.011215418736562545,1940.490985892792,-1.2381110832069582,0.03142095134730085,0.9239199293352452,0.43823845327604727,90.0,0.0,1152,-0.07417455300778888,1221,-0.06748904404830713,420,-0.21618616415876238
atr,20,0.9676,3.2253,don20 0.9676N/3.2253N,2989,1492,0.0003443785965361638,1.5981465116606277,0.03224486210747032,2456.473787612765,0.01068010759011371,0.09033672904037983,1.0005112795481845,0.3322181331549013,2989,1492,-0.002710771911321484,0.26741497690845484,0.005800708070657914,2125.2471117130713,-0.4673174168225344,0.01625117798534381,0.9721048130877581,0.3322181331549013,30.0,0.009702241552358649,1186,0.047339333938105195,1325,-0.03448261690297146,478,-0.01971890173453763
