tf,entry_n,exit_n,stop,tp_r,chop_max,adx_min,session,vol_policy,side,n,pf,sharpe,sortino,dd,retdd,calmar,win,net,R,top1,score_norobust,market,block,trades_per_year,robust,score
30,40,20,3.0,2.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,123,1.2954981931700391,0.8176169681708304,1.3140236018891136,9.647602111487473,1.939392139809615,0.8837736333309637,0.4065040650406504,18.71048370302945,0.1521177536831662,0.1056854411011224,0.23206397051298933,NQ,train,56.0506329113924,1.0,0.38206397051298935
30,40,20,2.0,2.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,123,1.2954981931700391,0.8176169681708304,1.3140236018891136,9.647602111487473,1.939392139809615,0.8837736333309637,0.4065040650406504,18.71048370302945,0.1521177536831662,0.1056854411011224,0.23206397051298933,NQ,train,56.0506329113924,1.0,0.38206397051298935
30,40,20,2.5,2.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,123,1.2954981931700391,0.8176169681708304,1.3140236018891136,9.647602111487473,1.939392139809615,0.8837736333309637,0.4065040650406504,18.71048370302945,0.1521177536831662,0.1056854411011224,0.23206397051298933,NQ,train,56.0506329113924,1.0,0.38206397051298935
30,40,20,1.5,2.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,123,1.2954981931700391,0.8176169681708304,1.3140236018891136,9.647602111487473,1.939392139809615,0.8837736333309637,0.4065040650406504,18.71048370302945,0.1521177536831662,0.1056854411011224,0.23206397051298933,NQ,train,56.0506329113924,1.0,0.38206397051298935
30,40,20,2.0,2.0,40.0,,"(570, 960)","(2.5, 1.5)",-1,124,1.2846642178494412,0.7937485235018463,1.2777320756247983,9.647602111487474,1.8840432370788835,0.858551348542276,0.4032258064516129,18.176499512175933,0.1465846734852897,0.1087902388490923,0.2248985674615923,NQ,train,56.506329113924046,1.0,0.37489856746159234
30,40,20,1.5,2.0,40.0,,"(570, 960)","(2.5, 1.5)",-1,124,1.2846642178494412,0.7937485235018463,1.2777320756247983,9.647602111487474,1.8840432370788835,0.858551348542276,0.4032258064516129,18.176499512175933,0.1465846734852897,0.1087902388490923,0.2248985674615923,NQ,train,56.506329113924046,1.0,0.37489856746159234
30,40,20,2.5,2.0,40.0,,"(570, 960)","(2.5, 1.5)",-1,124,1.2846642178494412,0.7937485235018463,1.2777320756247983,9.647602111487474,1.8840432370788835,0.858551348542276,0.4032258064516129,18.176499512175933,0.1465846734852897,0.1087902388490923,0.2248985674615923,NQ,train,56.506329113924046,1.0,0.37489856746159234
30,40,20,3.0,2.0,40.0,,"(570, 960)","(2.5, 1.5)",-1,124,1.2846642178494412,0.7937485235018463,1.2777320756247983,9.647602111487474,1.8840432370788835,0.858551348542276,0.4032258064516129,18.176499512175933,0.1465846734852897,0.1087902388490923,0.2248985674615923,NQ,train,56.506329113924046,1.0,0.37489856746159234
15,40,10,2.0,3.0,35.0,,"(570, 960)",,-1,99,1.3051110588071642,0.6866924362579088,1.313014497646693,6.77722267067692,2.0534811705649703,0.9357635713966952,0.4444444444444444,13.916899142961096,0.1405747388177888,0.2132444538239373,0.22327557614745433,NQ,train,45.11392405063291,1.0,0.3732755761474543
15,20,30,1.5,2.0,40.0,20.0,"(480, 720)",,-1,192,1.2059814755452358,0.8448415321156996,2.237772994150627,8.864641582646218,2.7545490502214025,1.255237541873044,0.40625,24.41809005203129,0.1271775523543296,0.0806825467776656,0.24994310253140156,NQ,train,87.49367088607595,0.8,0.36994310253140156
15,30,30,1.5,2.0,40.0,,"(480, 720)",,-1,197,1.202051867147007,0.8338581223798889,2.002354777011367,9.13618194072022,2.6653702967734665,1.214599122580314,0.4010152284263959,24.35130797071384,0.1236107003589535,0.0809038140872609,0.2443086329113271,NQ,train,89.77215189873417,0.8333333333333334,0.3693086329113271
15,30,30,1.5,2.0,40.0,20.0,"(480, 720)",,-1,190,1.2016043070000055,0.8241705395362527,2.1567220549870467,8.827293623325108,2.6807005785291618,1.2215850737601242,0.4052631578947368,23.6633311228944,0.1245438480152336,0.0832559745123192,0.24370211415373041,NQ,train,86.58227848101265,0.8333333333333334,0.36870211415373044
30,40,20,3.0,2.0,40.0,25.0,"(570, 960)","(2.5, 1.5)",-1,122,1.2753538855786826,0.7716586519620798,1.2192607305481762,9.647602111487473,1.7995298363013768,0.8200389127449311,0.4098360655737705,17.36114784838587,0.1423044905605399,0.1138994806471784,0.21707881329670092,NQ,train,55.59493670886076,1.0,0.3670788132967009
30,40,20,2.0,2.0,40.0,25.0,"(570, 960)","(2.5, 1.5)",-1,122,1.2753538855786826,0.7716586519620798,1.2192607305481762,9.647602111487473,1.7995298363013768,0.8200389127449311,0.4098360655737705,17.36114784838587,0.1423044905605399,0.1138994806471784,0.21707881329670092,NQ,train,55.59493670886076,1.0,0.3670788132967009
30,40,20,1.5,2.0,40.0,25.0,"(570, 960)","(2.5, 1.5)",-1,122,1.2753538855786826,0.7716586519620798,1.2192607305481762,9.647602111487473,1.7995298363013768,0.8200389127449311,0.4098360655737705,17.36114784838587,0.1423044905605399,0.1138994806471784,0.21707881329670092,NQ,train,55.59493670886076,1.0,0.3670788132967009
30,40,20,2.5,2.0,40.0,25.0,"(570, 960)","(2.5, 1.5)",-1,122,1.2753538855786826,0.7716586519620798,1.2192607305481762,9.647602111487473,1.7995298363013768,0.8200389127449311,0.4098360655737705,17.36114784838587,0.1423044905605399,0.1138994806471784,0.21707881329670092,NQ,train,55.59493670886076,1.0,0.3670788132967009
15,30,10,2.0,3.0,35.0,,"(570, 960)",,-1,100,1.2985746391829571,0.675247850156437,1.2574217301129642,7.006815087178758,1.9534277066201773,0.8901695878269161,0.44,13.687306726459258,0.1368730672645925,0.216821440183453,0.21663095195298282,NQ,train,45.56962025316455,1.0,0.3666309519529829
15,30,20,1.5,2.0,40.0,,"(480, 720)",,-1,197,1.1905604732709398,0.7783138376572342,1.7606615099187115,8.437075645231836,2.689397285972937,1.2255481303167812,0.3908629441624365,22.690648341834866,0.1151809560499231,0.0868249184934904,0.23649126715311608,NQ,train,89.77215189873417,0.8571428571428571,0.36506269572454464
15,20,20,1.5,2.0,40.0,20.0,"(480, 720)",,-1,192,1.1943448194412407,0.7887511260254225,1.9345616923104705,8.474423604552946,2.6854251669607034,1.223738050766903,0.3958333333333333,22.75743042315232,0.1185282834539183,0.0865701292374365,0.23830693526964222,NQ,train,87.49367088607595,0.8333333333333334,0.3633069352696422
15,40,30,1.5,2.0,40.0,,"(480, 720)",,-1,195,1.1975204184838837,0.8055617498333906,1.836183069745082,9.13618194072022,2.580643799287886,1.1759895794223276,0.4,23.5772312744856,0.1209088783306954,0.0835600104994622,0.23671203981552108,NQ,train,88.86075949367088,0.8333333333333334,0.3617120398155211
30,40,30,3.0,2.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,122,1.265535980371877,0.755879006359399,1.3224009752745078,10.16916648812966,1.7476070763040965,0.7963779081892083,0.3770491803278688,17.77170731476987,0.1456697320882776,0.1112681909704091,0.2111973632018025,NQ,train,55.59493670886076,1.0,0.3611973632018025
30,40,30,2.5,2.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,122,1.265535980371877,0.755879006359399,1.3224009752745078,10.16916648812966,1.7476070763040965,0.7963779081892083,0.3770491803278688,17.77170731476987,0.1456697320882776,0.1112681909704091,0.2111973632018025,NQ,train,55.59493670886076,1.0,0.3611973632018025
30,40,30,2.0,2.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,122,1.265535980371877,0.755879006359399,1.3224009752745078,10.16916648812966,1.7476070763040965,0.7963779081892083,0.3770491803278688,17.77170731476987,0.1456697320882776,0.1112681909704091,0.2111973632018025,NQ,train,55.59493670886076,1.0,0.3611973632018025
30,40,30,1.5,2.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,122,1.265535980371877,0.755879006359399,1.3224009752745078,10.16916648812966,1.7476070763040965,0.7963779081892083,0.3770491803278688,17.77170731476987,0.1456697320882776,0.1112681909704091,0.2111973632018025,NQ,train,55.59493670886076,1.0,0.3611973632018025
15,40,30,1.5,2.0,40.0,20.0,"(480, 720)",,-1,188,1.1969457926505676,0.7953841292917054,1.9514622216735655,8.827293623325108,2.593009296324293,1.181624489464235,0.4042553191489361,22.88925442666616,0.1217513533333306,0.0860715537570795,0.23590434546711753,NQ,train,85.67088607594935,0.8333333333333334,0.3609043454671175
15,30,20,1.5,2.0,40.0,20.0,"(480, 720)",,-1,190,1.189795583254236,0.7676840620077038,1.8607339118353268,8.437075645231836,2.6078551881243475,1.1883897059807151,0.3947368421052631,22.00267149401542,0.1158035341790285,0.0895397494517938,0.2318364647433865,NQ,train,86.58227848101265,0.8571428571428571,0.36040789331481504
15,40,20,1.5,2.0,40.0,,"(480, 720)",,-1,195,1.1858609610454331,0.7500944545684033,1.6178279901725794,8.437075645231836,2.5976502484000665,1.183739353701296,0.3897435897435897,21.91657164560663,0.112392675105675,0.089891508795318,0.22858922184473635,NQ,train,88.86075949367088,0.8571428571428571,0.3571606504161649
30,40,15,2.0,0.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,103,1.3335470729965924,0.6633852839173311,1.214833618227669,11.856808619911572,1.524612876338702,0.6947602980783959,0.3786407766990291,18.0770430942009,0.175505272759232,0.4620842614667848,0.20508887944322185,NQ,train,46.93670886075949,1.0,0.35508887944322187
30,40,15,3.0,0.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,103,1.3335470729965924,0.6633852839173311,1.214833618227669,11.856808619911572,1.524612876338702,0.6947602980783959,0.3786407766990291,18.0770430942009,0.175505272759232,0.4620842614667848,0.20508887944322185,NQ,train,46.93670886075949,1.0,0.35508887944322187
30,40,15,1.5,0.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,103,1.3335470729965924,0.6633852839173311,1.214833618227669,11.856808619911572,1.524612876338702,0.6947602980783959,0.3786407766990291,18.0770430942009,0.175505272759232,0.4620842614667848,0.20508887944322185,NQ,train,46.93670886075949,1.0,0.35508887944322187
30,40,15,2.5,0.0,40.0,20.0,"(570, 960)","(2.5, 1.5)",-1,103,1.3335470729965924,0.6633852839173311,1.214833618227669,11.856808619911572,1.524612876338702,0.6947602980783959,0.3786407766990291,18.0770430942009,0.175505272759232,0.4620842614667848,0.20508887944322185,NQ,train,46.93670886075949,1.0,0.35508887944322187
30,40,20,1.5,2.0,40.0,20.0,"(570, 960)",,-1,128,1.250206059534404,0.7407917971967783,1.2551150411550307,10.077961088923248,1.704119086217189,0.7765605962508709,0.3984375,17.174045841788274,0.1341722331389709,0.1151403543222479,0.20463168502852586,NQ,train,58.32911392405063,1.0,0.3546316850285258
