variant,sig,tf,side,depth,block,signals,fill,n,lim_sig,lim_trd,lim_pf,mkt_sig,mkt_trd,mkt_pf,edge_sig,edge_trd
unconstrained,everybar,5,1,0.25,research,137431,0.026144028639826532,3593,0.01441791675707571,0.5514802999837662,1.010597736449528,-0.003557589824444546,-0.13086807472249423,0.9974995879991115,0.017975506581520258,0.6823483747062604
unconstrained,everybar,5,1,0.5,research,137431,0.02627500345627988,3611,0.002433828061831554,0.0926290291790563,1.0018632741673852,-0.003557589824444546,-0.13086807472249423,0.9974995879991115,0.0059914178862761,0.22349710390155053
unconstrained,everybar,5,1,0.75,research,137431,0.026311385349739144,3616,0.026430861064067536,1.0045408370840336,1.0211195567737807,-0.003557589824444546,-0.13086807472249423,0.9974995879991115,0.029988450888512083,1.1354089118065278
unconstrained,everybar,5,1,1.0,research,137431,0.02759930437819706,3793,-0.008674404325084992,-0.3142979332456513,0.9930730526694304,-0.003557589824444546,-0.13086807472249423,0.9974995879991115,-0.0051168145006404465,-0.18342985852315707
unconstrained,everybar,5,1,0.25,locked,73068,0.026331636284009415,1924,0.011636843438129133,0.44193392741019727,1.005884448818476,-0.07543603671882575,-2.6073606106769915,0.9659401778789077,0.08707288015695488,3.0492945380871888
unconstrained,everybar,5,1,0.5,locked,73068,0.026550610390321343,1940,0.07805915622438858,2.9400136221668167,1.0409345343278833,-0.07543603671882575,-2.6073606106769915,0.9659401778789077,0.15349519294321434,5.547374232843808
unconstrained,everybar,5,1,0.75,locked,73068,0.0266874692067663,1950,-0.04768944421856253,-1.7869601590573985,0.9748931238720463,-0.07543603671882575,-2.6073606106769915,0.9659401778789077,0.02774659250026322,0.8204004516195931
unconstrained,everybar,5,1,1.0,locked,73068,0.027837083264903924,2034,-0.06189178631927784,-2.223357444826447,0.9675343673349454,-0.07543603671882575,-2.6073606106769915,0.9659401778789077,0.01354425039954791,0.3840031658505447
unconstrained,everybar,5,-1,0.25,research,137431,0.0289454344361898,3978,-0.23826196290183152,-8.231417753534844,0.8459789789832514,-0.27365372859911524,-9.023153928767996,0.8304957194015682,0.03539176569728372,0.7917361752331527
unconstrained,everybar,5,-1,0.5,research,137431,0.02727186733706369,3748,-0.19013585133947902,-6.97186771222944,0.8650769750015813,-0.27365372859911524,-9.023153928767996,0.8304957194015682,0.08351787725963622,2.051286216538556
unconstrained,everybar,5,-1,0.75,research,137431,0.027883083147179313,3832,-0.22478694637774074,-8.061767961283739,0.8384789276588326,-0.27365372859911524,-9.023153928767996,0.8304957194015682,0.0488667822213745,0.961385967484258
unconstrained,everybar,5,-1,1.0,research,137431,0.027119063384534785,3727,-0.22260032702746077,-8.208260140518101,0.8283801704117577,-0.27365372859911524,-9.023153928767996,0.8304957194015682,0.05105340157165447,0.8148937882498952
unconstrained,everybar,5,-1,0.25,locked,73068,0.03249028302403241,2374,-0.12677709671061807,-3.9020003801396133,0.9466826082612766,-0.2535654942651669,-7.894130181068264,0.8942500016793795,0.12678839755454882,3.9921298009286508
unconstrained,everybar,5,-1,0.5,locked,73068,0.030437400777358077,2224,-0.13333128046484943,-4.380508093977346,0.9397911127361147,-0.2535654942651669,-7.894130181068264,0.8942500016793795,0.12023421380031746,3.5136220870909183
unconstrained,everybar,5,-1,0.75,locked,73068,0.029465703180598893,2153,-0.15272699897178746,-5.1832124295729525,0.9266633204028949,-0.2535654942651669,-7.894130181068264,0.8942500016793795,0.10083849529337943,2.7109177514953116
unconstrained,everybar,5,-1,1.0,locked,73068,0.029041440849619533,2122,-0.1787061849759633,-6.153488936768937,0.9089139687892879,-0.2535654942651669,-7.894130181068264,0.8942500016793795,0.07485930928920359,1.7406412442993267
unconstrained,everybar,15,1,0.25,research,46134,0.02722504010057658,1256,0.3252611381312082,11.947131645338501,1.1377630090538333,0.23617106626364637,8.064778660997085,1.0925865866512392,0.08909007186756185,3.8823529843414164
unconstrained,everybar,15,1,0.5,research,46134,0.02663978844236355,1229,0.21220537028172873,7.965730311291517,1.0932418535859063,0.23617106626364637,8.064778660997085,1.0925865866512392,-0.02396569598191764,-0.0990483497055683
unconstrained,everybar,15,1,0.75,research,46134,0.02709498417652924,1250,0.2872900423438685,10.603071050793623,1.1321801722261386,0.23617106626364637,8.064778660997085,1.0925865866512392,0.051118976080222145,2.5382923897965384
unconstrained,everybar,15,1,1.0,research,46134,0.02739844799930637,1264,0.13403928160804607,4.892221691222783,1.0632273324107475,0.23617106626364637,8.064778660997085,1.0925865866512392,-0.1021317846556003,-3.172556969774302
unconstrained,everybar,15,1,0.25,locked,24534,0.02983614575690878,732,0.39679085859359475,13.29899853105909,1.1032742971508003,0.2868241654610387,9.332817076155338,1.0723831536035382,0.10996669313255603,3.966181454903751
unconstrained,everybar,15,1,0.5,locked,24534,0.0297546262329828,730,0.3472316611157333,11.669837772347124,1.092249745861195,0.2868241654610387,9.332817076155338,1.0723831536035382,0.060407495654694554,2.337020696191786
unconstrained,everybar,15,1,0.75,locked,24534,0.030814380044020543,756,0.01634844797036196,0.5305460615143656,1.0043963175417543,0.2868241654610387,9.332817076155338,1.0723831536035382,-0.2704757174906768,-8.802271014640972
unconstrained,everybar,15,1,1.0,locked,24534,0.03003994456672373,737,0.014584089201082645,0.4854898839340049,1.0041695803794295,0.2868241654610387,9.332817076155338,1.0723831536035382,-0.27224007625995605,-8.847327192221334
unconstrained,everybar,15,-1,0.25,research,46134,0.03015129839164174,1391,-0.5260303835844219,-17.446359249664788,0.8138858412800016,-0.5314944609721478,-17.871694943505148,0.8135521459404171,0.0054640773877259186,0.42533569384035985
unconstrained,everybar,15,-1,0.5,research,46134,0.0290024710625569,1338,-0.5170569602754607,-17.828031244654785,0.8047210397382304,-0.5314944609721478,-17.871694943505148,0.8135521459404171,0.014437500696687144,0.04366369885036292
unconstrained,everybar,15,-1,0.75,research,46134,0.028200459530931633,1301,-0.565254284438257,-20.04415154363916,0.7727170800809396,-0.5314944609721478,-17.871694943505148,0.8135521459404171,-0.03375982346610917,-2.172456600134012
unconstrained,everybar,15,-1,1.0,research,46134,0.0273334200372827,1261,-0.3794199724645161,-13.881174472385396,0.8310272008029378,-0.5314944609721478,-17.871694943505148,0.8135521459404171,0.15207448850763172,3.9905204711197513
unconstrained,everybar,15,-1,0.25,locked,24534,0.033504524333577895,822,-0.16585298823608458,-4.950166926258028,0.9614743404779096,-0.4947360420091494,-14.518964180206305,0.8892135720358342,0.3288830537730648,9.568797253948278
unconstrained,everybar,15,-1,0.5,locked,24534,0.031058938615798483,762,-0.28197445757054856,-9.078689425243883,0.9269810377013302,-0.4947360420091494,-14.518964180206305,0.8892135720358342,0.21276158443860083,5.440274754962422
unconstrained,everybar,15,-1,0.75,locked,24534,0.028246515040352166,693,-0.3909521462290106,-13.840721436627051,0.8867675453199318,-0.4947360420091494,-14.518964180206305,0.8892135720358342,0.1037838957801388,0.6782427435792542
unconstrained,everybar,15,-1,1.0,locked,24534,0.027716638134833292,680,-0.2916583779474077,-10.522862712590737,0.910769158859843,-0.4947360420091494,-14.518964180206305,0.8892135720358342,0.20307766406174171,3.996101467615569
unconstrained,donch,5,1,0.25,research,14244,0.15964616680707666,2274,-0.048426846008956984,-0.30333860798222656,0.9928523682834179,-0.4554560198963745,-2.711038674218119,0.9374394104437248,0.40702917388741755,2.4077000662358925
unconstrained,donch,5,1,0.5,research,14244,0.15754001684919966,2244,-0.054756336275890445,-0.3475709687672832,0.9913930525806015,-0.4554560198963745,-2.711038674218119,0.9374394104437248,0.4006996836204841,2.3634677054508355
unconstrained,donch,5,1,0.75,research,14244,0.14455209210895817,2059,0.36917692883995934,2.5539369472541917,1.0668910617252385,-0.4554560198963745,-2.711038674218119,0.9374394104437248,0.8246329487363339,5.264975621472311
unconstrained,donch,5,1,1.0,research,14244,0.12257792754844145,1746,-0.0019017154151840462,-0.01551433812937088,0.9995916679478772,-0.4554560198963745,-2.711038674218119,0.9374394104437248,0.4535543044811905,2.695524336088748
unconstrained,donch,5,1,0.25,locked,7674,0.14503518373729476,1113,0.4058785725602629,2.7984835272483894,1.043992297985437,0.16071738771386723,1.0586654363229333,1.0164115946798669,0.24516118484639565,1.7398180909254561
unconstrained,donch,5,1,0.5,locked,7674,0.14060463904091738,1079,0.3539017974268622,2.5169994378625953,1.04150225810969,0.16071738771386723,1.0586654363229333,1.0164115946798669,0.19318440971299494,1.458334001539662
unconstrained,donch,5,1,0.75,locked,7674,0.13356789158196508,1025,0.7583237044485859,5.677440105305802,1.100277630999678,0.16071738771386723,1.0586654363229333,1.0164115946798669,0.5976063167347186,4.618774668982869
