algn,cfrm,entry,stop_k,tp_r,fill,n,R,usd,net,pf,win,avg_w,avg_l,dd,retdd,sharpe,sortino,p90,p10
True,True,close,1.0,1.5,0.672333643246115,6229,-0.2460337023530845,-4.166026620115516,-25950.17981669955,0.7346487511655274,0.40921496227323806,28.185720750389404,-26.57488641560928,26189.196930700127,-0.9908734462292583,-7.602822774725449,-10.548185990567644,35.649823909312246,-34.77754083423962
True,True,close,1.0,2.0,0.6156196041971045,5704,-0.25795867726893085,-4.503850864316203,-25689.965330059626,0.7444573800307956,0.3381837307152875,38.7978613751055,-26.63073905235447,26066.390972488975,-0.9855589658412384,-6.938318845748433,-10.321189255414504,45.14821030060964,-35.82581268017413
True,True,close,1.5,1.5,0.5189268163102669,4839,-0.16011300089170583,-4.260186473571373,-20615.042345611877,0.8091934287126342,0.4077288696011573,44.311470825316476,-37.69768816607163,21181.75372405983,-0.973245304150419,-4.870362669939023,-7.4175149785769205,55.678050615981626,-49.96944194575801
True,True,close,1.5,2.0,0.4490636206667552,4178,-0.1607773971708098,-4.297105549305494,-17953.30698499835,0.8278636821563239,0.340832934418382,60.63463808599443,-37.871108068066235,19254.217826276497,-0.9324350200555654,-3.7162067685902085,-5.83396584143762,69.87146463188955,-51.76429346444667
True,True,edge,1.0,1.5,0.4646035330057112,4286,-0.2535785794139443,-4.42096231146777,-18948.244466950862,0.7190795272683594,0.4062062529164722,27.858885720118515,-26.503168764509702,18910.667738387932,-1.0019870651360794,-6.864787293773608,-10.898250750072432,35.18457229296444,-34.299617760640395
True,True,edge,1.0,2.0,0.43598087395404433,4033,-0.28194722365932645,-4.957068760776676,-19991.858312212335,0.7213332387295941,0.33077113811058767,38.79253049315677,-26.58062022604056,20025.224950470667,-0.9983337696160288,-6.637133388285433,-10.513729463709112,44.037402020669546,-35.53133104444525
True,True,edge,1.5,1.5,0.38557577367512286,3572,-0.18909898959947014,-4.952690724201355,-17691.011266847243,0.780795838725834,0.3964165733482643,44.50185368106633,-37.43304085307847,17637.166174003505,-1.0030529333517935,-4.897842095398574,-7.735520067815043,55.12458449673621,-49.66244127226812
True,True,edge,1.5,2.0,0.3440695975561163,3215,-0.1937116289192465,-5.109803440928533,-16428.018062585234,0.7970197337833286,0.33032659409020215,60.74015720493603,-37.59129819518222,16742.290439186392,-0.9812288302044035,-4.055776787052793,-6.495615190494084,69.14297463340743,-50.93342670873273
True,False,close,1.0,1.5,0.6797847057178806,6019,-0.2517306175469108,-4.2083841980263985,-25330.264487920893,0.7296142311655399,0.40837348396743645,27.807843627441017,-26.30776302279441,25701.925109565218,-0.9855395803987458,-7.531591666320045,-11.002699362551118,34.87217726046918,-34.428331670585905
True,False,close,1.0,2.0,0.6165245351600727,5445,-0.24892810504122628,-4.080172492223755,-22216.539220158345,0.7636572607673476,0.3426997245179063,38.46989393100966,-26.264699998720975,22658.749517345364,-0.9804839054843469,-6.164350145315196,-9.13842896207604,44.29380311330723,-35.24441809914162
True,False,close,1.5,1.5,0.5203411156158255,4620,-0.1675259856104072,-4.2905608336537275,-19822.391051480223,0.8059936357043722,0.40584415584415584,43.92081628165136,-37.22182935503699,21227.602981773587,-0.9338026092018065,-4.78771169768212,-7.4600157320332725,54.471719465320085,-49.29917120449783
True,False,close,1.5,2.0,0.4591080665455054,4072,-0.15340373114621803,-3.680730562386184,-14987.934850036541,0.8492556451868206,0.3443025540275049,60.226991295238335,-37.23826840672685,17204.73268859111,-0.8711518581149138,-3.1347305320593466,-5.077659023359072,70.53261832201869,-50.54931396960921
True,False,edge,1.0,1.5,0.5163567733817979,4527,-0.2510105952785341,-4.275754563842249,-19356.340910513863,0.7252252549058742,0.4079964656505412,27.660018911998975,-26.28522232872238,19868.22603085716,-0.9742359927077389,-6.946249544732053,-10.253219420771433,34.40002402628278,-34.42909634282725
True,False,edge,1.0,2.0,0.4834335243953586,4250,-0.2692393420268667,-4.613436427093472,-19607.104815147257,0.7357047958262003,0.33576470588235297,38.24756592163138,-26.27927077056863,19870.75522569806,-0.9867317367882508,-6.674882272766229,-10.175189723178967,43.57071729303396,-35.19116321279609
