mkt,block,rule,n,usd,mc_mean,p5,p50,p95,p_le0,dd_real,dd50,dd95,dd99,p_ctrl
NQ,research,(no filter -- the base),326,16.962488701332646,17.30590871498715,-7.448253294034011,17.08369143822917,44.10941617558461,0.129,2956.460177780449,3523.207368476015,5601.083134045749,6943.364581717066,
NQ,research,CHOP14 <= 35,138,21.640969330400964,20.14401959649871,-12.92418271522702,19.3446339502469,57.15286047943857,0.174,1422.730187601816,2010.4787029568615,3192.3617092949935,3803.6683872738704,0.5486284289276808
NQ,research,CHOP14 <= 40,197,30.88397549365082,30.847123232324872,-0.32403347349958844,30.500808164023123,64.38587055980419,0.052,1283.3093371952737,2159.8439797428337,3452.7677937946683,4090.8300277503604,0.3541147132169576
NQ,research,CHOP14 <= 45,248,26.835702307120336,26.837942444404906,-1.841281374565738,25.88377539139016,56.624378336017436,0.065,2359.8140454657987,2584.143771659519,4183.674464763393,5398.035149782116,0.49875311720698257
NQ,research,CHOP14 <= 50,288,20.372364154789178,21.11819000711357,-6.6598347720238875,20.769237674569876,48.89178519998472,0.105,3086.3427806825857,3124.3608253152615,5075.497455342575,6303.637194230965,0.6583541147132169
NQ,research,ADX14 >= 20,256,13.07873394157029,12.77136540806534,-13.165286007940391,11.105583472220776,42.899677587299266,0.228,2481.975098666869,3208.8779835695736,5142.912079127901,5829.850991631924,0.830423940149626
NQ,research,ADX14 >= 25,176,33.2421715525385,33.924702311194146,2.727123210324026,33.31653695826962,64.71559766284255,0.038,1619.9524871031826,2018.2284899278666,3236.817218739586,3959.5829894009653,0.341645885286783
NQ,research,ADX14 >= 30,121,39.6766823262927,38.80869915447003,0.24947969095309416,38.60841073353858,77.68548547098466,0.05,1302.6942222238004,1572.6307365601242,2530.2089363869623,3176.0090759242894,0.24189526184538654
NQ,research,+DI > -DI,320,17.5065196744983,17.944756993183855,-6.525937726531081,16.96319444052,43.67964443128081,0.114,3197.6186719595353,3385.484256739273,5483.957983230466,6432.304567029852,0.7406483790523691
NQ,research,RSI14 >= 50,326,16.962488701332646,17.30590871498715,-7.448253294034011,17.08369143822917,44.10941617558461,0.129,2956.460177780449,3523.207368476015,5601.083134045749,6943.364581717066,0.7331670822942643
NQ,research,RSI14 >= 55,326,16.902981036898428,17.247323778534167,-7.508409450845182,16.976565208715808,43.9941455836701,0.129,2956.460177780449,3528.0151114815776,5616.763332010617,6943.364581717066,0.7356608478802993
NQ,research,RSI14 >= 60,317,17.795800084406856,17.523742500567895,-7.570281657985638,17.071447256879082,44.95158947599277,0.155,3270.6803076975193,3411.5413640949137,5476.576873042808,6405.179752482192,0.7381546134663342
NQ,research,close > linreg(9),325,16.45191660904203,16.349819214693117,-8.74851870217275,16.499443962897367,40.27243173917085,0.129,2956.460177780449,3522.823789474224,5461.902617140074,6492.742801848094,0.7655860349127181
NQ,research,linreg(9) slope > 0,325,16.50387818704403,16.126540986468648,-7.7004491190168185,16.228550418962605,41.20035926562184,0.139,3339.518506170658,3424.6892916146094,5259.211143916492,5982.710972798763,0.7630922693266833
NQ,research,close > linreg(21),326,16.21186272075777,16.539663339732336,-8.251617310393453,16.233906062894462,42.689426475055335,0.14,3082.1801709126958,3575.1610860574187,5687.668958117716,6971.732479853054,0.7581047381546134
NQ,research,linreg(21) slope > 0,297,25.143182261872248,25.693577250088396,-2.382078985713569,25.52508234523117,52.989024911903854,0.058,2654.292414747273,2818.915016558768,4630.110125155835,5524.134233263082,0.4688279301745636
NQ,research,close > linreg(50),326,15.950496832707866,16.571523075494923,-6.572854732846367,15.984133769908475,41.92641814276874,0.135,2956.460177780449,3635.4518817421513,5641.164237161583,6376.007142862694,0.7680798004987531
NQ,research,linreg(50) slope > 0,251,25.211812894275727,25.113783766958637,-5.782505701530589,24.57393150120609,54.31703175461624,0.08,2291.9458763092334,2780.386242488725,4420.242812784959,5396.788406892451,0.4937655860349127
NQ,research,linreg 9/21 value state,316,13.412855541096052,13.793291924835142,-11.337954441412535,12.96236831536214,39.56886202495317,0.198,4146.495553215409,3661.514092084966,5835.651159182578,6816.282621157158,0.8503740648379052
NQ,research,linreg 9/21 slope state,316,15.192132939134344,15.519797887930789,-9.682796194697415,15.399808022837972,42.09865784972094,0.161,4120.836244683627,3498.3345717364273,5763.45434956199,6408.257220210303,0.8104738154613467
NQ,research,close > SMA50,324,16.25811049201161,16.69080450676155,-7.832157457772984,16.939375131364635,41.82708807547405,0.144,2985.624725801121,3601.291214678372,5796.549902419361,7219.513861716447,0.7880299251870324
NQ,research,close > EMA50,323,17.531038268489183,17.54387744211385,-7.6412994283276925,17.758560107815534,42.474089253522905,0.128,2985.624725801121,3451.4275253900432,5391.613089287952,6453.29668846766,0.7456359102244389
