mkt,win,cand,n,pf,usd,flat_share
US100L,all hours (as measured),TOP,142,1.5372109889554169,40.381546326662026,0.0
US100L,all hours (as measured),CONSENSUS,179,1.677158965066974,51.3139694551411,0.0
US100L,all hours (as measured),BRIEF,320,1.546831416965578,45.78294411415944,0.0
US100L,08:00-16:00,TOP,91,1.5648649459912514,20.99718539992002,0.8901098901098901
US100L,08:00-16:00,CONSENSUS,111,1.4618513920995309,18.0561658487608,0.8828828828828829
US100L,08:00-16:00,BRIEF,269,1.4249492560159063,19.99820940891375,0.6691449814126395
US100L,09:00-16:00,TOP,83,2.0939439194572023,32.04864037463524,0.9397590361445783
US100L,09:00-16:00,CONSENSUS,99,2.0046920658694027,29.624731573076854,0.9191919191919192
US100L,09:00-16:00,BRIEF,253,1.4015120480332879,18.479295585235025,0.6837944664031621
US100L,09:00-17:00,TOP,89,2.1848593799159195,34.656069431727786,0.9213483146067416
US100L,09:00-17:00,CONSENSUS,106,2.1085298652614886,32.37422210041437,0.8962264150943396
US100L,09:00-17:00,BRIEF,271,1.5063562617588142,22.234832760090292,0.6937269372693727
US100L,10:00-16:00,TOP,78,2.1518733073384473,31.88837876900594,0.9487179487179487
US100L,10:00-16:00,CONSENSUS,91,2.1200434214416224,29.226659275484977,0.945054945054945
US100L,10:00-16:00,BRIEF,210,1.6816355541106236,24.85017246287553,0.7761904761904762
US100L,08:00-20:00,TOP,106,1.4720842334740205,19.351102827563807,0.8867924528301887
US100L,08:00-20:00,CONSENSUS,132,1.384589294140568,16.052664671123544,0.8712121212121212
US100L,08:00-20:00,BRIEF,308,1.4771371500466906,21.776398812542123,0.6948051948051948
US100L,13:00-21:00,TOP,81,1.1259049708685718,5.085716710262748,0.9629629629629629
US100L,13:00-21:00,CONSENSUS,105,1.2007166126785123,7.562372782014783,0.9619047619047619
US100L,13:00-21:00,BRIEF,189,1.6612340219745139,20.248290838336263,0.8624338624338624
US100L,09:00-12:00,TOP,34,1.2519249081678117,6.831404985340704,0.9411764705882353
US100L,09:00-12:00,CONSENSUS,45,1.444332909345328,11.550813201217691,0.9111111111111111
US100L,09:00-12:00,BRIEF,173,0.995404677432663,-0.19250158918753765,0.7398843930635838
US30L,all hours (as measured),TOP,130,1.0616627158867356,29.027578722505172,0.0
US30L,all hours (as measured),CONSENSUS,169,1.0904549194979316,39.86780797349856,0.0
US30L,all hours (as measured),BRIEF,312,1.1971301161148065,77.28875868512245,0.0
US30L,08:00-16:00,TOP,81,1.1522687587750104,36.15591730589273,0.8765432098765432
US30L,08:00-16:00,CONSENSUS,100,1.1286495903255458,29.57207933376169,0.88
US30L,08:00-16:00,BRIEF,260,0.9657110287926384,-8.717827871476851,0.5961538461538461
US30L,09:00-16:00,TOP,77,1.1185889063613905,27.464943316273967,0.8961038961038961
US30L,09:00-16:00,CONSENSUS,97,1.2219970924242252,43.72383359477162,0.9072164948453608
US30L,09:00-16:00,BRIEF,240,0.9302474036399875,-17.626248485908786,0.6083333333333333
US30L,09:00-17:00,TOP,77,1.1661272390756043,38.15325500458556,0.8961038961038961
US30L,09:00-17:00,CONSENSUS,97,1.2680556703683994,52.383627409204614,0.9072164948453608
US30L,09:00-17:00,BRIEF,240,0.9464500881301398,-13.49916515257548,0.6083333333333333
US30L,10:00-16:00,TOP,66,1.0649223197800948,15.15694353521479,0.9242424242424242
US30L,10:00-16:00,CONSENSUS,84,1.1312027499135984,26.148443671154684,0.9285714285714286
US30L,10:00-16:00,BRIEF,192,0.9363574327057558,-14.478141495671835,0.6770833333333334
US30L,08:00-20:00,TOP,98,0.9680904048245984,-8.278950037348471,0.8673469387755102
US30L,08:00-20:00,CONSENSUS,119,0.9563835239888676,-10.907886319842726,0.8739495798319328
US30L,08:00-20:00,BRIEF,293,0.9306965571777716,-17.30592497097839,0.6177474402730375
US30L,13:00-21:00,TOP,64,1.0030911151275916,0.5134467517499175,0.96875
US30L,13:00-21:00,CONSENSUS,87,0.8363869972274541,-26.66526788411843,0.9655172413793104
US30L,13:00-21:00,BRIEF,143,1.040809239532617,7.0617149286120835,0.8461538461538461
US30L,09:00-12:00,TOP,42,0.782897730437166,-42.57162715055521,0.8809523809523809
US30L,09:00-12:00,CONSENSUS,56,1.0595799224641753,9.709694339579574,0.8928571428571429
US30L,09:00-12:00,BRIEF,169,0.7449959591610918,-54.18615631412056,0.6745562130177515
