feat,dir,n,mu,pf,p
p_bull,hi,348,0.10386716478968919,1.4653040298955633,0.0
stack5,hi,426,0.09497219789354783,1.4340270063436737,0.0
inside_va,hi,349,0.06647406455289019,1.2889945405323524,0.005
stack20,hi,702,0.0655396464039018,1.2912460609222158,0.005
lvn_dn,hi,514,0.058724320723952804,1.3199403619884886,0.025
p_nlvn,lo,791,0.05565996083478396,1.250410313912412,0.035
dev_pos,hi,410,0.05575482631311144,1.2805860277883516,0.035
str.sess_pos,hi,410,0.05575482631311144,1.2805860277883516,0.035
mom.roc26,hi,738,0.053625305358822116,1.2564684122669842,0.0525
dev_poc,hi,410,0.05345690725431969,1.2683551160343105,0.055
hvn_dn,hi,492,0.05310052710420215,1.271193996759337,0.0575
hvn_up,lo,435,0.05242078891385755,1.2130531324731022,0.06
below_va,lo,976,0.049813519301496634,1.2307754471084928,0.075
ffd.z,hi,730,0.047116009696326885,1.228723487640717,0.095
p_vaw,hi,737,0.044889768038012756,1.1868554437563499,0.115
str.bar_pos,hi,738,0.04431686073579434,1.209529710287548,0.1175
ffd.z250,hi,727,0.04405762568241706,1.227352308286371,0.12
vol.rng_atr,lo,739,0.04354600215643151,1.1800407240604525,0.125
don.w20,hi,738,0.04369963773704239,1.187573452323452,0.125
don.atr_r78,lo,739,0.04085091799655107,1.1655883772427915,0.15
above_va,hi,627,0.040539946266829406,1.1949336646740538,0.155
d_val,hi,738,0.03896509402250993,1.1873715784455239,0.1875
tod.rng,hi,731,0.03806059595839038,1.125351211031927,0.195
hvn_dn,lo,492,0.03816046613296918,1.1648022314108695,0.195
lvn_dn,lo,515,0.038003661646386556,1.1526971889837614,0.1975
mom.d_ema78,hi,738,0.037547682417604,1.1931280783404419,0.205
don.stop_pct,hi,738,0.037669371857244394,1.1138035005477642,0.205
don.atr_pct,hi,738,0.037669371857244394,1.1138035005477642,0.205
d_poc,hi,738,0.037067629369914756,1.177234351758988,0.2175
hmm.side,hi,738,0.03586266129861303,1.1623555638589278,0.2425
mom.roc78,hi,737,0.03548857300029431,1.1866255586850651,0.2425
str.gap,lo,851,0.03500083685248684,1.1405273187967513,0.25
vol.vov,lo,737,0.034836571101634524,1.1935793132648078,0.2525
