cell,blk,n,net,pf,p
don20 2.0N long,research,1089,0.012052441975848413,1.0613854995513625,0.5375
don20 2.0N long,HOLDOUT,381,0.005474755429702538,1.0300431894763016,0.795
don20 2.0N both,research,1991,0.003990088965263493,1.0185444217121704,0.4425
don20 2.0N both,HOLDOUT,674,0.009309511868314805,1.0523397123960485,0.4625
don20 3.0N long,research,1006,0.019032880864099423,1.0850726919606752,0.3325
don20 3.0N long,HOLDOUT,354,0.021473613133984555,1.1120616796770564,0.53
don20 3.0N both,research,1807,0.008757591780650647,1.0361488472174005,0.29
don20 3.0N both,HOLDOUT,605,0.016125868680068867,1.0802999177100712,0.3625
don55 2.0N long,research,852,0.020823747247298924,1.1115417732939663,0.3075
don55 2.0N long,HOLDOUT,320,0.014236677617096894,1.078457697006967,0.625
don55 2.0N both,research,1587,0.017589344952561092,1.0835503983614274,0.1875
don55 2.0N both,HOLDOUT,576,0.013055655700436828,1.0728079927143859,0.4025
don55 3.0N long,research,788,0.02786711194634582,1.1301499813581128,0.1775
don55 3.0N long,HOLDOUT,299,0.021247801731746622,1.107847892192959,0.51
don55 3.0N both,research,1477,0.020887943333707883,1.0870940538563785,0.15
don55 3.0N both,HOLDOUT,529,0.024323276505798547,1.1238445071234815,0.3075
