model,keep,n,mu,pf,up,ctl,p,thr
ridge,0.7,1034,0.0468501942173167,1.2284547708933262,0.025962250883608814,0.019566866569468856,0.012,-0.059478386681383506
ridge,0.5,739,0.058628221488863035,1.2946519704835995,0.037740278155155155,0.021137742152709534,0.04,0.04799008839247481
ridge,0.3,443,0.06321223221346184,1.3165651120634847,0.04232428887975395,0.024161780176061395,0.092,0.16475654478411234
rf,0.7,1034,0.036224602410250696,1.168250964910049,0.015336659076542813,0.02133580371262782,0.144,0.010096790854615807
rf,0.5,739,0.033524152399941574,1.1457280595501094,0.012636209066233691,0.016649600287934642,0.232,0.032728502583547626
rf,0.3,443,0.04034418669770769,1.1648148322012521,0.019456243363999804,0.01762012497741252,0.28,0.05782977603477571
lgbm,0.7,1034,0.019341915613946947,1.0857824661834266,-0.0015460277197609368,0.02029771361500725,0.536,-0.05887304578430386
lgbm,0.5,739,0.02205916699722535,1.096473332291567,0.0011712236635174657,0.0205461850489343,0.468,0.023511925348273364
lgbm,0.3,443,-0.008920734497180205,0.9662047490273741,-0.029808677830888086,0.023276388179348566,0.836,0.10821856326940794
xgb,0.7,1034,0.027019003355516068,1.1193286313112345,0.006131060021808184,0.022256651823941515,0.348,-0.006995733268558938
xgb,0.5,739,0.034478280455926893,1.1442258638038851,0.01359033712221901,0.01856512754327693,0.204,0.04652738943696022
xgb,0.3,443,-0.027322789230454347,0.8989983883298012,-0.04821073256416223,0.01629586921976614,0.94,0.12162553220987321
