tf,ent,exi,stop,tgt,hold,sess,n,tot,mu,pf,med_hold,cost_risk
15,10,5,0.75,0.0,8,1,5291,-31.010398760782437,-0.0058609712267591076,0.9424369139355241,30.0,0.06230421239951885
15,10,5,0.75,0.0,8,0,15958,-108.78576970428117,-0.00681700524528645,0.9054368305022692,45.0,0.10144803563725108
15,10,5,0.75,0.0,16,1,4933,-25.986162735135615,-0.00526782135315946,0.9500348206319119,30.0,0.06253251117046031
15,10,5,0.75,0.0,16,0,14327,-106.14677408079687,-0.007408862572820331,0.9026221286804162,45.0,0.10194493131949076
15,10,5,0.75,0.0,26,1,4806,-17.172251525699238,-0.0035730860436328,0.9661741105849174,30.0,0.06278022451837453
15,10,5,0.75,0.0,26,0,13468,-99.94445297779899,-0.007420883054484629,0.9036610030877672,45.0,0.10199691392322473
15,10,5,0.75,1.5,8,1,5970,-29.719286157962554,-0.00497810488408083,0.9470686045921611,15.0,0.06101886900664934
15,10,5,0.75,1.5,8,0,18289,-163.54803463470438,-0.00894242630185928,0.8658606470145075,15.0,0.09886672384171018
15,10,5,0.75,1.5,16,1,5905,-29.950419057113525,-0.005072043870806693,0.9470292579622556,15.0,0.06094149149454313
15,10,5,0.75,1.5,16,0,17817,-158.32871401476774,-0.008886384577356892,0.8706972883467388,15.0,0.0981573816043164
15,10,5,0.75,1.5,26,1,5902,-29.374121371141094,-0.004976977528149965,0.9480439603822789,15.0,0.06093208596521113
15,10,5,0.75,1.5,26,0,17684,-161.94788235302696,-0.009157876179203063,0.8677533180542903,15.0,0.09777126725068351
15,10,5,0.75,2.0,8,1,5708,-33.12994044908989,-0.005804124115117359,0.9410625054464359,15.0,0.061476240515361893
15,10,5,0.75,2.0,8,0,17490,-148.44847372148007,-0.008487619995510582,0.8784761988057413,30.0,0.0993207449367278
15,10,5,0.75,2.0,16,1,5604,-33.88272883273047,-0.0060461685997020825,0.9399748955337385,15.0,0.06133770702039554
15,10,5,0.75,2.0,16,0,16833,-144.2372056500568,-0.008568716547855808,0.8820532477177202,30.0,0.0985000449494448
15,10,5,0.75,2.0,26,1,5595,-34.132227894697174,-0.006100487559373936,0.9395276767399123,15.0,0.06131443105875574
15,10,5,0.75,2.0,26,0,16606,-151.1147716660465,-0.009100010337591623,0.8760863763059884,30.0,0.09791993134369018
15,10,5,0.75,3.0,8,1,5460,-29.997410917772438,-0.005494031303621326,0.9457027857134391,30.0,0.06191061049047217
15,10,5,0.75,3.0,8,0,16668,-121.02717535822518,-0.007261049637522509,0.8984959227599711,30.0,0.10010960954349926
15,10,5,0.75,3.0,16,1,5259,-25.03424710595573,-0.004760267561505178,0.9544099143968807,30.0,0.061817590903459695
15,10,5,0.75,3.0,16,0,15705,-122.46763944347698,-0.0077980031482634184,0.8964430350614462,30.0,0.09951908590517186
15,10,5,0.75,3.0,26,1,5228,-19.4573419990161,-0.0037217563119770663,0.9644368696998985,30.0,0.06182158918247817
15,10,5,0.75,3.0,26,0,15345,-118.47045288348075,-0.007720459620950196,0.8986720268722688,30.0,0.09878773957603608
15,10,5,1.0,0.0,8,1,5047,-34.25098566542209,-0.006786404926772754,0.9419934538110926,45.0,0.046984204093449264
15,10,5,1.0,0.0,8,0,15033,-101.62339370073309,-0.006760020867473764,0.9182073226723015,75.0,0.07606283485940739
15,10,5,1.0,0.0,16,1,4626,-8.2810071191677,-0.0017901009769061176,0.9853090663193833,45.0,0.04738414820450242
15,10,5,1.0,0.0,16,0,13183,-74.58042738983997,-0.005657318318276566,0.9363094980250936,75.0,0.07631524620157373
15,10,5,1.0,0.0,26,1,4455,1.8609178180132497,0.00041771443726447806,1.003400314398952,45.0,0.04744195558708292
15,10,5,1.0,0.0,26,0,12249,-67.30077898137156,-0.005494389662941592,0.9390478959814454,75.0,0.0764532633242397
15,10,5,1.0,1.5,8,1,5748,-23.216354845513056,-0.004039031810284108,0.9620839832601585,30.0,0.045906425480907447
15,10,5,1.0,1.5,8,0,17425,-155.36611469972104,-0.00891627630988356,0.881977129788486,30.0,0.07421511368107848
15,10,5,1.0,1.5,16,1,5634,-13.386392051487551,-0.002376001429089022,0.9782128682810717,30.0,0.045781998631982346
15,10,5,1.0,1.5,16,0,16776,-141.53869392811754,-0.008436975079167712,0.8928380574257408,30.0,0.07346518268119506
15,10,5,1.0,1.5,26,1,5627,-13.181558064351169,-0.002342555191816451,0.9785433395678127,30.0,0.04575317236779863
15,10,5,1.0,1.5,26,0,16591,-139.9060070192928,-0.008432644627767633,0.8939658662165432,30.0,0.07302632911329497
15,10,5,1.0,2.0,8,1,5472,-33.36693421610774,-0.0060977584459261215,0.9458119345744643,30.0,0.04635301494116832
15,10,5,1.0,2.0,8,0,16608,-149.86925381434745,-0.009023919425237684,0.8865088062836871,45.0,0.07457075360538168
15,10,5,1.0,2.0,16,1,5310,-22.81453784287636,-0.004296523134251668,0.9629570343384499,30.0,0.04627846469006966
15,10,5,1.0,2.0,16,0,15740,-131.70130985842505,-0.008367300499264615,0.9000764397015895,45.0,0.07383854957908106
15,10,5,1.0,2.0,26,1,5291,-22.806186518538087,-0.004310373562377261,0.962978355637953,30.0,0.04617289492268193
15,10,5,1.0,2.0,26,0,15449,-136.35093524721117,-0.008825874506260028,0.8960965577574942,45.0,0.07330622180738171
15,10,5,1.0,3.0,8,1,5213,-30.535437477671532,-0.005857555625872153,0.9494908908598371,45.0,0.04668975004604193
15,10,5,1.0,3.0,8,0,15762,-126.49388493111458,-0.008025243302316621,0.9021543072544209,45.0,0.07501404416685266
15,10,5,1.0,3.0,16,1,4955,-18.33106963515065,-0.0036995095126439257,0.969393016365095,45.0,0.0464757243242036
15,10,5,1.0,3.0,16,0,14584,-121.52535665384192,-0.008332786386028657,0.905089766271029,45.0,0.07445441121174301
15,10,5,1.0,3.0,26,1,4906,-14.283308664483801,-0.0029113959772694253,0.9761137706238824,45.0,0.04645973924205696
15,10,5,1.0,3.0,26,0,14141,-114.18807386989445,-0.008074964561904706,0.9096380356599426,45.0,0.0737029783237963
15,10,5,1.5,0.0,8,1,4764,-18.6038620313081,-0.0039050927857489717,0.9706559800569616,75.0,0.031596455125680524
15,10,5,1.5,0.0,8,0,14064,-80.7063523045507,-0.005738506278764982,0.938964117330085,105.0,0.050956124070269546
15,10,5,1.5,0.0,16,1,4262,2.294310825180003,0.0005383178848381049,1.003779785201344,75.0,0.03171202088250711
15,10,5,1.5,0.0,16,0,11933,-41.79803201532357,-0.0035027262226869664,0.9663473364089518,105.0,0.05117336334333661
15,10,5,1.5,0.0,26,1,4048,9.023435591807399,0.0022291095829563732,1.0153908904385804,75.0,0.03168919544739371
15,10,5,1.5,0.0,26,0,10933,-31.433837561183136,-0.0028751337749184248,0.9731039861754294,105.0,0.05115128154594628
15,10,5,1.5,1.5,8,1,5484,-11.379444135122839,-0.0020750262828451564,0.9826038767912203,45.0,0.030640088518157936
15,10,5,1.5,1.5,8,0,16462,-113.85229238412072,-0.006916066843890215,0.9179704413008557,45.0,0.04960432605306503
15,10,5,1.5,1.5,16,1,5314,-8.916540903575346,-0.001677933929916324,0.9866640094039859,30.0,0.030521332421321566
15,10,5,1.5,1.5,16,0,15561,-109.54689341902983,-0.007039836348501371,0.9222572215065584,45.0,0.04890278994198872
15,10,5,1.5,1.5,26,1,5295,-8.550001815412624,-0.0016147312210411,0.9872086674515342,30.0,0.030482783855917427
15,10,5,1.5,1.5,26,0,15300,-102.33945647728444,-0.006688853364528395,0.927108303140423,45.0,0.04859583242958004
15,10,5,1.5,2.0,8,1,5201,-21.099133549122236,-0.004056745539150594,0.9681355934827547,45.0,0.03096549251260207
15,10,5,1.5,2.0,8,0,15635,-120.55144810387036,-0.007710358049496025,0.9139702982391908,60.0,0.04980246499400979
15,10,5,1.5,2.0,16,1,4976,-14.486679282642825,-0.002911310145225648,0.9783847298692768,45.0,0.03091303920120038
15,10,5,1.5,2.0,16,0,14514,-106.07811401374428,-0.007308675348886887,0.9249813157331169,60.0,0.04928942922769865
15,10,5,1.5,2.0,26,1,4941,-11.734071522685323,-0.0023748373856881853,0.9824551256693699,45.0,0.03081281738722833
15,10,5,1.5,2.0,26,0,14160,-112.83278450398362,-0.007968416984744606,0.9199500710778593,60.0,0.048885633625341755
15,10,5,1.5,3.0,8,1,4937,-13.80123724921767,-0.0027954703765885494,0.9786633405542773,60.0,0.03123143779869736
15,10,5,1.5,3.0,8,0,14789,-95.19839976355647,-0.006437108645855465,0.9307100531051087,75.0,0.05014924536205836
15,10,5,1.5,3.0,16,1,4609,-12.447080457593866,-0.0027006032669980185,0.9809029798851285,60.0,0.031149104199183385
15,10,5,1.5,3.0,16,0,13306,-86.72813216306199,-0.0065179717543260175,0.9365533161412803,75.0,0.04966114863498182
15,10,5,1.5,3.0,26,1,4533,-5.67552844570325,-0.0012520468664688398,0.9912481208898499,60.0,0.031063843648712522
15,10,5,1.5,3.0,26,0,12804,-84.94625228623966,-0.006634352724636024,0.9370564862004905,75.0,0.04912299044225983
15,10,5,2.5,0.0,8,1,4584,-37.58677604773119,-0.00819955847463595,0.943858814087259,105.0,0.01901456436120348
15,10,5,2.5,0.0,8,0,13400,-112.24661377910779,-0.008376612968590134,0.9190493055184807,120.0,0.03064555487533127
15,10,5,2.5,0.0,16,1,4032,-28.342754878667357,-0.007029453094907579,0.9566517926239015,105.0,0.01912332601349922
15,10,5,2.5,0.0,16,0,11091,-65.71268105839545,-0.005924865301451217,0.9498172340428189,135.0,0.03085130489272815
15,10,5,2.5,0.0,26,1,3768,-20.097290452376914,-0.005333675810078799,0.9681415155283204,105.0,0.019087982521711278
15,10,5,2.5,0.0,26,0,10034,-50.692154608393864,-0.005052038529837937,0.9587590144696104,135.0,0.030721880170985108
15,10,5,2.5,1.5,8,1,5327,-34.15115264164247,-0.006410954128335361,0.9507163803376355,60.0,0.01842552685395144
15,10,5,2.5,1.5,8,0,15777,-121.19581921351522,-0.007681803841891058,0.9155275843244753,60.0,0.029789045839777813
15,10,5,2.5,1.5,16,1,5088,-27.054341926106986,-0.005317284183590209,0.9618685128767651,45.0,0.01832540310189843
15,10,5,2.5,1.5,16,0,14652,-122.92481644133935,-0.008389627111748522,0.9163986032731345,60.0,0.029396855803418935
15,10,5,2.5,1.5,26,1,5045,-30.23585475302515,-0.005993231863830556,0.9575958437105669,60.0,0.018283393440580803
15,10,5,2.5,1.5,26,0,14318,-116.87952932934957,-0.008163118405458135,0.9202989455160693,60.0,0.029102933040684856
