ent,ex,side,entry,exit,pnl,ret,hold_h
198,230,1.0,13828.25,13772.25,-5.047656066385841,-0.004049680906839215,32
522,570,1.0,14752.25,14616.75,-10.129059655137208,-0.009185039570235087,48
621,678,1.0,15198.0,15510.7759375,19.2727771565048,0.020580072213449263,57
900,979,-1.0,14976.75,14853.0,7.2967045826553765,0.008262807351394619,79
1148,1185,1.0,15013.0,14888.5,-9.394490092968361,-0.008292812895490553,37
1260,1304,-1.0,14463.75,14792.250000000002,-23.770713986447483,-0.022711952294529603,44
1304,1388,1.0,14792.25,15138.031060217252,21.877216147718258,0.02337582586944187,84
2568,2611,1.0,16864.75,16878.75,-0.17029904958379438,0.000830133859084814,43
4100,4130,-1.0,17143.75,17436.5,-18.08354711613513,-0.017076193948231788,30
4182,4264,1.0,17856.0,17833.5,-2.2184436819885933,-0.0012600806451612545,82
4565,4681,-1.0,17022.0,17056.0,-2.9373435887199584,-0.0019974151098578474,116
4858,4944,1.0,17365.0,17353.0,-1.6512981717112023,-0.0006910452058739303,86
5083,5207,-1.0,16684.0,16354.766875,18.27556997240261,0.01973346469671544,124
5273,5339,1.0,16969.25,17316.971378364662,19.350873605705814,0.020491263807455473,66
6565,6670,1.0,19204.75,19592.048162683248,19.399427762311113,0.020166790126570078,105
7138,7169,1.0,19956.0,19873.5,-5.296610650076348,-0.004134095009019845,31
8011,8116,-1.0,19528.25,19095.888398000185,21.717673227346136,0.02214031477473999,105
8154,8175,1.0,19419.25,19161.25,-14.971549911482704,-0.013285786011303258,21
8226,8264,1.0,19601.75,19456.0,-8.714471703050107,-0.007435560600456581,38
8358,8405,1.0,19793.25,19786.5,-1.3741144176652018,-0.00034102534955093855,47
9016,9145,1.0,21331.0,21757.138437499998,19.41185481392518,0.019977424288593948,129
9616,9662,-1.0,21245.25,21413.25,-9.293399147449342,-0.007907649945281925,46
9715,9769,-1.0,20679.5,20735.75,-3.846296286620971,-0.002720085108440795,54
9830,9856,1.0,20825.0,20608.75,-11.71694864738304,-0.010384153661464612,26
9867,9921,-1.0,20204.25,19751.69148640601,21.795457579726534,0.022399174114059672,54
9950,9957,1.0,19923.75,19288.75,-34.16261225475024,-0.031871510132379655,7
9957,9981,-1.0,19288.75,19995.25,-37.857402597934914,-0.03662756788283317,24
9981,10082,1.0,19995.25,20427.513559531333,19.943144011984195,0.02161831232574407,101
10098,10216,1.0,21014.75,21296.6475,12.255003522127543,0.013414268549471142,118
10413,10521,-1.0,20297.75,19889.726445312503,19.111186417686554,0.020101910541192813,108
10560,10720,1.0,20740.75,21172.63025801555,20.190212018898197,0.02082278885843336,160
11510,11605,1.0,22051.0,22494.113417968747,19.834176616734315,0.0200949352849642,95
12252,12268,-1.0,22188.0,22671.75,-24.161374844257068,-0.021802325581395277,16
12313,12358,1.0,22738.0,22621.25,-6.346222627370366,-0.005134576479901454,45
12475,12503,1.0,22636.5,22449.5,-9.521493798282636,-0.008260994411680267,28
12643,12669,1.0,22327.25,22124.5,-10.268405159212747,-0.00908083171908769,26
12866,12931,1.0,22578.0,22040.5,-25.012586823532818,-0.023806360173620367,65
13308,13411,-1.0,22331.0,21854.696046814548,20.010122410167607,0.02132927111125571,103
13447,13575,-1.0,21100.5,20650.117340743986,20.432565889882788,0.02134464393052371,128
13667,13686,1.0,20862.0,20389.25,-24.22245924898976,-0.02266081871345027,19
13780,13832,1.0,20969.0,20904.5,-4.074452352714775,-0.0030759692879965828,52
13879,13922,-1.0,20300.5,19894.2919921875,18.94236187550375,0.020009753839191124,43
13935,13957,1.0,20354.0,19835.25,-26.86739225287899,-0.025486390881399257,22
13957,14013,-1.0,19835.25,19424.895456489154,19.46221992672645,0.020688145776375233,56
14074,14177,1.0,19570.75,19984.37642578125,20.274649046679293,0.021134929718138018,103
14182,14262,-1.0,19245.5,18859.24326796675,19.609339670480082,0.020069976463757744,80
14271,14305,1.0,19457.0,19590.195,6.118823995918477,0.006845608264377745,34
14313,14405,1.0,19984.75,20288.521249999998,14.951438487926273,0.015200152616369866,92
14413,14490,1.0,20554.0,20891.9975,16.49231809998831,0.01644436606013433,77
14595,14665,1.0,21677.0,22107.74578125,20.462747610110878,0.01987109753425287,70
14860,14933,1.0,22103.25,22174.657500000005,2.4639059279903766,0.003230633504123004,73
15322,15433,1.0,22757.75,23222.95967136941,21.52711694558632,0.020441813068928782,111
15995,16025,-1.0,23546.75,23763.5,-11.530504790474787,-0.009205091997834147,30
17199,17229,-1.0,24843.5,25258.75,-19.811428091241087,-0.016714633606375928,30
17338,17387,1.0,25479.0,25420.5,-3.617843488512081,-0.002296008477569722,49
17450,17536,1.0,26041.25,26562.51262207031,20.80119907570946,0.02001680495637914,86
17674,17687,-1.0,25290.5,25720.25,-20.074937017886274,-0.01699254660841021,13
17703,17770,1.0,25956.0,25652.499999999996,-13.893994473030354,-0.011692864848204754,67
17791,17811,-1.0,25078.5,25574.5,-22.47660138064634,-0.019777897402157185,20
17842,17866,-1.0,24807.25,25129.75,-14.829825359747925,-0.01300023178707832,24
17878,17893,1.0,25424.5,24659.5,-32.439259308760576,-0.030089087297685335,15
17894,17938,-1.0,24550.5,24904.75,-15.614101184292677,-0.014429441355573225,44
17968,18029,1.0,25354.5,25519.0,5.462164157316768,0.006488000157762963,61
