entry_i,exit_i,side,ent,px,pnl,bars,why
56,64,1,6507.3,6707.403582096087,197.46064137966772,8,stop/trail
68,70,1,7141.1,6602.902291028434,-540.9465094297722,2,stop/trail
86,99,1,7386.7,7111.892724877524,-277.7069936674509,13,stop/trail
174,176,-1,6776.8,7903.036459598206,-1129.172426890126,2,stop/trail
184,198,1,9839.8,11040.94725886128,1196.9711094095092,14,stop/trail
210,223,1,12520.1,12337.954955679255,-187.11665531188086,13,stop/trail
229,268,1,14057.7,15268.286203804235,1204.7210065634733,39,stop/trail
290,297,-1,11343.0,13223.536225232234,-1885.4495324772804,7,stop/trail
305,323,-1,10929.5,12478.244278145303,-1553.4258270009318,18,stop/trail
390,400,1,18596.0,19306.550748430753,702.9702382810666,10,stop/trail
415,432,1,21201.2,20258.704210468582,-950.787770373512,17,stop/trail
