n,net,R,pf,win,dd,top5,R_is,R_oos,n_oos,stop_share,sumR_stop,sumR_tgt,sumR_1530,sumR_1600,stop,tgt,trig,cond
346,3613.0,0.02867557449714216,1.1557327586206896,0.4797687861271676,-3117.5,1.8494326044838085,-0.025561052959518517,0.10038440408749218,149,0.5433526011560693,-154.08748792593954,163.147987794019,-1.3687330213799107,2.229981929311625,0.75,1.5,0.75,True
346,3626.5,0.029848881798685188,1.1555669948308775,0.4884393063583815,-3117.5,1.8425479112091547,-0.027036348876632622,0.10505955591303158,149,0.5433526011560693,-154.08748792593954,163.147987794019,0.0,1.2672132342656048,0.75,1.5,0.75,False
346,2676.5,0.023010239187263186,1.1091335372069318,0.4913294797687861,-3128.5,2.4965439940220437,-0.019104785774463482,0.07869252051249913,149,0.5202312138728323,-159.08748792593954,165.9094814292011,-1.5660574360956294,2.705606691627154,0.75,1.5,1.25,True
346,2666.5,0.02372923829385966,1.1081305758313058,0.5,-3250.0,2.5059066191636976,-0.02058008169157761,0.08231270163031032,149,0.5202312138728323,-159.08748792593954,165.9094814292011,0.0,1.38832294641391,0.75,1.5,1.25,False
346,2676.5,0.02300411593851233,1.1091335372069318,0.4913294797687861,-3128.5,2.4965439940220437,-0.019115540312878695,0.07869252051249913,149,0.5202312138728323,-159.08748792593954,165.90736278513327,-1.5660574360956294,2.705606691627154,0.75,1.5,2.0,True
346,2666.5,0.023723115045108805,1.1081305758313058,0.5,-3250.0,2.5059066191636976,-0.020590836229992825,0.08231270163031032,149,0.5202312138728323,-159.08748792593954,165.90736278513327,0.0,1.38832294641391,0.75,1.5,2.0,False
346,3911.0,0.04557803319651383,1.1546797445075045,0.4682080924855491,-3720.0,1.7478905650728713,-0.02943318998207018,0.14475394572121889,149,0.4797687861271676,-166.0,181.77993522680242,-2.0680182204093547,2.058082479600731,0.75,1.5,off,True
346,3994.0,0.048405158790699586,1.1575355973652033,0.4797687861271676,-3748.5,1.71156735102654,-0.027205888108799123,0.1483741268390301,149,0.4797687861271676,-166.0,181.77993522680242,0.0,0.9682497147796433,0.75,1.5,off,False
346,6443.0,0.10015085216646089,1.2713070574364156,0.4479768786127168,-2487.5,1.2582647834859537,0.10693293057859218,0.09118394312491813,149,0.5780346820809249,-157.6791106042586,188.5025968947236,1.0058143774290509,2.822894181701433,0.75,2.0,0.75,True
346,6418.5,0.10198245396897068,1.2697245393230097,0.4595375722543353,-2487.5,1.2705460777440212,0.10879675302052692,0.09297294448469835,149,0.5780346820809249,-157.6791106042586,188.5025968947236,0.0,4.462442782798873,0.75,2.0,0.75,False
346,6066.5,0.093871603170669,1.2447254830771712,0.4624277456647399,-2216.5,1.3363553943789666,0.11415176785258026,0.0670582310744507,149,0.5578034682080925,-162.57616942778805,189.34599573611854,1.2710450287926267,4.438703359928342,0.75,2.0,1.25,True
346,5965.0,0.09388656834249084,1.2394188123381966,0.47398843930635837,-2216.5,1.3671416596814752,0.11362287131600475,0.06779226172650271,149,0.5578034682080925,-162.57616942778805,189.34599573611854,0.0,5.714926338171334,0.75,2.0,1.25,False
346,4087.5,0.07045300947746119,1.1543239008551527,0.45664739884393063,-2216.5,1.9833639143730888,0.09332520227973816,0.04021259349055809,149,0.5606936416184971,-168.67911060425865,187.34610349473922,1.2710450287926267,4.438703359928342,0.75,2.0,2.0,True
346,3986.0,0.07046797464928306,1.1497820532090786,0.4682080924855491,-2216.5,2.0459106874059207,0.09279630574316261,0.04094662414261009,149,0.5606936416184971,-168.67911060425865,187.34610349473922,0.0,5.714926338171334,0.75,2.0,2.0,False
346,5771.5,0.09680936640684015,1.2116932895629688,0.42485549132947975,-2590.0,1.4497097808195443,0.09170308892645694,0.10356061918291723,149,0.5144508670520231,-178.0,205.32503578874943,1.646032207587516,4.524972780429728,0.75,2.0,off,True
