time,path,side,entry,exit,qty,reason,pts,usd,R,stopPts,tgtPts,trig,lock,action
2023-09-08 10:15:00,parent_no_condition,1,17713.25,17613.25,1,stop,-100.0,-202.5,-1.0,100.0,125.0,1.25,0.0,control
2023-09-11 10:15:00,parent_no_condition,-1,17700.0,17790.75,1,stop,-90.75,-184.0,-1.0,90.75,271.75,0.75,0.1,control
2023-09-12 10:00:00,rc1_direct,1,17803.75,17730.0,2,stop,-73.75,-300.0,-1.0,73.75,221.25,1.25,0.0,direct
2023-09-13 10:16:00,intraday_reverse,1,17626.25,17706.25,1,close1600,80.0,157.5,0.9411764705882353,85.0,255.0,1.25,0.0,h2cap
2023-09-14 10:00:00,rc1_direct,-1,17716.25,17786.5,1,stop,-70.25,-143.0,-1.0,70.25,211.0,0.75,0.1,direct
2023-09-15 10:00:00,parent_no_condition,-1,17654.75,17529.75,1,target,125.0,247.5,1.25,100.0,125.0,1.25,0.0,control
2023-09-18 11:45:00,parent_no_condition,1,17589.25,17552.5,1,cond1530,-36.75,-76.0,-0.3675,100.0,125.0,1.25,0.0,control
2023-09-19 10:00:00,rc1_direct,-1,17464.5,17458.25,1,stop,6.25,10.0,0.1016260162601626,61.5,184.75,0.75,0.1,direct
2023-09-20 11:00:00,parent_no_condition,-1,17515.5,17399.75,1,cond1530,115.75,229.0,1.6654676258992807,69.5,208.0,0.75,0.1,control
2023-09-21 10:01:00,prior_session_reverse,1,17084.75,17090.5,1,stop,5.75,9.0,0.10176991150442478,56.5,169.75,0.75,0.1,h5
2023-09-22 10:30:00,parent_no_condition,1,17097.5,17104.0,1,stop,6.5,10.5,0.09811320754716982,66.25,198.75,0.75,0.1,control
2023-09-25 11:15:00,parent_no_condition,1,17027.0,17082.75,1,close1600,55.75,109.0,0.5575,100.0,125.0,1.25,0.0,control
2023-09-26 10:00:00,parent_no_condition,-1,16918.25,16831.0,2,cond1530,87.25,344.0,1.6009174311926606,54.5,163.0,1.25,0.0,control
2023-09-27 10:16:00,prior_session_reverse,1,16860.0,16865.0,1,stop,5.0,7.5,0.1,50.0,150.0,0.75,0.1,h5
2023-09-28 10:00:00,parent_no_condition,1,16882.5,17077.5,1,target,195.0,387.5,3.0,65.0,195.0,0.75,0.1,control
2023-09-29 10:00:00,rc1_direct,1,17186.25,17137.0,1,stop,-49.25,-101.0,-1.0,49.25,148.25,0.75,0.1,direct
2023-10-02 11:16:00,intraday_reverse,-1,17136.75,17130.25,1,close1600,6.5,10.5,0.065,100.0,125.0,1.25,0.0,h2cap
2023-10-03 10:00:00,parent_no_condition,1,17106.25,17042.5,1,stop,-63.75,-130.0,-1.0,63.75,191.25,0.75,0.1,control
2023-10-05 10:00:00,parent_no_condition,-1,16985.25,17031.25,2,cond1530,-46.0,-189.0,-0.5168539325842697,89.0,267.25,1.25,0.0,control
2023-10-06 10:30:00,parent_no_condition,1,16981.25,17106.25,1,target,125.0,247.5,1.25,100.0,125.0,1.25,0.0,control
2023-10-09 10:00:00,parent_no_condition,1,17197.5,17322.5,1,target,125.0,247.5,1.25,100.0,125.0,1.25,0.0,control
2023-10-10 10:15:00,parent_no_condition,1,17410.5,17416.25,1,stop,5.75,9.0,0.1,57.5,172.5,0.75,0.1,control
2023-10-11 10:15:00,parent_no_condition,-1,17463.0,17495.0,2,cond1530,-32.0,-133.0,-0.3987538940809969,80.25,241.0,1.25,0.0,control
2023-10-12 10:15:00,parent_no_condition,1,17596.0,17533.25,1,stop,-62.75,-128.0,-1.0,62.75,188.5,0.75,0.1,control
2023-10-13 10:16:00,intraday_reverse,1,17440.0,17359.75,1,stop,-80.25,-163.0,-1.0,80.25,241.0,0.75,0.1,h2cap
2023-10-16 10:31:00,prior_session_reverse,1,17449.0,17460.75,1,close1600,11.75,21.0,0.1175,100.0,125.0,1.25,0.0,h5
2023-10-17 10:15:00,parent_no_condition,1,17313.75,17391.0,1,close1600,77.25,152.0,1.4784688995215312,52.25,156.5,0.75,0.1,control
2023-10-18 11:00:00,parent_no_condition,-1,17254.25,17178.75,2,close1600,75.5,297.0,0.8162162162162162,92.5,277.5,1.25,0.0,control
2023-10-20 10:15:00,parent_no_condition,-1,16938.5,16929.25,1,stop,9.25,16.0,0.09893048128342247,93.5,280.25,0.75,0.1,control
2023-10-23 10:16:00,intraday_reverse,-1,16808.0,16908.0,1,stop,-100.0,-202.5,-1.0,100.0,125.0,1.25,0.0,h2cap
2023-10-24 12:30:00,parent_no_condition,-1,16891.25,16985.0,2,stop,-93.75,-380.0,-1.0,93.75,281.25,1.25,0.0,control
2023-10-25 10:15:00,parent_no_condition,-1,16768.5,16643.5,1,target,125.0,247.5,1.25,100.0,125.0,1.25,0.0,control
2023-10-26 10:01:00,prior_session_reverse,1,16481.5,16381.5,1,stop,-100.0,-202.5,-1.0,100.0,125.0,1.25,0.0,h5
2023-10-27 10:15:00,parent_no_condition,1,16508.0,16447.75,1,stop,-60.25,-123.0,-1.0,60.25,181.0,0.75,0.1,control
2023-10-30 10:46:00,intraday_reverse,1,16463.75,16588.75,1,target,125.0,247.5,1.25,100.0,125.0,1.25,0.0,h2cap
2023-10-31 13:01:00,intraday_keep,1,16587.25,16646.5,1,close1600,59.25,116.0,0.5925,100.0,125.0,1.25,0.0,control
2023-11-01 10:30:00,parent_no_condition,1,16780.25,16713.5,1,stop,-66.75,-136.0,-1.0,66.75,200.75,0.75,0.1,control
2023-11-02 10:15:00,parent_no_condition,-1,17025.25,17086.25,2,stop,-61.0,-249.0,-1.0,61.0,182.75,1.25,0.0,control
2023-11-03 10:00:00,parent_no_condition,1,17283.5,17227.5,2,stop,-56.0,-229.0,-1.0,56.0,167.75,1.25,0.0,control
2024-03-11 10:16:00,intraday_keep,-1,19842.75,19942.75,1,stop,-100.0,-202.5,-1.0,100.0,300.0,0.75,0.1,control
2024-03-12 10:31:00,intraday_reverse,-1,20058.25,20158.25,1,stop,-100.0,-202.5,-1.0,100.0,125.0,1.25,0.0,h2cap
2024-03-13 10:00:00,rc1_direct,-1,20035.25,20022.5,1,close1600,12.75,23.0,0.15315315315315314,83.25,249.25,0.75,0.1,direct
2024-03-14 10:00:00,parent_no_condition,-1,19941.5,20019.25,1,stop,-77.75,-158.0,-1.0,77.75,233.5,0.75,0.1,control
2024-03-15 11:45:00,parent_no_condition,-1,19759.0,19791.0,1,cond1530,-32.0,-66.5,-0.32,100.0,300.0,0.75,0.1,control
2024-03-18 10:15:00,parent_no_condition,1,20041.0,19945.75,2,stop,-95.25,-386.0,-1.0,95.25,286.0,1.25,0.0,control
2024-03-19 12:30:00,parent_no_condition,1,19893.25,19976.25,1,close1600,83.0,163.5,0.83,100.0,125.0,1.25,0.0,control
2024-03-20 10:45:00,parent_no_condition,-1,19955.5,20046.5,1,stop,-91.0,-184.5,-1.0,91.0,272.75,0.75,0.1,control
2024-03-21 10:00:00,rc1_direct,-1,20335.75,20264.5,1,close1600,71.25,140.0,1.0594795539033457,67.25,201.5,0.75,0.1,direct
2024-03-22 10:45:00,parent_no_condition,-1,20205.25,20243.75,1,stop,-38.5,-79.5,-1.0,38.5,115.25,0.75,0.1,control
2024-03-25 10:15:00,parent_no_condition,1,20210.5,20203.0,2,close1600,-7.5,-35.0,-0.09090909090909091,82.5,247.5,1.25,0.0,control
2024-03-26 10:46:00,delay_weak,1,20236.75,20218.75,2,cond1530,-18.0,-77.0,-0.32142857142857145,56.0,167.75,1.25,0.0,control
2024-03-27 10:00:00,parent_no_condition,-1,20155.0,20196.5,1,close1600,-41.5,-85.5,-0.415,100.0,300.0,0.75,0.1,control
2024-03-28 11:30:00,parent_no_condition,1,20203.75,20193.75,2,cond1530,-10.0,-45.0,-0.1532567049808429,65.25,196.0,1.25,0.0,control
2024-04-01 11:01:00,intraday_keep,-1,20176.0,20186.25,1,close1600,-10.25,-23.0,-0.1025,100.0,125.0,1.25,0.0,control
2024-04-02 10:15:00,parent_no_condition,-1,19910.0,19996.0,1,stop,-86.0,-174.5,-1.0,86.0,257.75,0.75,0.1,control
2024-04-03 10:15:00,parent_no_condition,1,20052.5,20052.5,2,stop,0.0,-5.0,0.0,61.0,182.75,1.25,0.0,control
2024-04-04 10:00:00,rc1_direct,-1,20207.5,20257.75,1,stop,-50.25,-103.0,-1.0,50.25,151.0,0.75,0.1,direct
2024-04-05 10:00:00,parent_no_condition,1,19899.75,19997.0,2,close1600,97.25,384.0,0.974937343358396,99.75,299.0,1.25,0.0,control
2024-04-09 10:30:00,parent_no_condition,-1,19985.5,19977.75,1,stop,7.75,13.0,0.09967845659163987,77.75,233.5,0.75,0.1,control
2024-04-10 10:45:00,parent_no_condition,1,19904.75,19816.25,2,stop,-88.5,-359.0,-1.0,88.5,265.25,1.25,0.0,control
2024-04-11 10:15:00,parent_no_condition,-1,19905.25,19969.25,2,stop,-64.0,-261.0,-1.0,64.0,192.25,1.25,0.0,control
2024-04-12 10:00:00,rc1_direct,1,20023.75,19966.25,2,stop,-57.5,-235.0,-1.0,57.5,172.5,1.25,0.0,direct
2024-04-15 10:15:00,parent_no_condition,-1,19926.0,19626.0,2,target,300.0,1195.0,3.0,100.0,300.0,1.25,0.0,control
2024-04-16 10:00:00,parent_no_condition,1,19602.5,19536.5,1,stop,-66.0,-134.5,-1.0,66.0,197.75,0.75,0.1,control
2024-04-17 10:00:00,rc1_direct,-1,19578.0,19400.0,2,target,178.0,707.0,2.991596638655462,59.5,178.0,1.25,0.0,direct
2024-04-18 10:46:00,intraday_reverse,-1,19397.25,19272.25,1,target,125.0,247.5,1.25,100.0,125.0,1.25,0.0,h2cap
2024-04-19 10:16:00,intraday_reverse,1,19105.75,19018.5,1,stop,-87.25,-177.0,-1.0,87.25,261.5,0.75,0.1,h2cap
2024-04-22 10:31:00,delay_weak,1,18887.0,19050.25,1,target,163.25,324.0,3.0092165898617513,54.25,163.25,0.75,0.1,control
