fold,selector,cell,n_tr,R_tr,n_te,R_te,usd_te
2024-H1,best,"(1.5, 8.0, 1.25, True)",39,0.11235968742841188,73,0.26674075128312524,4580.5
2024-H1,plateau,"(1.5, 8.0, 1.25, True)",39,0.11235968742841188,73,0.26674075128312524,4580.5
2024-H1,default,"(1.25, 3.0, 1.25, True)",39,0.03595072906020098,73,0.17960145895839372,2644.0
2024-H2,best,"(1.5, 8.0, 2.0, True)",112,0.2131783211438608,83,0.2655468730837052,4708.0
2024-H2,plateau,"(1.5, 8.0, 1.25, True)",112,0.21298305940514467,83,0.27285075097469036,4876.0
2024-H2,default,"(1.25, 3.0, 1.25, True)",112,0.12958022265455874,83,0.2947654719648935,4719.0
2025-H1,best,"(1.5, 8.0, 1.25, True)",195,0.2384652050475667,70,0.2149975910409049,3371.5
2025-H1,plateau,"(1.5, 8.0, 0.75, True)",195,0.22987243382346728,70,0.17764044818376204,3448.5
2025-H1,default,"(1.25, 3.0, 1.25, True)",195,0.1998898415917781,70,0.1654161413751173,2800.0
2025-H2,best,"(0.75, 8.0, 1.25, True)",266,0.2399838091420343,77,0.04041919084986651,591.5
2025-H2,plateau,"(1.5, 8.0, 1.25, True)",265,0.23226621266844852,77,-0.02361026861859194,35.5
2025-H2,default,"(1.25, 3.0, 1.25, True)",265,0.19078358115718846,77,0.03215514200113088,1006.0
