component,n_all,R_all,net_all,pf_all,n_is,R_is,net_is,pf_is,n_oos,R_oos,net_oos,pf_oos
as shipped,342,0.15506899105480124,11020.5,1.3353059299601424,195,0.1998898415917781,7214.5,1.406450704225352,147,0.0956127607506482,3806.0,1.2517695309915988
no profit target,342,0.19132143020643838,13653.5,1.409633674357205,195,0.2356086379449495,8780.0,1.4878048780487805,147,0.1325730934104542,4873.5,1.3178645969214715
no managed stop,342,0.13085773902782644,9573.0,1.2687610544933883,195,0.15845353044535154,6095.0,1.317663000990254,147,0.09425107694335431,3478.0,1.2116601752677703
no 15:30 conditional exit,342,0.1609755313468458,11250.0,1.3389932653337955,195,0.20223243068870395,7143.0,1.3923539589684435,147,0.10624699140356458,4107.0,1.2741472531873708
no kNN direction model,342,0.15463198905158532,11141.0,1.3391166712324598,195,0.19023451842032593,6949.0,1.3882990612427357,147,0.10740414397060286,4192.0,1.2802701076419067
no prior-day override,342,0.15843156415421644,11048.0,1.3340842770528736,195,0.1998898415917781,7214.5,1.406450704225352,147,0.10343589000234889,3833.5,1.2502366265217533
no entry refinement,342,0.11550864050393819,8601.0,1.243519868627812,195,0.21047573858555735,8419.5,1.463360942186511,147,-0.010468122257393448,181.5,1.0105837075048107
no RC1 direct action,342,0.14297335850907472,10421.0,1.3204193955047197,195,0.17948311601907832,6637.5,1.3773450824332008,147,0.09454204752641686,3783.5,1.2533650304694302
no admission geometry,345,0.1295370201796675,10209.5,1.3048430921740168,197,0.13951694834564407,5055.5,1.2653039804780772,148,0.11625292660738784,5154.0,1.3570364725849469
no touch veto,362,0.1464940111858627,10939.0,1.3100975167252522,201,0.203001631942804,7508.5,1.4043349488422185,161,0.07594722999241432,3430.5,1.2053453848916558
no high-ORB regime,342,0.15545641795538603,11047.0,1.3360099765793716,195,0.1934539441558807,6963.5,1.3967806267806269,147,0.10505153626085229,4083.5,1.2664252626084687
first signal only,145,0.14288860648173948,4357.5,1.277124141439837,72,0.1903869927913214,2817.0,1.3991498405951115,73,0.0960408829983162,1540.5,1.177753418334968
SIDE = coin flip,341,0.021313427657777502,3201.0,1.0881150643451931,194,-0.016204015399633693,-1773.5,0.9193643721014823,147,0.0708262436655174,4974.5,1.3470541040220463
SIDE = always long,341,0.17114063218010037,13032.0,1.3616534154768347,194,0.10654389016066954,3186.0,1.1503929759966014,147,0.25639075430098185,9846.0,1.663030303030303
SIDE = always short,342,-0.0023156447962803255,-45.5,0.9987019100466457,195,0.11526848545694947,4580.5,1.2547765386433796,147,-0.1582945930913811,-4626.0,0.7290458618871903
