prior_bars,h2_cap,n_all,R_all,net_all,pf_all,n_is,R_is,net_is,pf_is,n_oos,R_oos,net_oos,pf_oos
1,0,342,0.15506899105480124,11462.0,1.3476546505103202,195,0.1998898415917781,7301.5,1.4097247551976657,147,0.0956127607506482,4160.5,1.274638590005941
1,1,342,0.15506899105480124,11020.5,1.3353059299601424,195,0.1998898415917781,7214.5,1.406450704225352,147,0.0956127607506482,3806.0,1.2517695309915988
1,2,342,0.15506899105480124,11462.0,1.3476546505103202,195,0.1998898415917781,7301.5,1.4097247551976657,147,0.0956127607506482,4160.5,1.274638590005941
1,3,342,0.15506899105480124,11462.0,1.3476546505103202,195,0.1998898415917781,7301.5,1.4097247551976657,147,0.0956127607506482,4160.5,1.274638590005941
2,0,342,0.1620222758495049,11661.0,1.3510816059251232,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.1193918314975098,4583.0,1.3016818615673238
2,1,342,0.1620222758495049,11219.5,1.3388348634935976,195,0.19415907236100893,6991.0,1.389416515805598,147,0.1193918314975098,4228.5,1.2789340017810613
2,2,342,0.1620222758495049,11661.0,1.3510816059251232,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.1193918314975098,4583.0,1.3016818615673238
2,3,342,0.1620222758495049,11661.0,1.3510816059251232,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.1193918314975098,4583.0,1.3016818615673238
3,0,342,0.15546691668600146,11249.5,1.337655516035598,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.10414058772935891,4171.5,1.2727629385032857
3,1,342,0.15546691668600146,10808.0,1.3254049497199976,195,0.19415907236100893,6991.0,1.389416515805598,147,0.10414058772935891,3817.0,1.2501064770828556
3,2,342,0.15546691668600146,11249.5,1.337655516035598,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.10414058772935891,4171.5,1.2727629385032857
3,3,342,0.15546691668600146,11249.5,1.337655516035598,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.10414058772935891,4171.5,1.2727629385032857
4,0,342,0.1668951811789153,12200.0,1.37289482532017,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.13072879491695438,5122.0,1.3485776507417995
4,1,342,0.1668951811789153,11758.5,1.360529825691027,195,0.19415907236100893,6991.0,1.389416515805598,147,0.13072879491695438,4767.5,1.3251602782703586
4,2,342,0.1668951811789153,12200.0,1.37289482532017,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.13072879491695438,5122.0,1.3485776507417995
4,3,342,0.1668951811789153,12200.0,1.37289482532017,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.13072879491695438,5122.0,1.3485776507417995
5,0,342,0.1626475770915291,11707.5,1.3530343007915566,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.12084661397895388,4629.5,1.3057894910664156
5,1,342,0.1626475770915291,11266.0,1.3407743496672717,195,0.19415907236100893,6991.0,1.389416515805598,147,0.12084661397895388,4275.0,1.2829720337580672
5,2,342,0.1626475770915291,11707.5,1.3530343007915566,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.12084661397895388,4629.5,1.3057894910664156
5,3,342,0.1626475770915291,11707.5,1.3530343007915566,195,0.19415907236100893,7078.0,1.3927204128058592,147,0.12084661397895388,4629.5,1.3057894910664156
