model,keep,n,base,filtered,uplift,boot_p,rand_filter_p
ridge,0.8,120,0.11167593678764651,0.13362248956668493,0.021946552779038425,0.1775,0.346
ridge,0.7,105,0.11167593678764651,0.12873200035217022,0.017056063564523716,0.24,0.37
ridge,0.6,90,0.11167593678764651,0.14963143479815794,0.03795549801051143,0.1315,0.262
ridge,0.5,75,0.11167593678764651,0.0703017181324236,-0.04137421865522291,1.0,0.742
ridge,0.4,60,0.11167593678764651,0.03717185370745072,-0.0745040830801958,1.0,0.782
rf,0.8,120,0.11167593678764651,0.11134502708726689,-0.00033090970037961964,1.0,0.576
rf,0.7,105,0.11167593678764651,0.07793490893797018,-0.03374102784967632,1.0,0.78
rf,0.6,90,0.11167593678764651,0.04279480521398002,-0.06888113157366649,1.0,0.888
rf,0.5,75,0.11167593678764651,0.06442951268263825,-0.04724642410500826,1.0,0.752
rf,0.4,60,0.11167593678764651,-0.029419140663569456,-0.14109507745121597,1.0,0.948
lgbm,0.8,120,0.11167593678764651,0.1286449375192212,0.0169690007315747,0.258,0.358
lgbm,0.7,105,0.11167593678764651,0.06856134222495609,-0.043114594562690414,1.0,0.836
lgbm,0.6,90,0.11167593678764651,0.08620590409415607,-0.025470032693490435,1.0,0.668
lgbm,0.5,75,0.11167593678764651,0.10844388532420553,-0.0032320514634409797,1.0,0.548
lgbm,0.4,60,0.11167593678764651,0.06894227636541968,-0.04273366042222683,1.0,0.648
