model,keep,n,base,filtered,uplift,boot_p,rand_filter_p
ridge,0.8,818,-0.01668584840600492,-0.02621195418498297,-0.009526105778978049,1.0,0.976
ridge,0.7,716,-0.01668584840600492,-0.022830215972623764,-0.006144367566618843,1.0,0.822
ridge,0.6,614,-0.01668584840600492,-0.021383591556972812,-0.004697743150967892,1.0,0.72
ridge,0.5,512,-0.01668584840600492,-0.025628850825773635,-0.008943002419768715,1.0,0.826
ridge,0.4,409,-0.01668584840600492,-0.018611910170754867,-0.0019260617647499471,1.0,0.578
rf,0.8,818,-0.01668584840600492,-0.009807379095584353,0.006878469310420568,0.1105,0.074
rf,0.7,716,-0.01668584840600492,-0.01435198542223185,0.0023338629837730707,0.3875,0.35
rf,0.6,614,-0.01668584840600492,-0.010956909605564079,0.0057289388004408415,0.2535,0.252
rf,0.5,512,-0.01668584840600492,-0.012268434098224154,0.004417414307780766,0.326,0.34
rf,0.4,409,-0.01668584840600492,-0.007194873954536906,0.009490974451468015,0.196,0.208
lgbm,0.8,818,-0.01668584840600492,-0.013133534586004877,0.003552313820000043,0.26,0.216
lgbm,0.7,716,-0.01668584840600492,-0.006517085173321965,0.010168763232682955,0.035,0.05
lgbm,0.6,614,-0.01668584840600492,-0.005568894030116655,0.011116954375888265,0.0545,0.086
lgbm,0.5,512,-0.01668584840600492,-0.0002898575974781062,0.016395990808526814,0.0255,0.036
lgbm,0.4,409,-0.01668584840600492,0.0023219596415540405,0.01900780804755896,0.0485,0.05
