model,keep,n,base,filtered,uplift,boot_p,rand_filter_p
ridge,0.8,396,0.024260825431480292,0.03051364882211576,0.006252823390635466,0.0725,0.224
ridge,0.7,346,0.024260825431480292,0.037943118113051955,0.013682292681571662,0.014,0.072
ridge,0.6,297,0.024260825431480292,0.042563307113548554,0.018302481682068262,0.0215,0.052
ridge,0.5,248,0.024260825431480292,0.043462895045724904,0.019202069614244612,0.073,0.11
ridge,0.4,198,0.024260825431480292,0.06084312856654315,0.03658230313506286,0.0315,0.018
rf,0.8,396,0.024260825431480292,0.02818304453582788,0.003922219104347587,0.22,0.284
rf,0.7,346,0.024260825431480292,0.029519155523579966,0.005258330092099674,0.257,0.3
rf,0.6,297,0.024260825431480292,0.03304855303297951,0.008787727601499217,0.1925,0.234
rf,0.5,248,0.024260825431480292,0.04105254321060981,0.01679171777912952,0.1085,0.138
rf,0.4,198,0.024260825431480292,0.055954966816593205,0.03169414138511291,0.049,0.032
lgbm,0.8,396,0.024260825431480292,0.01922351086770408,-0.005037314563776211,1.0,0.756
lgbm,0.7,346,0.024260825431480292,0.023755327537907933,-0.000505497893572359,1.0,0.524
lgbm,0.6,297,0.024260825431480292,0.02678340149001903,0.0025225760585387384,0.4195,0.424
lgbm,0.5,248,0.024260825431480292,0.0250336173418179,0.0007727919103376092,0.4745,0.508
lgbm,0.4,198,0.024260825431480292,0.027534745312463076,0.0032739198809827834,0.4175,0.404
