feature,ic,twin,p,h1,h2,stable,nan_pct
ib.range_atr,0.18932219209742654,-0.083568158584826,0.02,0.06603129445234708,0.2735419630156472,True,0.0
ctx.gap,0.19949864438419485,-0.04670963153917952,0.02,0.03678520625889047,0.2868563300142248,False,0.0
ctx.pd_ret,-0.16907595893150806,-0.018374149962220542,0.035,-0.07203413940256045,-0.2735135135135135,False,0.0
ib.edge_bar,0.147981574201867,0.07561542625713419,0.055,0.12460653560104686,0.1356508634955547,True,0.0
regime.ffd_z,-0.17578270785817957,0.0032759693137051626,0.075,,-0.2079089615931721,False,30.0
regime.hmm_mid,-0.1345962042757456,0.10498777723454378,0.085,-0.3171550497866287,-0.021763869132290184,True,0.0
ib.vol_rel,-0.12213802626074918,0.12612489218433612,0.1,-0.38729482907565105,0.07115220483641536,False,1.3333333333333335
ib.cpos,0.13237244564032563,0.03904591566923419,0.125,0.11704541420680861,0.13456710218762968,True,0.0
brk.close_through,0.10654968265395114,-0.13250662258066165,0.18,0.1436456229777058,0.0871977240398293,True,0.0
ctx.pd_cpos,-0.11381138167156964,-0.12245532908607808,0.205,0.052560829025717945,-0.23126600284495022,False,0.0
ctx.pd_range,-0.0997537668340815,-0.02298591048491044,0.225,-0.10139402560455191,-0.09658605974395446,True,0.0
brk.body,0.09153418980463181,-0.1754997943012394,0.25,0.09905962437688745,0.10007254727253254,True,0.0
vol.atr_ratio100,0.08209609315969599,-0.11318369705320237,0.3,0.129701280227596,0.038321479374110956,True,0.0
regime.hmm_side,0.07667470351862696,-0.09161172662084346,0.345,0.11109530583214794,0.019387076776775085,False,0.0
ib.hour_dir,-0.06901419469943558,0.05928201628260034,0.405,-0.09483095917117709,-0.025576466239660763,True,0.0
trend.ema13_48,0.06940930708031469,-0.0493799724432197,0.405,-0.08705547652916074,0.17490753911806542,False,0.0
vol.chop14,-0.06182685777485707,0.02672123511490976,0.42,-0.17123755334281648,0.00455195271670629,False,0.0
ctx.on_range,-0.06997822125427797,0.0705542468554158,0.425,-0.04421052631578947,-0.08304409672830726,True,0.0
trend.adx14,-0.056427396773189926,-0.07356593626383395,0.495,0.04705547652916073,-0.13223328591749645,False,0.0
trend.ema200,0.045219787546113166,-0.0007342548557713678,0.515,0.03817923186344239,0.03675675675675675,False,0.0
trend.er20,-0.034412226687623435,-0.01843639133863686,0.63,0.014509349284501297,-0.08415362731152204,False,0.0
brk.minutes,0.03921319596141845,-0.008343353971329695,0.635,0.10009443157273261,-0.003738451628634748,False,0.0
trend.rsi14,0.04355215787368327,-0.006298946619849771,0.65,-0.1034139402560455,0.13647226173541963,False,0.0
brk.vol_rel,-0.022879239077292324,0.0058295924263300596,0.75,0.12372688477951635,-0.10284495021337127,False,0.0
vol.rv20_rank,-0.032433659950624374,0.04734770544643595,0.77,-0.2606598965236931,0.09709323086446761,False,6.0
ctx.ret5,0.025256666062035187,-0.04673317612914928,0.785,0.09517956312476858,-0.058549075391180656,False,0.6666666666666667
ib.range_rel,-0.018307394310482072,0.08094789028153099,0.825,-0.18786252005430093,0.0811095305832148,False,1.3333333333333335
ctx.ret20,0.01739489844119036,-0.0735632183908046,0.835,0.10628991339340389,-0.07891891891891893,False,3.3333333333333335
brk.dist,0.009502644561980533,-0.08849282190319571,0.89,0.05322901849217638,0.0015362731152204837,False,0.0
trend.slope20,0.0004675763367260768,-0.08643761944975333,0.995,-0.2013371266002845,0.1224466571834993,False,0.0
