feature,ic,twin,p,h1,h2,stable,nan_pct
ib.range_rel,-0.19160004646549378,0.04439102271989028,0.0,-0.1971126371258905,-0.20529628401272573,True,0.4887585532746823
ib.edge_bar,-0.09341093083234481,-0.03239158783844012,0.0,-0.09058590109621634,-0.10141525300986101,True,0.0
ib.vol_rel,-0.26855559121321126,-0.01888641886304053,0.0,-0.1942367377977829,-0.33028534878863824,True,0.4887585532746823
regime.hmm_mid,-0.09063854681967391,-0.0077551003114759735,0.0,-0.14193325874870494,-0.014587517595358259,False,0.0
vol.rv20_rank,-0.12653379204628373,-0.0210317268469906,0.0,-0.0545297517389411,-0.19858688307388475,False,4.887585532746823
ib.range_atr,-0.07797056670406483,0.03164121681869832,0.01,-0.09860342681593184,-0.0643710267392225,True,0.0
trend.ema200,-0.07161058930436555,0.03708543324356819,0.01,-0.03518098163923102,-0.09106152224167725,True,0.0
ib.cpos,-0.07578538091300664,-0.03406554370648554,0.02,-0.0813265533667083,-0.08259266443238579,True,0.0
vol.chop14,0.07593461709180771,-0.03065182569683222,0.02,0.050932127885907084,0.08158853054081243,True,0.0
trend.rsi14,-0.0628760178384916,0.0034554926334712565,0.02,0.0006359178945550822,-0.1129376130108376,False,0.0
ctx.on_range,-0.06536777631477007,-0.0015942900793969616,0.05,0.0288083127086451,-0.11991272416200316,False,0.0
brk.close_through,-0.05306954978071599,-0.008720498794507077,0.075,-0.03602662216792331,-0.08848398627181682,True,0.0
ib.hour_dir,-0.05842884915071345,-0.02593944403273336,0.085,-0.030731031237736666,-0.08909619468983351,True,0.0
trend.slope20,-0.054089348393266026,0.003963313427899983,0.1,0.002577576407275238,-0.09411791107334545,False,0.0
trend.ema13_48,-0.04963587906238701,0.03327056767249542,0.105,-0.006673315730401749,-0.06894546225724128,True,0.0
ctx.gap,-0.05189858189157421,0.061599511298937024,0.125,-0.047376208562411384,-0.03670970280093658,True,0.0
vol.atr_ratio100,-0.04253236217080533,0.03994973486522316,0.17,-0.08412309701277769,-0.0029614382703333675,True,0.0
trend.er20,-0.03648122450199834,0.05856275541823078,0.2,-0.009666078255438392,-0.050711084532298764,True,0.0
brk.minutes,0.032580564203159336,0.018244311517106516,0.31,0.09437538313529975,0.017314916869373493,True,0.0
brk.body,-0.031853076250043494,0.024083694676081263,0.33,0.0071418147029546014,-0.06971159960694481,False,0.0
brk.dist,-0.027882977536714277,-0.04455697617947673,0.345,-0.04124401044664441,-0.06965660798686214,True,0.0
trend.adx14,-0.029320850382494223,0.03589612425108034,0.36,-0.0691850070507655,0.0017277962314461955,False,0.0
regime.hmm_side,0.028400846995523192,0.05056538406916655,0.36,0.014691403102336822,0.05110154869911416,False,0.0
ctx.pd_range,0.024130925450212625,-0.04538207008137686,0.51,0.018190435420743636,0.0239768048832126,True,0.0
brk.vol_rel,-0.023582294485529058,-0.0288584872287567,0.51,-0.10067720630298961,-0.02761416302095321,False,0.0
ctx.ret5,-0.017188794846376036,0.07789989732809204,0.545,-0.03392086279927641,-0.008670899566267265,False,0.39100684261974583
ctx.ret20,0.01757254603098657,0.023652596560735675,0.62,-0.040010543984383404,0.07794502308854327,False,1.270772238514174
regime.ffd_z,0.017190391548404904,0.05482050917818939,0.725,-0.047203604165013666,0.04105100794223,False,28.641251221896386
ctx.pd_ret,-0.007398843596318911,-0.0039712661029402884,0.745,0.0329367951340722,-0.039751562124489305,False,0.0
ctx.pd_cpos,0.0004542434134383033,0.027659995139800886,0.995,0.01521842211585958,-0.014409333339115715,False,0.0
