feature,ic,twin,p,h1,h2,stable,nan_pct
ib.range_rel,-0.25736138080184795,0.014028938233301048,0.0,-0.32834365453688635,-0.24033046427208266,True,0.8080808080808081
ib.vol_rel,-0.30151726349343605,-0.00586966608179856,0.0,-0.33439510488122237,-0.30251632099771686,True,0.8080808080808081
ctx.gap,0.15357150304067937,0.02936192346679024,0.0,0.11948140062365468,0.18866428230880947,True,0.0
ctx.pd_ret,0.12866793118941647,-0.024853969141670932,0.0,0.19379146312745257,0.08652843055649528,True,0.0
trend.ema13_48,0.16048412228472178,0.04949170222265681,0.0,0.18184066027592288,0.15136240403693918,True,0.0
trend.ema200,0.20286874069648944,-0.01801337501665577,0.0,0.21587854726397507,0.1920724559462874,True,0.0
ctx.pd_cpos,0.19792081154130226,-0.019898663202878617,0.0,0.22910334936526947,0.1672098149440844,True,0.0
vol.atr_ratio100,-0.18971717772896413,-0.032691714867058554,0.0,-0.18869315115237492,-0.1995433739660221,True,0.0
vol.rv20_rank,-0.14390026193375713,0.0237573944527195,0.0,-0.1926253579285719,-0.13461940467168917,False,5.252525252525253
brk.body,-0.429279557333999,0.04141321935250114,0.0,-0.42377239384638127,-0.42790449209139186,True,0.0
brk.close_through,-0.4938406604648163,0.014103049008848857,0.0,-0.4781435791883237,-0.5194141158253154,True,0.0
brk.dist,-0.17689572467102116,-0.001733608822329559,0.0,-0.14276394283804497,-0.2080284045939537,True,0.0
regime.hmm_mid,-0.11392422941189266,0.017287261836249613,0.0,-0.235736436716694,0.02035856630125045,False,0.0
regime.hmm_side,0.20338707866638384,0.03204595332026629,0.0,0.21270553739794104,0.21041772610355458,True,0.0
ctx.ret20,0.11602778076637983,-0.05590094210054182,0.005,0.1768824324489937,0.0645727745774793,True,2.4242424242424243
ib.hour_dir,0.1274889560434142,-0.007052183317000478,0.005,0.14674738382072067,0.10931029640217499,True,0.0
regime.ffd_z,0.142333290637178,0.007965154183141157,0.005,0.29548564228292795,0.1008361511869602,True,27.67676767676768
trend.rsi14,0.1275087493595866,0.06769607894182983,0.01,0.10659186926673979,0.1500162855942511,True,0.0
ctx.pd_range,0.11999868707972428,0.0056468433926285385,0.01,0.005036839604132379,0.2161059019937658,True,0.0
ib.edge_bar,0.10322726988001842,-0.006882779945872069,0.01,0.06356354057611839,0.12662843779364502,True,0.0
ib.cpos,0.08225740357717687,-0.0547113624334882,0.055,0.13511453225376854,0.052971288058894575,True,0.0
trend.slope20,0.07020482520957319,0.09808370282301856,0.135,0.040357229387829686,0.10284706804231421,False,0.0
brk.vol_rel,0.05441674166448296,-0.05531817480812963,0.245,0.07653172244653683,0.01811438350654517,False,0.0
ctx.on_range,-0.04789220518885982,-0.012920441508276289,0.295,0.03888559625131796,-0.10032476779260177,False,0.0
trend.er20,0.046065294486453204,-0.025908251365588414,0.35,-0.013601762469948972,0.09192275670320679,False,0.0
ctx.ret5,0.03841128736621196,-0.07201194428047872,0.37,0.09637561932345126,-0.008584947075752402,False,0.6060606060606061
vol.chop14,0.036365723976649424,0.0367713244289392,0.415,0.09733214466457901,-0.0010082122288708826,False,0.0
trend.adx14,-0.030300903864479926,-0.006278469846329709,0.415,-0.036639125970961056,-0.029200778561549318,False,0.0
brk.minutes,-0.03560042806469731,0.002354831178668535,0.47,-0.11972982836239189,0.03338780133649977,False,0.0
ib.range_atr,-0.004235726178356462,0.002380719226532646,0.93,-0.09813157140835208,0.058407064328884026,False,0.0
