condition                                                  keep%   n_res  PF_res  tot_res  R_res | ctlPF  p_res  ||  n_lock PF_lock tot_lock  p_lock (descriptive)
close ABOVE prior RTH high (V17 gate, psh_ok)                 39    319  1.144   +5.86 +0.018 | 1.119  0.345  ||   162  1.034   +0.70  0.708
close BELOW prior RTH high                                    61    514  1.202  +11.72 +0.023 | 1.138  0.155  ||   252  1.209   +7.58  0.158
below prior high AND single print <= 3 ATR above              37    350  1.446  +16.42 +0.047 | 1.114  0.000  ||   187  1.382   +9.93  0.017
below prior high AND NO single print <= 3 ATR above           24    230  1.035   +0.95 +0.004 | 1.095  0.705  ||    94  0.809   -3.09  0.967
below prior high AND single print > 3 ATR above (exists)      20    186  1.021   +0.47 +0.003 | 1.076  0.700  ||    81  0.820   -2.60  0.942
below prior high AND NO single print at all above              4     44  1.092   +0.48 +0.011 | 1.073  0.480  ||    13  0.724   -0.50  0.800
below prior TPO VAH                                           45    393  1.174   +7.91 +0.020 | 1.119  0.285  ||   182  1.237   +6.14  0.075
below prior TPO VAH AND single print <= 3 above               23    235  1.512  +12.78 +0.054 | 1.104  0.000  ||   116  1.766  +10.71  0.000
above prior TPO VAH AND single print <= 3 above               14    151  1.263   +4.37 +0.029 | 1.083  0.140  ||    89  0.887   -1.89  0.883
above prior TPO VAH AND NO single print <= 3 above            41    338  1.117   +5.02 +0.015 | 1.119  0.520  ||   167  1.067   +1.37  0.633
