signal_time,entry_time,block,gate_single_print,entry,stop,target,atr,single_print_dist_atr,exit_reason,R,pct_of_price
2023-01-12 07:30:00,2023-01-12 07:45:00,research,False,14138.75,14103.64,14164.06,11.01,,target,0.6934,0.1722
2023-01-12 08:30:00,2023-01-12 08:45:00,research,True,14089.25,13992.25,14159.19,30.41,0.732,target,0.711,0.4895
2023-01-12 09:00:00,2023-01-12 09:15:00,research,False,14157.25,14025.15,14252.49,41.41,,stop,-1.0073,-0.9399
2023-01-13 10:00:00,2023-01-13 10:15:00,research,True,14163.0,14065.36,14233.4,30.61,2.173,hold cap,0.4791,0.3303
2023-01-16 08:30:00,2023-01-16 08:45:00,research,True,14247.25,14203.57,14278.74,13.69,0.274,stop,-0.2569,-0.0788
2023-01-17 07:15:00,2023-01-17 07:30:00,research,True,14242.25,14194.74,14276.51,14.89,1.712,stop,-0.7729,-0.2578
2023-01-17 09:15:00,2023-01-17 09:30:00,research,True,14257.5,14194.66,14302.81,19.7,0.419,target,0.7056,0.311
2023-01-18 07:00:00,2023-01-18 07:15:00,research,True,14304.75,14261.56,14335.89,13.54,1.274,target,0.6985,0.2109
2023-01-18 09:30:00,2023-01-18 09:45:00,research,False,14353.0,14279.89,14405.71,22.92,,target,0.7077,0.3605
2023-01-19 09:00:00,2023-01-19 09:15:00,research,False,14034.75,13972.26,14079.81,19.59,4.824,target,0.7055,0.3141
2023-01-20 07:00:00,2023-01-20 07:15:00,research,True,14072.75,14020.59,14110.36,16.35,1.865,stop,-0.3157,-0.117
2023-01-20 09:45:00,2023-01-20 10:00:00,research,False,14112.25,14038.82,14165.19,23.02,,target,0.7078,0.3683
2023-01-23 07:30:00,2023-01-23 07:45:00,research,False,14355.25,14307.38,14389.77,15.01,,target,0.7007,0.2337
2023-01-23 09:45:00,2023-01-23 10:00:00,research,False,14454.25,14366.74,14517.34,27.43,,target,0.7099,0.4298
2023-01-23 10:45:00,2023-01-23 11:00:00,research,False,14533.0,14438.35,14601.25,29.67,,target,0.7108,0.4629
2023-01-24 09:30:00,2023-01-24 09:45:00,research,False,14550.0,14489.29,14593.77,19.03,4.007,target,0.705,0.2942
2023-01-26 07:00:00,2023-01-26 07:15:00,research,False,14612.0,14564.27,14646.41,14.96,,target,0.7007,0.2289
2023-01-26 08:30:00,2023-01-26 08:45:00,research,False,14642.5,14574.02,14691.87,21.47,,target,0.7068,0.3306
2023-01-27 07:00:00,2023-01-27 07:15:00,research,True,14718.5,14678.58,14747.29,12.52,2.137,stop,-0.7194,-0.1951
2023-01-27 08:30:00,2023-01-27 08:45:00,research,True,14720.5,14665.93,14759.84,17.11,1.564,target,0.7032,0.2607
2023-01-27 10:00:00,2023-01-27 10:15:00,research,False,14828.5,14737.01,14894.46,28.68,,target,0.7104,0.4383
2023-01-30 07:45:00,2023-01-30 08:00:00,research,False,14743.0,14685.06,14784.78,18.16,12.002,target,0.7043,0.2768
2023-01-30 10:00:00,2023-01-30 10:15:00,research,False,14755.75,14676.2,14813.11,24.94,8.281,stop,-0.5307,-0.2861
2023-01-31 07:30:00,2023-01-31 07:45:00,research,True,14575.25,14516.63,14617.52,18.38,2.245,target,0.7045,0.2833
2023-01-31 08:45:00,2023-01-31 09:00:00,research,False,14655.0,14582.57,14707.22,22.7,5.913,target,0.7076,0.3497
2023-01-31 10:30:00,2023-01-31 10:45:00,research,True,14713.0,14613.79,14784.53,31.1,2.46,hold cap,0.4615,0.3112
2023-02-01 07:00:00,2023-02-01 07:15:00,research,True,14802.75,14761.19,14832.71,13.03,0.115,stop,-0.5467,-0.1535
2023-02-02 07:45:00,2023-02-02 08:00:00,research,False,15266.25,15203.68,15311.36,19.62,,target,0.7055,0.2892
2023-02-02 09:00:00,2023-02-02 09:15:00,research,False,15308.0,15232.36,15362.53,23.71,,target,0.7082,0.3499
2023-02-02 09:45:00,2023-02-02 10:00:00,research,False,15338.0,15240.72,15408.14,30.5,,target,0.711,0.451
