feature,bucket,n,win,pf,usd,d_win,d_pf,mono,p_win,p_pf,ladder
retr_from_high,bottom,995,0.5809045226130654,0.8581723511659064,-4.3008643223977945,0.005371347257615122,-0.002571639825309724,False,0.26,0.6266666666666667,58% 57% 58% 57% 57%
retr_from_low,top,995,0.5809045226130654,0.8581723511659064,-4.3008643223977945,0.005371347257615122,-0.002571639825309724,False,0.23666666666666666,0.5933333333333334,57% 57% 58% 57% 58%
vwap_dist,bottom2,1541,0.5756002595717067,0.8659237957399806,-4.484848961843891,6.708421625645222e-05,0.005179804748764449,False,0.42,0.44333333333333336,56% 58% 57% 57% 57%
ret30,bottom2,1810,0.581767955801105,0.88938998768518,-3.502923203216708,0.006234780445654731,0.028645996693963838,False,0.10666666666666667,0.12,56% 59% 57% 58% 56%
ret5,top,1734,0.5870818915801614,0.9221523813946133,-2.388586150802069,0.011548716224711209,0.061408390403397184,False,0.11666666666666667,0.07666666666666666,55% 56% 60% 57% 59%
pdh_dist,bottom2,1436,0.5814763231197771,0.8946983944417303,-3.316369699908006,0.005943147764326917,0.03395440345051415,False,0.17,0.12333333333333334,58% 58% 58% 54% 58%
pdl_dist,top,743,0.5827725437415882,0.9045654169503174,-2.2336373050755465,0.007239368386137923,0.04382142595910132,False,0.18333333333333332,0.13,57% 56% 58% 57% 58%
orb_pos,top,693,0.5858585858585859,0.8301965610670641,-5.114429908205356,0.010325410503135624,-0.030547429924152047,False,0.13,0.8733333333333333,56% 57% 59% 57% 59%
sess_range_atr,bottom,1003,0.5942173479561316,0.9523470822772733,-1.5201531877556094,0.018684172600681337,0.09160309128605715,False,0.023333333333333334,0.01,59% 58% 56% 58% 57%
hour,top,759,0.5902503293807642,0.8988962512590318,-2.6079993074748455,0.014717154025313928,0.03815226026781571,False,0.07,0.22666666666666666,59% 57% 57% 55% 59%
atr_regime,bottom,866,0.5889145496535797,0.8658918603537541,-2.863869357741643,0.013381374298129467,0.005147869362537971,False,0.043333333333333335,0.4766666666666667,59% 55% 58% 56% 55%
bar_range_atr,top,1679,0.5938058368076236,0.9463440976520998,-1.623329820111024,0.018272661452173322,0.08560010666088369,False,0.023333333333333334,0.023333333333333334,58% 58% 58% 57% 59%
close_pos_bar,top2,2405,0.5762993762993763,0.8662262309687664,-4.214765168205094,0.0007662009439260986,0.005482239977550263,False,0.36666666666666664,0.44,56% 57% 59% 57% 57%
