filters,bars,n,win,pf,usd,ctl_win,ctl_pf,p_win,p_pf,spec
orb_pos:top,6496,505,0.6732673267326733,1.0279645485343627,1.1122821937878027,0.6489490937476958,0.9236771459327464,0.0,0.0033333333333333335,"[('orb_pos', np.float64(1.1666666666666667), inf)]"
pdl_dist:top,6482,532,0.6635338345864662,1.0553127129992559,1.7503247947398237,0.6483475840033275,0.9176774636869358,0.05333333333333334,0.0,"[('pdl_dist', np.float64(13.418365795290393), inf)]"
retr_from_high:bottom2,12989,1207,0.671913835956918,1.0151849587239834,0.6300870307223665,0.6498237367802585,0.9217151410355937,0.0,0.0033333333333333335,"[('retr_from_high', -inf, np.float64(0.32097931264597934))]"
sess_range_atr:bottom,6495,800,0.67125,0.9777328373487476,-1.0251935650270054,0.6493704466265442,0.9211502672225352,0.013333333333333334,0.07,"[('sess_range_atr', -inf, np.float64(4.019970729795332))]"
ret30:top2,12989,1555,0.6636655948553055,0.9744272982248304,-1.101208684582326,0.6503248157865357,0.9200576275020982,0.023333333333333334,0.04,"[('ret30', np.float64(0.5211822831430222), inf)]"
orb_pos:top & pdl_dist:top,3342,261,0.6781609195402298,1.1229524924456669,3.8337146340821278,0.6474150117642503,0.9154056611072137,0.0,0.0,"[('orb_pos', np.float64(1.1666666666666667), inf), ('pdl_dist', np.float64(13.418365795290393), inf)]"
orb_pos:top & retr_from_high:bottom2,6114,484,0.6652892561983471,0.9817469821197947,-0.7471348443717242,0.6476868060324286,0.9150602224600353,0.02666666666666667,0.03666666666666667,"[('orb_pos', np.float64(1.1666666666666667), inf), ('retr_from_high', -inf, np.float64(0.32097931264597934))]"
orb_pos:top & ret30:top2,3970,458,0.6724890829694323,1.0307343427301843,1.2338852118985109,0.6479515075839763,0.9127663293865201,0.01,0.01,"[('orb_pos', np.float64(1.1666666666666667), inf), ('ret30', np.float64(0.5211822831430222), inf)]"
pdl_dist:top & retr_from_high:bottom2,4853,432,0.6736111111111112,1.0805169359996636,2.535291696087506,0.6484591289074424,0.9171051972862931,0.006666666666666667,0.0,"[('pdl_dist', np.float64(13.418365795290393), inf), ('retr_from_high', -inf, np.float64(0.32097931264597934))]"
pdl_dist:top & ret30:top2,3480,450,0.66,1.0515481083380822,1.619434244062727,0.646444283931972,0.9153932772495746,0.15,0.006666666666666667,"[('pdl_dist', np.float64(13.418365795290393), inf), ('ret30', np.float64(0.5211822831430222), inf)]"
retr_from_high:bottom2 & sess_range_atr:bottom,2270,470,0.6851063829787234,1.0896942659350508,3.936681447149534,0.645637361312108,0.9087001681679692,0.01,0.01,"[('retr_from_high', -inf, np.float64(0.32097931264597934)), ('sess_range_atr', -inf, np.float64(4.019970729795332))]"
retr_from_high:bottom2 & ret30:top2,8263,1065,0.676056338028169,1.0418774561865256,1.7205823658248338,0.6486033317019233,0.9172719168284478,0.0,0.0,"[('retr_from_high', -inf, np.float64(0.32097931264597934)), ('ret30', np.float64(0.5211822831430222), inf)]"
sess_range_atr:bottom & ret30:top2,2454,480,0.6916666666666667,1.1060712041516134,4.590826302430811,0.6475302829259941,0.9150793568994755,0.0,0.0,"[('sess_range_atr', -inf, np.float64(4.019970729795332)), ('ret30', np.float64(0.5211822831430222), inf)]"
