n,win,pf,R,pts,sharpe,stop_share,flat_share,chan_share,tgt_share,side,N,adx,gate,stop,exN,tp
314,0.3853503184713376,1.1318495358361342,0.10066885752894612,4.100211361580633,0.5670970872935377,0.5318471337579618,0.37261146496815284,0.09554140127388536,0.0,1,20,0,False,1.5,10,0.0
401,0.5685785536159601,0.9269707209747797,-0.0172084083490989,-1.706051982629336,-0.42758120213395895,0.3940149625935162,0.03740648379052369,0.014962593516209476,0.5536159600997507,1,20,0,False,1.5,10,0.75
385,0.522077922077922,1.0097917204758318,0.018844048292220614,0.24676118663076999,0.0555557647085689,0.43116883116883115,0.07792207792207792,0.015584415584415584,0.4753246753246753,1,20,0,False,1.5,10,1.0
314,0.37261146496815284,1.1034993813189373,0.0970831543494733,3.3720334135863244,0.457635586184805,0.5764331210191083,0.42038216560509556,0.0031847133757961785,0.0,1,20,0,False,1.5,20,0.0
401,0.571072319201995,0.931192059678442,-0.015609252873487696,-1.6043932308895148,-0.40038805811199196,0.40399002493765584,0.04239401496259352,0.0,0.5536159600997507,1,20,0,False,1.5,20,0.75
385,0.5246753246753246,1.0140641601891751,0.020483213710527953,0.3537672982251215,0.07933372993113086,0.44155844155844154,0.08311688311688312,0.0,0.4753246753246753,1,20,0,False,1.5,20,1.0
290,0.46206896551724136,1.1268089779632566,0.0683776349017808,4.689355320034233,0.5433008622366449,0.31724137931034485,0.5,0.18275862068965518,0.0,1,20,0,False,2.5,10,0.0
355,0.5605633802816902,1.0072078483361546,0.01446361123995579,0.22402977402156335,0.03784029688670273,0.2535211267605634,0.18873239436619718,0.09577464788732394,0.4619718309859155,1,20,0,False,2.5,10,0.75
340,0.5264705882352941,1.0685315734296783,0.04643569379100103,2.262440602011502,0.34706917049617925,0.27058823529411763,0.25,0.11470588235294117,0.36470588235294116,1,20,0,False,2.5,10,1.0
290,0.4586206896551724,1.070945637682247,0.05489414355422357,2.8531923834897785,0.3144798398315018,0.39655172413793105,0.5862068965517241,0.017241379310344827,0.0,1,20,0,False,2.5,20,0.0
355,0.571830985915493,0.9948352964612169,0.013267658293923975,-0.1660122197079626,-0.026804799133557936,0.30985915492957744,0.2140845070422535,0.005633802816901409,0.4704225352112676,1,20,0,False,2.5,20,0.75
340,0.538235294117647,1.0523433747593653,0.046621304316704776,1.8062857538735737,0.26407924558767304,0.3323529411764706,0.2852941176470588,0.008823529411764706,0.3735294117647059,1,20,0,False,2.5,20,1.0
189,0.3862433862433862,1.2457288296100928,0.1739464709911361,7.411167616128599,0.7721963470494699,0.5238095238095238,0.3968253968253968,0.07936507936507936,0.0,1,20,0,True,1.5,10,0.0
237,0.5822784810126582,1.0061663474999067,0.012514169546140007,0.13405834669549677,0.027169308094369286,0.379746835443038,0.0379746835443038,0.012658227848101266,0.569620253164557,1,20,0,True,1.5,10,0.75
226,0.5309734513274337,1.0802088516043762,0.04877465032833533,1.9142840495269389,0.339256507538412,0.42035398230088494,0.0752212389380531,0.01327433628318584,0.4911504424778761,1,20,0,True,1.5,10,1.0
189,0.3862433862433862,1.2410635308899869,0.1848929538979403,7.493317093644085,0.7651141270164397,0.5661375661375662,0.42857142857142855,0.005291005291005291,0.0,1,20,0,True,1.5,20,0.0
237,0.5822784810126582,1.0045465780937128,0.011832482442046138,0.09900342697322466,0.020014051064848302,0.3881856540084388,0.04219409282700422,0.0,0.569620253164557,1,20,0,True,1.5,20,0.75
226,0.5309734513274337,1.0786338628889935,0.04801472774717595,1.8794352775887906,0.33222405809740446,0.42920353982300885,0.07964601769911504,0.0,0.4911504424778761,1,20,0,True,1.5,20,1.0
