stop,tgt,be,arm,tr,n_r,pts_r,pf_r,sh_r,dd_r,n_l,pts_l,pf_l,sh_l,dd_l
1.5,0.0,0.0,0.0,1.0,183,-7.45787007697565,0.6472389567426386,-1.638751332666207,1474.3202240865473,94,10.018505994021517,1.4516605595331538,1.1688450640374073,528.1426809673753
1.5,0.0,0.0,1.0,0.75,187,-2.9914589156364704,0.8174605955441246,-0.805339830550555,1093.7308751773041,97,5.721087913767069,1.3469733362862484,1.0589731669110414,327.02641530248195
1.5,0.0,0.0,1.0,1.0,187,-3.968043026466077,0.7581518394841626,-1.0508398978419564,1094.2574958923492,97,3.7564778579542657,1.2273615888965632,0.699452985942411,373.56631055379864
1.5,0.0,0.0,1.0,1.5,187,-5.106343098480433,0.7097007963642437,-1.3225538033936437,1221.8765273594224,96,8.399692800270929,1.4651846486932067,1.1516691462874764,442.3813995169751
1.5,0.0,0.0,1.5,0.75,187,-5.125759198348321,0.7332700810438139,-1.271024060269113,1281.0277771219412,97,7.239175617004425,1.385895840652573,1.1679971983543116,378.8039147460721
1.5,0.0,0.0,1.5,1.0,187,-5.0924395582298,0.7350039402760865,-1.2262938947329207,1192.9948327570223,97,6.6924942957827165,1.3567541180058158,1.0823482821674788,314.8671408565741
1.5,0.0,0.0,1.5,1.5,187,-6.170712864316496,0.6789844289772963,-1.5198697330164888,1309.3859535530107,96,8.684307438680422,1.457827745037111,1.1715004477190911,398.54469015676636
1.5,0.0,1.0,0.0,1.0,185,-4.356912449437943,0.7321722427800348,-1.0597134491646059,1125.4730669663813,95,9.165999417043015,1.5444389363937272,1.2748621307586496,340.69690286433456
1.5,0.0,1.0,1.0,0.75,187,-2.9914589156364704,0.8174605955441246,-0.805339830550555,1093.7308751773041,97,5.721087913767069,1.3469733362862484,1.0589731669110414,327.02641530248195
1.5,0.0,1.0,1.0,1.0,187,-3.516281574712104,0.7854358148821339,-0.9312004882383431,1047.5182404212687,97,4.485193467726371,1.2720186378610623,0.8366904241586507,362.0969590992662
1.5,0.0,1.0,1.0,1.5,187,-4.677714207257011,0.7145649699067286,-1.2686645639204976,1180.2884165184175,96,9.39210330595107,1.5637412838317124,1.3193525471484011,312.4717079952227
1.5,0.0,1.0,1.5,0.75,187,-3.3263377634764804,0.7970262231614509,-0.8917792394547941,1093.0776967506886,97,5.262536532411049,1.319163048270065,0.963371561320194,351.75659157577127
1.5,0.0,1.0,1.5,1.0,187,-3.6196076016061833,0.7791308406384798,-0.9593886268498193,1066.0681677276757,97,5.415022540370028,1.328411040909923,0.9740902463230432,251.91653089540512
1.5,0.0,1.0,1.5,1.5,187,-4.677714207257011,0.7145649699067286,-1.2686645639204976,1180.2884165184175,96,9.39210330595107,1.5637412838317124,1.3193525471484011,312.4717079952227
1.5,0.0,1.5,0.0,1.0,185,-6.393410151394488,0.6657424364327097,-1.4586813033838317,1292.310878007984,95,9.674512774070337,1.5050820780180874,1.224801342789165,416.71932502254185
1.5,0.0,1.5,1.0,0.75,187,-2.9914589156364704,0.8174605955441246,-0.805339830550555,1093.7308751773041,97,5.721087913767069,1.3469733362862484,1.0589731669110414,327.02641530248195
1.5,0.0,1.5,1.0,1.0,187,-3.968043026466077,0.7581518394841626,-1.0508398978419564,1094.2574958923492,97,3.7564778579542657,1.2273615888965632,0.699452985942411,373.56631055379864
1.5,0.0,1.5,1.0,1.5,187,-5.294711302785763,0.6988989244459202,-1.3742791252180908,1207.7993167217962,96,8.689329107273377,1.4815901811460286,1.1899967462992935,437.8010157167066
1.5,0.0,1.5,1.5,0.75,187,-5.125759198348321,0.7332700810438139,-1.271024060269113,1281.0277771219412,97,7.239175617004425,1.385895840652573,1.1679971983543116,378.8039147460721
1.5,0.0,1.5,1.5,1.0,187,-5.0924395582298,0.7350039402760865,-1.2262938947329207,1192.9948327570223,97,6.6924942957827165,1.3567541180058158,1.0823482821674788,314.8671408565741
1.5,0.0,1.5,1.5,1.5,187,-6.359081068621824,0.6690915213855791,-1.5693749685571392,1298.678159832285,96,9.026021484476045,1.4761862456012353,1.2162177505147918,388.49413015343
1.5,1.5,0.0,0.0,1.0,187,-5.853982334069816,0.6953754218417969,-1.5486410125083132,1198.3065361538402,97,7.525156228836291,1.4011404948026904,1.2655503573338087,358.23487975157957
1.5,1.5,0.0,1.0,0.75,187,-3.8923906965883086,0.7624855631642032,-1.1333911816020112,1038.4077265445821,97,5.630510014388794,1.3414799552344636,1.125699087812468,278.34401958787373
1.5,1.5,0.0,1.0,1.0,187,-4.547048122162444,0.722862071608794,-1.3151870746599876,1060.5850458701216,97,5.2534008990127825,1.3179631614175544,1.00533404213318,317.87510203975285
1.5,1.5,0.0,1.0,1.5,187,-4.8723047123067325,0.7229204567714786,-1.3515108921942665,1087.0764509237022,97,6.143323337732113,1.344029157973576,1.076186617155307,402.10580908565146
1.5,1.5,0.0,1.5,0.75,187,-5.853982334069816,0.6953754218417969,-1.5486410125083132,1198.3065361538402,97,7.525156228836291,1.4011404948026904,1.2655503573338087,358.23487975157957
1.5,1.5,0.0,1.5,1.0,187,-5.853982334069816,0.6953754218417969,-1.5486410125083132,1198.3065361538402,97,7.525156228836291,1.4011404948026904,1.2655503573338087,358.23487975157957
1.5,1.5,0.0,1.5,1.5,187,-5.853982334069816,0.6953754218417969,-1.5486410125083132,1198.3065361538402,97,7.525156228836291,1.4011404948026904,1.2655503573338087,358.23487975157957
1.5,1.5,1.0,0.0,1.0,187,-4.198612697302551,0.743799837162925,-1.2153474149477352,1032.3957177054479,97,5.508588501204716,1.334085642328915,1.0690655650563639,319.15534693578763
1.5,1.5,1.0,1.0,0.75,187,-3.8923906965883086,0.7624855631642032,-1.1333911816020112,1038.4077265445821,97,5.630510014388794,1.3414799552344636,1.125699087812468,278.34401958787373
1.5,1.5,1.0,1.0,1.0,187,-4.095286670408471,0.7501048114065789,-1.1842458963782578,1013.8457903990409,97,5.672758868132922,1.3440422695982395,1.103239442318649,323.217829501178
1.5,1.5,1.0,1.0,1.5,187,-4.198612697302551,0.743799837162925,-1.2153474149477352,1032.3957177054479,97,5.508588501204716,1.334085642328915,1.0690655650563639,319.15534693578763
1.5,1.5,1.0,1.5,0.75,187,-4.198612697302551,0.743799837162925,-1.2153474149477352,1032.3957177054479,97,5.508588501204716,1.334085642328915,1.0690655650563639,319.15534693578763
1.5,1.5,1.0,1.5,1.0,187,-4.198612697302551,0.743799837162925,-1.2153474149477352,1032.3957177054479,97,5.508588501204716,1.334085642328915,1.0690655650563639,319.15534693578763
1.5,1.5,1.0,1.5,1.5,187,-4.198612697302551,0.743799837162925,-1.2153474149477352,1032.3957177054479,97,5.508588501204716,1.334085642328915,1.0690655650563639,319.15534693578763
1.5,1.5,1.5,0.0,1.0,187,-5.853982334069816,0.6953754218417969,-1.5486410125083132,1198.3065361538402,97,7.525156228836291,1.4011404948026904,1.2655503573338087,358.23487975157957
1.5,1.5,1.5,1.0,0.75,187,-3.8923906965883086,0.7624855631642032,-1.1333911816020112,1038.4077265445821,97,5.630510014388794,1.3414799552344636,1.125699087812468,278.34401958787373
1.5,1.5,1.5,1.0,1.0,187,-4.547048122162444,0.722862071608794,-1.3151870746599876,1060.5850458701216,97,5.2534008990127825,1.3179631614175544,1.00533404213318,317.87510203975285
1.5,1.5,1.5,1.0,1.5,187,-4.8723047123067325,0.7229204567714786,-1.3515108921942665,1087.0764509237022,97,6.143323337732113,1.344029157973576,1.076186617155307,402.10580908565146
1.5,1.5,1.5,1.5,0.75,187,-5.853982334069816,0.6953754218417969,-1.5486410125083132,1198.3065361538402,97,7.525156228836291,1.4011404948026904,1.2655503573338087,358.23487975157957
1.5,1.5,1.5,1.5,1.0,187,-5.853982334069816,0.6953754218417969,-1.5486410125083132,1198.3065361538402,97,7.525156228836291,1.4011404948026904,1.2655503573338087,358.23487975157957
1.5,1.5,1.5,1.5,1.5,187,-5.853982334069816,0.6953754218417969,-1.5486410125083132,1198.3065361538402,97,7.525156228836291,1.4011404948026904,1.2655503573338087,358.23487975157957
