,k1w10,k1w20,k1w40,k2w10,k2w20,k2w40,k3w10,k3w20,k3w40,k4w10,k4w20,k4w40,k5w10,k5w20,k5w40
k1w10,1.0,1.0,1.0,0.34,0.35,0.35,0.23,0.24,0.24,0.09,0.08,0.08,0.08,0.03,0.03
k1w20,1.0,1.0,1.0,0.34,0.35,0.35,0.23,0.24,0.24,0.09,0.08,0.08,0.08,0.03,0.03
k1w40,1.0,1.0,1.0,0.34,0.35,0.35,0.23,0.24,0.24,0.09,0.08,0.08,0.08,0.03,0.03
k2w10,0.34,0.34,0.34,1.0,0.98,0.98,0.4,0.39,0.39,0.23,0.18,0.18,0.17,0.15,0.15
k2w20,0.35,0.35,0.35,0.98,1.0,1.0,0.4,0.42,0.42,0.22,0.21,0.21,0.17,0.12,0.12
k2w40,0.35,0.35,0.35,0.98,1.0,1.0,0.4,0.42,0.42,0.22,0.21,0.21,0.17,0.12,0.12
k3w10,0.23,0.23,0.23,0.4,0.4,0.4,1.0,0.95,0.95,0.55,0.5,0.5,0.44,0.35,0.35
k3w20,0.24,0.24,0.24,0.39,0.42,0.42,0.95,1.0,1.0,0.51,0.54,0.54,0.41,0.33,0.33
k3w40,0.24,0.24,0.24,0.39,0.42,0.42,0.95,1.0,1.0,0.51,0.54,0.54,0.41,0.33,0.33
k4w10,0.09,0.09,0.09,0.23,0.22,0.22,0.55,0.51,0.51,1.0,0.91,0.91,0.49,0.4,0.4
k4w20,0.08,0.08,0.08,0.18,0.21,0.21,0.5,0.54,0.54,0.91,1.0,1.0,0.43,0.38,0.38
k4w40,0.08,0.08,0.08,0.18,0.21,0.21,0.5,0.54,0.54,0.91,1.0,1.0,0.43,0.38,0.38
k5w10,0.08,0.08,0.08,0.17,0.17,0.17,0.44,0.41,0.41,0.49,0.43,0.43,1.0,0.79,0.79
k5w20,0.03,0.03,0.03,0.15,0.12,0.12,0.35,0.33,0.33,0.4,0.38,0.38,0.79,1.0,1.0
k5w40,0.03,0.03,0.03,0.15,0.12,0.12,0.35,0.33,0.33,0.4,0.38,0.38,0.79,1.0,1.0
