model,keep,n,R,uplift,pf,p90,ctl_R,p_boot,p_ctl
ridge,0.3,328,-0.01836689932643273,-0.03242405119230933,0.9576114447922919,1.4383692454510333,0.01565017054625568,0.636,0.736
ridge,0.5,548,-0.01663412864759577,-0.030691280513472374,0.9598272102471402,1.3537243534784695,0.014124784705626336,0.632,0.809
ridge,0.7,766,-0.006387132832507107,-0.020444284698383712,0.9845160971285994,1.3581204404448086,0.01379544695118268,0.557,0.84
rf,0.3,328,-0.19424106014734954,-0.20829821201322615,0.6137950688743217,0.8651228858338235,0.015411650703469231,0.998,1.0
rf,0.5,548,-0.08528827522387263,-0.09934542708974922,0.8101172296499833,1.162879757716144,0.01563699531478422,0.949,0.996
rf,0.7,766,-0.01678850671878078,-0.030845658584657383,0.959716609499395,1.3032778974175763,0.01448409824612174,0.668,0.923
lgbm,0.3,328,-0.13827028804446276,-0.15232743991033937,0.6892761116398637,0.9140135338614794,0.010599830910043885,0.99,0.996
lgbm,0.5,548,-0.09914222995655268,-0.11319938182242928,0.7773844901982176,1.0812007591721935,0.015676792655370846,0.967,0.999
lgbm,0.7,766,-0.0325633751376306,-0.0466205270035072,0.9218159017302836,1.257425853631318,0.014014937935220812,0.765,0.982
xgb_d3,0.3,328,-0.12829149059189995,-0.14234864245777656,0.7091602232842991,0.8680822377623166,0.014490363538793618,0.981,1.0
xgb_d3,0.5,548,-0.11949379725784488,-0.13355094912372148,0.738446021826704,0.9936191681393746,0.013359931614870178,0.994,1.0
xgb_d3,0.7,766,-0.0660323432238069,-0.0800894950896835,0.8472641037831533,1.1572938099748977,0.013868475992552792,0.929,0.999
xgb_d6,0.3,328,-0.07295598726983878,-0.08701313913571537,0.831888788924481,1.0408825495199605,0.01309148383118564,0.883,0.948
xgb_d6,0.5,548,-0.06178747035713992,-0.07584462222301652,0.8550740312220264,1.189370285756856,0.014178526519777784,0.884,0.991
xgb_d6,0.7,766,-0.05793098959144832,-0.07198814145732493,0.8638096518388203,1.169626158873895,0.014567499941786655,0.933,0.999
mlp_2x32,0.3,328,0.033096483464944516,0.019039331599067913,1.0828587075573834,1.3926818262948597,0.01299716733580787,0.3,0.348
mlp_2x32,0.5,548,0.013486670655490137,-0.0005704812103864663,1.033981136761574,1.3537243534784695,0.013493960811496421,0.401,0.492
mlp_2x32,0.7,766,0.016534279852532044,0.0024771279866554405,1.0413389978316194,1.3581204404448086,0.013123395210300703,0.352,0.435
mlp_2x64,0.3,328,-0.07916868760976582,-0.09322583947564242,0.8254439076972451,1.1813629122758134,0.014911521914034769,0.899,0.973
mlp_2x64,0.5,548,0.016286828690029787,0.002229676824153183,1.039693263152848,1.4057020239920683,0.014246306559653565,0.413,0.487
mlp_2x64,0.7,766,-0.006373944115571188,-0.02043109598144779,0.9844146883948169,1.316867953068595,0.015837947175393257,0.563,0.853
mlp_4x128,0.3,328,0.02672396966585151,0.012666817799974906,1.063659910505684,1.474619211687556,0.014183555604356479,0.34,0.393
mlp_4x128,0.5,548,0.020693620206780478,0.006636468340903874,1.0519911369576573,1.388052799299065,0.013476803664224433,0.361,0.41
mlp_4x128,0.7,766,0.013991037773544433,-6.611409233217048e-05,1.0358975331385687,1.2866072700648399,0.015461095319741954,0.368,0.518
