tf,design,stop,tgt,be,arm,n,EV,sharpe,pf,win,ctl_EV,p_ctl
3,S1 opening drive,3.0,0.0,1.0,1.0,581,0.6236137182918228,0.31522101894607657,1.0262738598132164,0.49569707401032703,-1.4365337703803904,0.14166666666666666
3,S2 level reclaim,1.0,2.0,0.0,1.0,594,-0.015096626425072326,-0.011307045307035538,0.9135166165994635,0.4494949494949495,-2.3614748196197306,0.008333333333333333
3,S3 flow exhaustion,1.0,0.0,0.0,0.0,675,-1.2820046597577228,-0.5684308786142118,0.8830827873041592,0.16592592592592592,-1.9755763523344805,0.35
3,S4 stretch fade,3.0,0.0,1.0,0.0,268,3.687387680409413,0.6522922092007212,1.0293933538504536,0.4664179104477612,-0.9016053097436736,0.15833333333333333
3,S5 range expansion,3.0,1.0,0.0,0.0,456,-0.6369223592842599,-0.21466261448742416,0.9114962813312467,0.5087719298245614,-2.1533917828453997,0.225
5,S1 opening drive,3.0,0.0,1.0,0.0,426,1.8520133887439099,0.482765272985925,1.14374804029022,0.5070422535211268,-1.628209577759766,0.2
5,S2 level reclaim,1.0,0.0,1.0,1.0,478,0.2969972756358539,0.1815199406856774,0.9349888489634999,0.49581589958158995,-1.8009882332342415,0.058333333333333334
5,S3 flow exhaustion,3.0,1.0,0.0,0.0,389,1.858526932696667,0.5591107852984504,1.023343446532374,0.5218508997429306,-2.4195988570917457,0.08333333333333333
5,S4 stretch fade,2.0,3.0,0.0,1.0,61,1.4471555321377363,0.19809808981961177,0.8606139728205148,0.4262295081967213,-2.2274872975703266,0.31666666666666665
5,S5 range expansion,2.0,1.0,0.0,0.0,453,-0.6865943378109999,-0.27094937004041036,0.8866161909192151,0.5055187637969095,-2.9359650947998936,0.14166666666666666
