market,tf,trigger,geom,block,family,cond,on_trig,on_all,lift,n,pct,base_n,base_pct,edge
NQ,5,Donchian 20 breakout,scalp,research,trend,close > EMA50,0.9519076267703,0.5528960063943364,1.7216757143501242,6719,-0.006101337647835673,7046,-0.0061348878360495615,3.35501882138883e-05
NQ,5,Donchian 20 breakout,scalp,locked,trend,close > EMA50,0.9519076267703,0.5528960063943364,1.7216757143501242,3617,-0.00879404947459944,3791,-0.008273870484609893,-0.0005201789899895466
NQ,5,Donchian 20 breakout,scalp,research,trend,close > SMA200,0.7564739733193827,0.5585671738365067,1.3543115470312326,5406,-0.005527160721887493,7046,-0.0061348878360495615,0.0006077271141620684
NQ,5,Donchian 20 breakout,scalp,locked,trend,close > SMA200,0.7564739733193827,0.5585671738365067,1.3543115470312326,2919,-0.0067672925896840805,3791,-0.008273870484609893,0.0015065778949258125
NQ,5,Donchian 20 breakout,scalp,research,trend,EMA13 > EMA48,0.8135719890885991,0.5523203258066665,1.4730075122626953,5797,-0.005826111298204051,7046,-0.0061348878360495615,0.0003087765378455105
NQ,5,Donchian 20 breakout,scalp,locked,trend,EMA13 > EMA48,0.8135719890885991,0.5523203258066665,1.4730075122626953,3119,-0.007678694575911401,3791,-0.008273870484609893,0.0005951759086984922
NQ,5,Donchian 20 breakout,scalp,research,trend,EMA 13>34>89 stacked,0.649303090318,0.4384783001722284,1.4808100881228614,4629,-0.0046031147540654535,7046,-0.0061348878360495615,0.001531773081984108
NQ,5,Donchian 20 breakout,scalp,locked,trend,EMA 13>34>89 stacked,0.649303090318,0.4384783001722284,1.4808100881228614,2521,-0.006323141189167836,3791,-0.008273870484609893,0.001950729295442057
NQ,5,Donchian 20 breakout,scalp,research,trend,(close-SMA200)/ATR >= 1,0.693247636485931,0.48833414214077053,1.4196173821614355,4980,-0.005151112064247,7046,-0.0061348878360495615,0.0009837757718025612
NQ,5,Donchian 20 breakout,scalp,locked,trend,(close-SMA200)/ATR >= 1,0.693247636485931,0.48833414214077053,1.4196173821614355,2656,-0.005252009359894206,3791,-0.008273870484609893,0.0030218611247156872
NQ,5,Donchian 20 breakout,scalp,research,trend,close > session VWAP,0.7992601173349277,0.5772315948731124,1.3846437451342593,5603,-0.0060527217425368415,7046,-0.0061348878360495615,8.216609351271997e-05
NQ,5,Donchian 20 breakout,scalp,locked,trend,close > session VWAP,0.7992601173349277,0.5772315948731124,1.3846437451342593,3105,-0.007260728079761726,3791,-0.008273870484609893,0.001013142404848167
NQ,5,Donchian 20 breakout,scalp,research,trend,VWAP rising,0.7997458988827024,0.5763847259094326,1.3875209784937408,5611,-0.006231509077137119,7046,-0.0061348878360495615,-9.662124108755776e-05
NQ,5,Donchian 20 breakout,scalp,locked,trend,VWAP rising,0.7997458988827024,0.5763847259094326,1.3875209784937408,3109,-0.007291101517117305,3791,-0.008273870484609893,0.000982768967492588
NQ,5,Donchian 20 breakout,scalp,research,momentum,RSI(14) >= 55,0.9463771906879415,0.38099587983976096,2.4839564960281675,6646,-0.006151941702863896,7046,-0.0061348878360495615,-1.7053866814334233e-05
NQ,5,Donchian 20 breakout,scalp,locked,momentum,RSI(14) >= 55,0.9463771906879415,0.38099587983976096,2.4839564960281675,3586,-0.008054544484884168,3791,-0.008273870484609893,0.0002193259997257252
NQ,5,Donchian 20 breakout,scalp,research,momentum,RSI(14) >= 65,0.53286499009753,0.12320040345218045,4.325188677684474,3933,-0.004893420495793115,7046,-0.0061348878360495615,0.0012414673402564467
NQ,5,Donchian 20 breakout,scalp,locked,momentum,RSI(14) >= 65,0.53286499009753,0.12320040345218045,4.325188677684474,2099,-0.009544790771899346,3791,-0.008273870484609893,-0.0012709202872894527
NQ,5,Donchian 20 breakout,scalp,research,momentum,MACD > 0,0.9077762415455327,0.5467538275622544,1.6603015759266386,6363,-0.005789926809216325,7046,-0.0061348878360495615,0.00034496102683323655
NQ,5,Donchian 20 breakout,scalp,locked,momentum,MACD > 0,0.9077762415455327,0.5467538275622544,1.6603015759266386,3428,-0.007783515352943365,3791,-0.008273870484609893,0.000490355131666528
NQ,5,Donchian 20 breakout,scalp,research,momentum,MACD > signal,0.9153245394417249,0.49590838590581676,1.8457532993111432,6564,-0.007011416074564312,7046,-0.0061348878360495615,-0.0008765282385147502
NQ,5,Donchian 20 breakout,scalp,locked,momentum,MACD > signal,0.9153245394417249,0.49590838590581676,1.8457532993111432,3470,-0.008692283277758183,3791,-0.008273870484609893,-0.00041841279314829005
NQ,5,Donchian 20 breakout,scalp,research,momentum,ROC(20) > 0,0.9840065767348006,0.5321477167841816,1.8491229891603114,6883,-0.006415932063662984,7046,-0.0061348878360495615,-0.0002810442276134223
NQ,5,Donchian 20 breakout,scalp,locked,momentum,ROC(20) > 0,0.9840065767348006,0.5321477167841816,1.8491229891603114,3706,-0.008461165139113092,3791,-0.008273870484609893,-0.0001872946545031992
NQ,5,Donchian 20 breakout,scalp,research,momentum,MFI(14) >= 55,0.8886065543141138,0.4214790709181392,2.108305288749916,6391,-0.005582976868912208,7046,-0.0061348878360495615,0.0005519109671373538
NQ,5,Donchian 20 breakout,scalp,locked,momentum,MFI(14) >= 55,0.8886065543141138,0.4214790709181392,2.108305288749916,3351,-0.0085005823226934,3791,-0.008273870484609893,-0.00022671183808350634
NQ,5,Donchian 20 breakout,scalp,research,momentum,Aroon osc >= 0,0.9162213669145398,0.5264146993615179,1.7404935083040307,6528,-0.005867828541962739,7046,-0.0061348878360495615,0.00026705929408682265
NQ,5,Donchian 20 breakout,scalp,locked,momentum,Aroon osc >= 0,0.9162213669145398,0.5264146993615179,1.7404935083040307,3493,-0.0072320818865313705,3791,-0.008273870484609893,0.0010417885980785226
NQ,5,Donchian 20 breakout,scalp,research,regime,ADX >= 20,0.6738537423863085,0.6418648244887861,1.0498374683844063,4884,-0.006512628608001341,7046,-0.0061348878360495615,-0.0003777407719517791
NQ,5,Donchian 20 breakout,scalp,locked,regime,ADX >= 20,0.6738537423863085,0.6418648244887861,1.0498374683844063,2561,-0.006914243679334491,3791,-0.008273870484609893,0.001359626805275402
NQ,5,Donchian 20 breakout,scalp,research,regime,ADX >= 25,0.4579425283061171,0.4437212754417516,1.0320499684181412,3356,-0.004747340745610431,7046,-0.0061348878360495615,0.0013875470904391304
NQ,5,Donchian 20 breakout,scalp,locked,regime,ADX >= 25,0.4579425283061171,0.4437212754417516,1.0320499684181412,1752,-0.006370011067888759,3791,-0.008273870484609893,0.001903859416721134
NQ,5,Donchian 20 breakout,scalp,research,regime,CHOP <= 45,0.4773364224057397,0.29867355580295546,1.5981877643049653,3734,-0.00575008456245836,7046,-0.0061348878360495615,0.0003848032735912013
NQ,5,Donchian 20 breakout,scalp,locked,regime,CHOP <= 45,0.4773364224057397,0.29867355580295546,1.5981877643049653,1974,-0.007129648659264542,3791,-0.008273870484609893,0.001144221825345351
NQ,5,Donchian 20 breakout,scalp,research,regime,CHOP <= 38,0.22039535144426592,0.1182666780851246,1.8635456327405453,1853,-0.006061861765017234,7046,-0.0061348878360495615,7.302607103232793e-05
NQ,5,Donchian 20 breakout,scalp,locked,regime,CHOP <= 38,0.22039535144426592,0.1182666780851246,1.8635456327405453,997,-0.007649528531907365,3791,-0.008273870484609893,0.0006243419527025276
NQ,5,Donchian 20 breakout,scalp,research,regime,efficiency ratio >= 0.3,0.5245319681626247,0.3057625151056683,1.7154881394841743,3927,-0.002956435475911655,7046,-0.0061348878360495615,0.0031784523601379065
NQ,5,Donchian 20 breakout,scalp,locked,regime,efficiency ratio >= 0.3,0.5245319681626247,0.3057625151056683,1.7154881394841743,2097,-0.008989761681071459,3791,-0.008273870484609893,-0.0007158911964615655
NQ,5,Donchian 20 breakout,scalp,research,regime,ATR >= its 50-bar mean,0.4656029296364112,0.442303483581209,1.0526775097192385,3740,-0.006265771186074242,7046,-0.0061348878360495615,-0.0001308833500246803
NQ,5,Donchian 20 breakout,scalp,locked,regime,ATR >= its 50-bar mean,0.4656029296364112,0.442303483581209,1.0526775097192385,1918,-0.007077388964375353,3791,-0.008273870484609893,0.0011964815202345404
NQ,5,Donchian 20 breakout,scalp,research,regime,ATR <= its 50-bar mean,0.5343970703635889,0.5576965164187909,0.9582219982207925,3632,-0.005829855755533674,7046,-0.0061348878360495615,0.0003050320805158876
NQ,5,Donchian 20 breakout,scalp,locked,regime,ATR <= its 50-bar mean,0.5343970703635889,0.5576965164187909,0.9582219982207925,2066,-0.00986028698112859,3791,-0.008273870484609893,-0.0015864164965186962
NQ,5,Donchian 20 breakout,scalp,research,regime,vol pct(250) >= 0.5,0.5048391315720638,0.49450486711769576,1.0208982057438647,3644,-0.00517488066615337,7046,-0.0061348878360495615,0.0009600071698961914
NQ,5,Donchian 20 breakout,scalp,locked,regime,vol pct(250) >= 0.5,0.5048391315720638,0.49450486711769576,1.0208982057438647,1877,-0.007441070748118515,3791,-0.008273870484609893,0.0008327997364913778
NQ,5,Donchian 20 breakout,scalp,research,regime,vol pct(250) <= 0.5,0.4990097529987669,0.509524896995994,0.9793628455464664,3657,-0.006952505915431441,7046,-0.0061348878360495615,-0.0008176180793818795
NQ,5,Donchian 20 breakout,scalp,locked,regime,vol pct(250) <= 0.5,0.4990097529987669,0.509524896995994,0.9793628455464664,2071,-0.008414474460676584,3791,-0.008273870484609893,-0.00014060397606669058
NQ,5,Donchian 20 breakout,scalp,research,location,close in top 30% of bar,0.46739658458204103,0.33701578601809823,1.3868685206245537,4638,-0.005091263620150352,7046,-0.0061348878360495615,0.00104362421589921
NQ,5,Donchian 20 breakout,scalp,locked,location,close in top 30% of bar,0.46739658458204103,0.33701578601809823,1.3868685206245537,2564,-0.006620951586689792,3791,-0.008273870484609893,0.0016529188979201009
NQ,5,Donchian 20 breakout,scalp,research,location,close > prior RTH high,0.3731549643137401,0.2674583464169831,1.395189080141735,2513,-0.003689340045499269,7046,-0.0061348878360495615,0.0024455477905502925
NQ,5,Donchian 20 breakout,scalp,locked,location,close > prior RTH high,0.3731549643137401,0.2674583464169831,1.395189080141735,1526,-0.004857617941207677,3791,-0.008273870484609893,0.0034162525434022163
NQ,5,Donchian 20 breakout,scalp,research,location,(close-VWAP)/ATR >= 0.5,0.7669369605022234,0.5288649101272207,1.4501566388999667,5378,-0.005947930298703745,7046,-0.0061348878360495615,0.0001869575373458169
NQ,5,Donchian 20 breakout,scalp,locked,location,(close-VWAP)/ATR >= 0.5,0.7669369605022234,0.5288649101272207,1.4501566388999667,2984,-0.006369170472425841,3791,-0.008273870484609893,0.001904700012184052
NQ,5,Donchian 20 breakout,scalp,research,location,0 < (close-VWAP)/ATR <= 2,0.19405104443032772,0.17963137411625893,1.0802736737110092,1804,-0.0059170935911892885,7046,-0.0061348878360495615,0.000217794244860273
NQ,5,Donchian 20 breakout,scalp,locked,location,0 < (close-VWAP)/ATR <= 2,0.19405104443032772,0.17963137411625893,1.0802736737110092,948,-0.004468552345477457,3791,-0.008273870484609893,0.003805318139132436
NQ,5,Donchian 20 breakout,scalp,research,volume,volume >= its time-of-day mean,0.5563693434475543,0.3676648301980151,1.5132514664182257,5183,-0.004539600588467508,7046,-0.0061348878360495615,0.0015952872475820537
NQ,5,Donchian 20 breakout,scalp,locked,volume,volume >= its time-of-day mean,0.5563693434475543,0.3676648301980151,1.5132514664182257,2398,-0.009784709140823316,3791,-0.008273870484609893,-0.0015108386562134226
NQ,5,Donchian 20 breakout,scalp,research,volume,volume >= 1.5x that mean,0.24815963529016105,0.14129390159192334,1.7563364907770824,2761,-0.006046886556860323,7046,-0.0061348878360495615,8.800127918923845e-05
NQ,5,Donchian 20 breakout,scalp,locked,volume,volume >= 1.5x that mean,0.24815963529016105,0.14129390159192334,1.7563364907770824,1255,-0.012262284510432627,3791,-0.008273870484609893,-0.003988414025822734
NQ,5,Donchian 20 breakout,scalp,research,clock,09:30-11:00 New York,0.0999215275961287,0.06534212554594503,1.5292053443512381,848,-0.0037771527622026714,7046,-0.0061348878360495615,0.00235773507384689
NQ,5,Donchian 20 breakout,scalp,locked,clock,09:30-11:00 New York,0.0999215275961287,0.06534212554594503,1.5292053443512381,469,-0.008622236271235524,3791,-0.008273870484609893,-0.00034836578662563074
NQ,5,Donchian 20 breakout,scalp,research,clock,09:30-16:00 New York,0.3276409700683831,0.2784724006356275,1.1765653232439761,2255,-0.004729193223383899,7046,-0.0061348878360495615,0.0014056946126656629
NQ,5,Donchian 20 breakout,scalp,locked,clock,09:30-16:00 New York,0.3276409700683831,0.2784724006356275,1.1765653232439761,1172,-0.00904999119295744,3791,-0.008273870484609893,-0.0007761207083475472
NQ,5,Donchian 20 breakout,swing,research,trend,close > EMA50,0.9518315978724998,0.5530253182663425,1.721135663112784,807,0.037535166211947496,846,0.02922086112115402,0.008314305090793474
NQ,5,Donchian 20 breakout,swing,locked,trend,close > EMA50,0.9518315978724998,0.5530253182663425,1.721135663112784,414,0.05622054387488758,409,0.07137086806473586,-0.015150324189848283
NQ,5,Donchian 20 breakout,swing,research,trend,close > SMA200,0.7565735261068245,0.5588566251847613,1.3537882383638142,688,0.04417023092585798,846,0.02922086112115402,0.014949369804703957
NQ,5,Donchian 20 breakout,swing,locked,trend,close > SMA200,0.7565735261068245,0.5588566251847613,1.3537882383638142,354,0.043900636260926995,409,0.07137086806473586,-0.027470231803808864
NQ,5,Donchian 20 breakout,swing,research,trend,EMA13 > EMA48,0.8135440856993034,0.5524722261955848,1.4725520073678684,739,0.04204233080890547,846,0.02922086112115402,0.012821469687751452
NQ,5,Donchian 20 breakout,swing,locked,trend,EMA13 > EMA48,0.8135440856993034,0.5524722261955848,1.4725520073678684,377,0.05915623027329565,409,0.07137086806473586,-0.012214637791440212
NQ,5,Donchian 20 breakout,swing,research,trend,EMA 13>34>89 stacked,0.6494868529477863,0.4386115481809946,1.4807791897895337,630,0.05605308885938744,846,0.02922086112115402,0.026832227738233416
NQ,5,Donchian 20 breakout,swing,locked,trend,EMA 13>34>89 stacked,0.6494868529477863,0.4386115481809946,1.4807791897895337,334,0.0355481941940398,409,0.07137086806473586,-0.035822673870696056
NQ,5,Donchian 20 breakout,swing,research,trend,(close-SMA200)/ATR >= 1,0.6934601842834669,0.4885900920230773,1.4193087326271714,664,0.04353102284324171,846,0.02922086112115402,0.014310161722087687
NQ,5,Donchian 20 breakout,swing,locked,trend,(close-SMA200)/ATR >= 1,0.6934601842834669,0.4885900920230773,1.4193087326271714,337,0.051461332204724965,409,0.07137086806473586,-0.019909535860010895
NQ,5,Donchian 20 breakout,swing,research,trend,close > session VWAP,0.7994980897445502,0.577389977590235,1.3846760781704146,687,0.037227982636168146,846,0.02922086112115402,0.008007121515014124
NQ,5,Donchian 20 breakout,swing,locked,trend,close > session VWAP,0.7994980897445502,0.577389977590235,1.3846760781704146,346,0.09597490053698335,409,0.07137086806473586,0.02460403247224749
NQ,5,Donchian 20 breakout,swing,research,trend,VWAP rising,0.799985017604315,0.5765508034139131,1.3875360382248842,668,0.04492334786335043,846,0.02922086112115402,0.015702486742196407
NQ,5,Donchian 20 breakout,swing,locked,trend,VWAP rising,0.799985017604315,0.5765508034139131,1.3875360382248842,344,0.0981463668847079,409,0.07137086806473586,0.026775498819972043
NQ,5,Donchian 20 breakout,swing,research,momentum,RSI(14) >= 55,0.9462881114690239,0.3810184522958089,2.48357554802716,823,0.03030455815002737,846,0.02922086112115402,0.0010836970288733497
NQ,5,Donchian 20 breakout,swing,locked,momentum,RSI(14) >= 55,0.9462881114690239,0.3810184522958089,2.48357554802716,396,0.07379307009557837,409,0.07137086806473586,0.0024222020308425074
NQ,5,Donchian 20 breakout,swing,research,momentum,RSI(14) >= 65,0.5327739905610908,0.1231535784103371,4.326094275441464,689,0.04652638198076498,846,0.02922086112115402,0.01730552085961096
NQ,5,Donchian 20 breakout,swing,locked,momentum,RSI(14) >= 65,0.5327739905610908,0.1231535784103371,4.326094275441464,331,0.08232951175908229,409,0.07137086806473586,0.010958643694346432
NQ,5,Donchian 20 breakout,swing,research,momentum,MACD > 0,0.9075960746123305,0.5468268726457827,1.6597503158924722,797,0.030458949058781385,846,0.02922086112115402,0.0012380879376273635
NQ,5,Donchian 20 breakout,swing,locked,momentum,MACD > 0,0.9075960746123305,0.5468268726457827,1.6597503158924722,398,0.07095468325090218,409,0.07137086806473586,-0.000416184813833681
