family,cond,cells_scalp,cells_swing,edge_scalp,edge_swing,helps_scalp,helps_swing,keep
trend,(close-SMA200)/ATR >= 1,32.0,32.0,0.006402665069768987,0.06621613415520046,0.78125,0.71875,0.772188797080694
regime,ADX >= 25,32.0,32.0,-0.0006142784029718381,0.058655674408445685,0.59375,0.78125,0.45406078116680537
momentum,RSI(14) >= 65,32.0,32.0,0.006612561815310614,0.046943847736844416,0.6875,0.75,0.44203543649504706
regime,efficiency ratio >= 0.3,32.0,32.0,0.0030531271679006787,0.04601467201904887,0.6875,0.78125,0.49137049556816415
regime,ATR >= its 50-bar mean,32.0,32.0,0.004443188585467102,0.0431472142653479,0.71875,0.71875,0.43599989733124694
trend,close > SMA200,32.0,32.0,0.004135955310268229,0.04066034706371906,0.6875,0.6875,0.8412902495610977
location,(close-VWAP)/ATR >= 0.5,32.0,32.0,0.0024794343060468844,0.027743614998989787,0.78125,0.75,0.7289616898353555
regime,CHOP <= 45,32.0,32.0,0.0020135019344850362,0.02736385634772887,0.65625,0.625,0.47872300558120984
trend,close > EMA50,32.0,32.0,0.0024824669064822964,0.02583619233217282,0.875,0.8125,0.9374271366237492
trend,EMA 13>34>89 stacked,32.0,32.0,0.003532623108333216,0.02279177642957976,0.5,0.34375,0.8375346200889344
regime,ADX >= 20,32.0,32.0,-2.8723209279363996e-05,0.02129229219960592,0.40625,0.53125,0.6537367377565757
trend,close > session VWAP,32.0,32.0,0.0021394326546861028,0.01981210755418677,0.75,0.875,0.8422189641962357
momentum,MFI(14) >= 55,32.0,32.0,0.000532122604609007,0.018043944283351564,0.4375,0.59375,0.7329505692862466
momentum,ROC(20) > 0,32.0,32.0,0.00047759771918350476,0.01745123196704643,0.4375,0.6875,0.9102623613396066
momentum,MACD > signal,32.0,32.0,0.0026483886444258913,0.016082500476462386,0.59375,0.625,0.736757013147338
volume,volume >= its time-of-day mean,32.0,32.0,0.0019830609175791316,0.015505879085264726,0.6875,0.4375,0.5386438419025134
momentum,RSI(14) >= 55,32.0,32.0,0.0018226664048263898,0.015348560592904322,0.5625,0.6875,0.8168854283619345
momentum,MACD > 0,32.0,32.0,0.0001383731836982863,0.01352401185241147,0.46875,0.625,0.9322956063466381
location,0 < (close-VWAP)/ATR <= 2,32.0,32.0,0.0035326842802295023,0.013272793010243072,0.65625,0.71875,0.46451339695718447
trend,VWAP rising,32.0,32.0,0.0017523558019359089,0.01312381362134652,0.65625,0.75,0.8597940569977041
regime,ATR <= its 50-bar mean,32.0,32.0,-0.003866894626828374,0.012573749043293413,0.28125,0.46875,0.5640001026687531
trend,EMA13 > EMA48,32.0,32.0,0.0021560858589157587,0.012161882773798368,0.75,0.40625,0.9088531465259286
regime,CHOP <= 38,32.0,32.0,0.0038504224012642736,0.01108158941354465,0.71875,0.46875,0.246796817967602
momentum,Aroon osc >= 0,32.0,32.0,-0.0011095788517551388,0.010579535941256957,0.5625,0.59375,0.8810327987532276
clock,09:30-11:00 New York,32.0,32.0,0.00722138810103874,0.00816814090300369,0.5625,0.5625,0.08771616155783826
regime,vol pct(250) <= 0.5,32.0,32.0,-0.0046638154468273555,0.007848049126992902,0.25,0.5625,0.5444474658120588
location,close > prior RTH high,32.0,32.0,0.004939142462745822,0.007528937590686389,0.8125,0.625,0.5239704156146291
clock,09:30-16:00 New York,32.0,32.0,0.00796912106425271,0.006782952782621776,0.78125,0.6875,0.34269132238952504
regime,vol pct(250) >= 0.5,32.0,32.0,0.0029812576351509828,0.005485421283906511,0.75,0.71875,0.45904814456773546
location,close in top 30% of bar,32.0,32.0,0.0018566443676138005,-0.0062266247723756,0.5625,0.46875,0.4211407760552358
volume,volume >= 1.5x that mean,31.0,30.0,0.009294045181154153,-0.054863733826809084,0.6129032258064516,0.3333333333333333,0.25170785429235765
