trig,fill,ex,side,px_in,px_out,r,reason,amb,pts,risk,year
75,76,80,1,18217.5,18194.5,-1.2777777777777777,1,0,-23.0,18.0,2016
80,81,120,-1,18186.5,18128.0,1.828125,2,0,58.5,32.0,2016
417,418,424,1,18021.5,17948.5,-1.0735294117647058,1,0,-73.0,68.0,2016
482,483,483,-1,17977.5,18001.5,-1.411764705882353,1,0,-24.0,17.0,2016
500,501,501,-1,17940.5,17969.5,-1.2083333333333333,1,0,-29.0,24.0,2016
503,504,568,-1,17939.5,17896.0,1.8125,2,0,43.5,24.0,2016
668,669,675,1,18245.5,18220.5,-1.25,1,0,-25.0,20.0,2016
787,788,797,-1,17578.5,17763.5,-1.0511363636363635,1,0,-185.0,176.00000000000003,2016
857,858,862,1,18597.5,18546.5,-1.2142857142857142,1,0,-51.0,42.0,2016
1136,1137,1145,-1,18885.5,18907.5,-1.6923076923076923,1,0,-22.0,13.0,2016
1340,1341,1347,1,18872.5,18846.5,-1.3,1,0,-26.0,20.0,2016
1364,1365,1378,1,18880.5,18857.5,-1.4375,1,0,-23.0,16.0,2016
1508,1509,1515,1,18897.5,18917.0,1.625,2,0,19.5,12.0,2016
1603,1604,1605,1,19012.5,18985.5,-1.2272727272727273,1,0,-27.0,22.0,2016
1635,1636,1669,1,19042.5,19018.5,-1.5,1,0,-24.0,16.0,2016
1866,1867,1898,-1,19113.5,19083.0,1.605263157894737,2,0,30.5,19.0,2016
2081,2082,2092,1,19156.5,19181.0,1.6333333333333333,2,0,24.5,15.0,2016
2230,2231,2242,1,19185.5,19165.5,-1.8181818181818181,1,0,-20.0,11.0,2016
2403,2404,2412,1,19214.5,19197.5,-2.125,1,0,-17.0,8.0,2016
2419,2420,2422,1,19228.5,19208.5,-1.5384615384615385,1,0,-20.0,13.0,2016
2530,2531,2533,1,19274.5,19307.0,1.8055555555555556,2,0,32.5,18.0,2016
2935,2936,2944,-1,19889.5,19912.5,-1.4375,1,0,-23.0,16.0,2016
3036,3037,3041,1,19837.5,19879.0,1.8043478260869565,2,0,41.5,23.0,2016
3095,3096,3100,-1,19869.5,19885.5,-2.2857142857142856,1,0,-16.0,7.0,2016
3123,3124,3126,-1,19881.5,19899.5,-1.5,1,0,-18.0,12.0,2016
3132,3133,3216,-1,19874.5,19919.5,-1.125,1,0,-45.0,40.0,2016
3325,3326,3328,-1,19954.5,19972.5,-2.0,1,0,-18.0,9.0,2016
3472,3473,3475,1,19927.5,19904.5,-1.2777777777777777,1,0,-23.0,18.0,2016
3699,3700,3702,1,19975.5,19955.5,-1.8181818181818181,1,0,-20.0,11.0,2016
3796,3797,3814,1,19828.5,19840.0,1.4375,2,0,11.5,8.0,2016
4010,4011,4072,1,19842.5,19917.0,1.9102564102564104,2,0,74.5,39.0,2017
4137,4138,4141,1,19932.5,19913.5,-1.5833333333333333,1,0,-19.0,12.0,2017
4736,4737,4739,-1,19840.5,19864.5,-1.5,1,0,-24.0,16.0,2017
4979,4980,4980,-1,19792.5,19809.5,-2.125,1,0,-17.0,8.0,2017
5113,5114,5116,1,19800.5,19774.5,-1.2380952380952381,1,0,-26.0,21.0,2017
5180,5181,5203,-1,19781.5,19814.5,-1.1785714285714286,1,0,-33.0,28.0,2017
5374,5375,5396,1,20077.5,20116.0,1.75,2,0,38.5,22.0,2017
5402,5403,5420,1,20131.5,20103.5,-1.4,1,0,-28.0,20.0,2017
5437,5438,5548,1,20111.5,20024.5,-2.0232558139534884,1,0,-87.0,43.0,2017
5580,5581,5582,1,20048.5,20055.0,0.9285714285714286,2,0,6.5,7.0,2017
