n,mean,total,per_yr,win,pf,sharpe,dd,ret_dd,yrs,trades_yr,strategy,feed,block,selection
195,0.06465053859779998,12.606855026570997,6.379372423084119,0.46153846153846156,1.3698974809896405,1.3120844496242288,5.726362098721344,2.201546952363704,1.9761904761904763,98.67469879518072,FTM_ORB,NQ,research,True
147,0.04563026873730583,6.707649504383957,6.283746004106904,0.4897959183673469,1.2694721413941328,1.1716451353463087,4.282615017209762,1.5662508718222747,1.0674603174603174,137.71003717472118,FTM_ORB,NQ,locked,False
70,0.12070064056621642,8.44904483963515,4.284022735589653,0.5857142857142857,1.5424135225533102,1.010358948319153,3.4977027792643116,2.4155982863164485,1.9722222222222223,35.49295774647887,APM_VWAP,NQ,research,True
34,0.2731254863702949,9.286266536590025,8.764566169365866,0.6764705882352942,4.170096068356267,2.7806143642705927,1.087198667640984,8.541462395957007,1.0595238095238095,32.08988764044944,APM_VWAP,NQ,locked,False
176,0.11823864130258857,20.81000086925559,4.000091700268809,0.5738636363636364,1.5421541493440423,0.9051072629154288,4.28383360195269,4.857798598846093,5.2023809523809526,33.83066361556064,APM_VWAP,US100,research,True
70,0.2741329908495195,19.189309359466364,9.389720307933057,0.6428571428571429,1.949476736464929,1.4451055866425242,4.0397240059119195,4.750153557862824,2.0436507936507935,34.25242718446602,APM_VWAP,US100,validation,False
62,0.07143720379120466,4.429106635054689,2.4748001597201363,0.5806451612903226,1.2840333331897578,0.39013597885876,7.262507737255934,0.6098591279061663,1.7896825396825398,34.6430155210643,APM_VWAP,US100,test,False
148,-0.03434902936460135,-5.083656345961,-0.9596115349679191,0.4864864864864865,0.8577803251040759,-0.25373393263687216,9.379133693426747,-0.5420176865080641,5.2976190476190474,27.937078651685393,APM_VWAP,US30,research,True
68,0.062140070530095744,4.2255247960465105,2.067635434181982,0.45588235294117646,1.2495576975754172,0.46847632355537916,5.796041874530109,0.7290362781219688,2.0436507936507935,33.27378640776699,APM_VWAP,US30,validation,False
51,0.012543479105994196,0.6397174344057039,0.4070929128036298,0.5098039215686274,1.0652392471876488,0.14237765084331283,2.770329744941229,0.2309174334116227,1.5714285714285714,32.45454545454545,APM_VWAP,US30,test,False
26,0.19163098974488293,4.9824057333669565,2.6267076251223287,0.8846153846153846,5.2165285235609264,1.9223723518359999,0.9128661603593526,5.457980533976214,1.8968253968253967,13.707112970711298,TRENDDAY,NQ,research,True
