ema,trend_pct,untouched,trend,research_n,research_mean,research_net,research_pf,research_sh,locked_n,locked_mean,locked_net,locked_pf,locked_sh
10,50.0,0,0,337,-7.210432982296968,-2429.9159150340784,0.8849094750254484,-0.6280159797336134,163,24.94998782422022,4066.848015347896,1.5080087296050604,2.230194977059319
10,50.0,0,1,152,-18.728261016956775,-2846.6956745774296,0.7554137202014162,-0.9987482609085155,67,20.05994856114123,1344.0165535964625,1.448445052866755,1.2496032114767321
10,50.0,1,0,7,42.774686337581706,299.4228043630719,2.5834773979278722,0.858302239239715,2,-118.33741189196371,-236.67482378392742,0.08739208789606634,-1.1298119925550965
10,50.0,1,1,7,42.774686337581706,299.4228043630719,2.5834773979278722,0.858302239239715,1,22.664176727579616,22.664176727579616,22664176727.579613,1.2433874174764075
10,60.0,0,0,337,-7.210432982296968,-2429.9159150340784,0.8849094750254484,-0.6280159797336134,163,24.94998782422022,4066.848015347896,1.5080087296050604,2.230194977059319
10,60.0,0,1,110,-2.5598361598569186,-281.58197758426104,0.960876250926662,-0.11885866063506649,52,20.61044967595794,1071.7433831498129,1.4647913996695248,1.0855732059679104
10,60.0,1,0,7,42.774686337581706,299.4228043630719,2.5834773979278722,0.858302239239715,2,-118.33741189196371,-236.67482378392742,0.08739208789606634,-1.1298119925550965
10,60.0,1,1,7,42.774686337581706,299.4228043630719,2.5834773979278722,0.858302239239715,1,22.664176727579616,22.664176727579616,22664176727.579613,1.2433874174764075
10,65.0,0,0,337,-7.210432982296968,-2429.9159150340784,0.8849094750254484,-0.6280159797336134,163,24.94998782422022,4066.848015347896,1.5080087296050604,2.230194977059319
10,65.0,0,1,89,2.4646937531778645,219.35774403282994,1.0375430938769563,0.09749357374969876,43,20.652924289683394,888.075744456386,1.4467072312460691,0.9367172340236278
10,65.0,1,0,7,42.774686337581706,299.4228043630719,2.5834773979278722,0.858302239239715,2,-118.33741189196371,-236.67482378392742,0.08739208789606634,-1.1298119925550965
10,65.0,1,1,6,41.50962322102714,249.05773932616285,2.3171251329400397,0.7238488059101691,1,22.664176727579616,22.664176727579616,22664176727.579613,1.2433874174764075
10,70.0,0,0,337,-7.210432982296968,-2429.9159150340784,0.8849094750254484,-0.6280159797336134,163,24.94998782422022,4066.848015347896,1.5080087296050604,2.230194977059319
10,70.0,0,1,63,7.450266955801612,469.36681821550155,1.1166766398734123,0.23479122364672253,28,0.8766106782919191,24.545098992173735,1.014206696874049,0.02796661397702153
10,70.0,1,0,7,42.774686337581706,299.4228043630719,2.5834773979278722,0.858302239239715,2,-118.33741189196371,-236.67482378392742,0.08739208789606634,-1.1298119925550965
10,70.0,1,1,6,41.50962322102714,249.05773932616285,2.3171251329400397,0.7238488059101691,1,22.664176727579616,22.664176727579616,22664176727.579613,1.2433874174764075
10,75.0,0,0,337,-7.210432982296968,-2429.9159150340784,0.8849094750254484,-0.6280159797336134,163,24.94998782422022,4066.848015347896,1.5080087296050604,2.230194977059319
10,75.0,0,1,46,18.807629880655124,865.1509745101357,1.329248347873564,0.5161381413309786,18,33.54652892779268,603.8375207002682,1.9615358020655655,1.2780004291806373
10,75.0,1,0,7,42.774686337581706,299.4228043630719,2.5834773979278722,0.858302239239715,2,-118.33741189196371,-236.67482378392742,0.08739208789606634,-1.1298119925550965
10,75.0,1,1,5,50.1614428467481,250.80721423374052,2.3387633258370113,0.7289568205420475,1,22.664176727579616,22.664176727579616,22664176727.579613,1.2433874174764075
10,80.0,0,0,337,-7.210432982296968,-2429.9159150340784,0.8849094750254484,-0.6280159797336134,163,24.94998782422022,4066.848015347896,1.5080087296050604,2.230194977059319
10,80.0,0,1,35,37.82149952677698,1323.7524834371943,1.7116906386894126,0.8289509991271206,14,44.776912172791654,626.8767704190832,2.7385109671673775,1.562709516858684
10,80.0,1,0,7,42.774686337581706,299.4228043630719,2.5834773979278722,0.858302239239715,2,-118.33741189196371,-236.67482378392742,0.08739208789606634,-1.1298119925550965
10,80.0,1,1,3,5.120712919049159,15.362138757147477,1.0820003046456297,0.055731451387221034,1,22.664176727579616,22.664176727579616,22664176727.579613,1.2433874174764075
10,85.0,0,0,337,-7.210432982296968,-2429.9159150340784,0.8849094750254484,-0.6280159797336134,163,24.94998782422022,4066.848015347896,1.5080087296050604,2.230194977059319
10,85.0,0,1,19,22.753197092160054,432.31074475104106,1.5253875639312788,0.5846699287591264,5,32.60445231969061,163.02226159845304,2.2272741320587195,0.711054134520436
10,85.0,1,0,7,42.774686337581706,299.4228043630719,2.5834773979278722,0.858302239239715,2,-118.33741189196371,-236.67482378392742,0.08739208789606634,-1.1298119925550965
10,85.0,1,1,1,-187.34245956202358,-187.34245956202358,0.0,-0.8621849174384847,1,22.664176727579616,22.664176727579616,22664176727.579613,1.2433874174764075
15,50.0,0,0,337,-1.02330144700416,-344.8525876404019,0.9838489536686467,-0.08322219490983304,163,27.76372963416776,4525.487930369345,1.5369911078496377,2.3858999038085478
15,50.0,0,1,152,-4.488495309035371,-682.2512869733764,0.9379353831254513,-0.22102122325882045,67,12.415174947771611,831.8167215006979,1.2278503996360641,0.7015566112376035
15,50.0,1,0,20,0.9941406472287782,19.882812944575562,1.0166433619812525,0.02286414844811532,10,18.7437299221172,187.437299221172,1.3662315342344098,0.4822045510712299
15,50.0,1,1,18,-1.5672844856057457,-28.211120740903425,0.9763852380598,-0.03248455462590509,9,20.41527890611744,183.73751015505695,1.3590025598965532,0.47269176587559913
15,60.0,0,0,337,-1.02330144700416,-344.8525876404019,0.9838489536686467,-0.08322219490983304,163,27.76372963416776,4525.487930369345,1.5369911078496377,2.3858999038085478
15,60.0,0,1,110,12.984335421376786,1428.2768963514463,1.201739996198707,0.5283408447710758,52,17.61738644736425,916.104095262941,1.322782234008925,0.8218381912465764
15,60.0,1,0,20,0.9941406472287782,19.882812944575562,1.0166433619812525,0.02286414844811532,10,18.7437299221172,187.437299221172,1.3662315342344098,0.4822045510712299
15,60.0,1,1,17,-2.4170848597316175,-41.090442615437496,0.9656043079857475,-0.047321975486200644,9,20.41527890611744,183.73751015505695,1.3590025598965532,0.47269176587559913
15,65.0,0,0,337,-1.02330144700416,-344.8525876404019,0.9838489536686467,-0.08322219490983304,163,27.76372963416776,4525.487930369345,1.5369911078496377,2.3858999038085478
15,65.0,0,1,89,17.86893834932521,1590.3355130899436,1.265911673750355,0.6087039883852097,43,20.818755466888792,895.2064850762181,1.3889619137481874,0.8497049580924882
15,65.0,1,0,20,0.9941406472287782,19.882812944575562,1.0166433619812525,0.02286414844811532,10,18.7437299221172,187.437299221172,1.3662315342344098,0.4822045510712299
15,65.0,1,1,16,-5.439388520936973,-87.03021633499156,0.9271493727870552,-0.10042006973026303,3,117.0252656390415,351.07579691712453,351075796917.1245,1.8704824863126548
15,70.0,0,0,337,-1.02330144700416,-344.8525876404019,0.9838489536686467,-0.08322219490983304,163,27.76372963416776,4525.487930369345,1.5369911078496377,2.3858999038085478
15,70.0,0,1,63,23.004868998549583,1449.3067469086236,1.3395992941351433,0.6096737618748073,28,14.089787545960332,394.5140512868893,1.2140260046246487,0.4071564160767155
15,70.0,1,0,20,0.9941406472287782,19.882812944575562,1.0166433619812525,0.02286414844811532,10,18.7437299221172,187.437299221172,1.3662315342344098,0.4822045510712299
15,70.0,1,1,15,-8.316907330684383,-124.75360996026575,0.8955721459119212,-0.14413471324101695,3,117.0252656390415,351.07579691712453,351075796917.1245,1.8704824863126548
15,75.0,0,0,337,-1.02330144700416,-344.8525876404019,0.9838489536686467,-0.08322219490983304,163,27.76372963416776,4525.487930369345,1.5369911078496377,2.3858999038085478
15,75.0,0,1,46,36.51666148778357,1679.7664284380444,1.5975750537945654,0.8275219428796068,18,24.19172885102186,435.45111931839347,1.4743047980629889,0.7334605588772504
15,75.0,1,0,20,0.9941406472287782,19.882812944575562,1.0166433619812525,0.02286414844811532,10,18.7437299221172,187.437299221172,1.3662315342344098,0.4822045510712299
15,75.0,1,1,13,21.232581450024064,276.02355885031284,1.363581930999767,0.3937415613094554,2,84.19948422794914,168.39896845589828,168398968455.8983,1.4289025078305861
15,80.0,0,0,337,-1.02330144700416,-344.8525876404019,0.9838489536686467,-0.08322219490983304,163,27.76372963416776,4525.487930369345,1.5369911078496377,2.3858999038085478
15,80.0,0,1,35,52.252560499370986,1828.8396174779846,1.832232756946491,0.9314091695902584,14,34.12628608911213,477.7680052475698,1.9007983007534286,1.0089077434629636
15,80.0,1,0,20,0.9941406472287782,19.882812944575562,1.0166433619812525,0.02286414844811532,10,18.7437299221172,187.437299221172,1.3662315342344098,0.4822045510712299
15,80.0,1,1,11,6.237316817868057,68.61048499654862,1.090374650358753,0.10198562434901351,1,23.636157832115714,23.636157832115714,23636157832.11571,1.2433874174764072
15,85.0,0,0,337,-1.02330144700416,-344.8525876404019,0.9838489536686467,-0.08322219490983304,163,27.76372963416776,4525.487930369345,1.5369911078496377,2.3858999038085478
15,85.0,0,1,19,38.18218558980841,725.4615262063598,1.7324249734395545,0.7771059441353987,5,10.132118289489881,50.660591447449406,1.1703208434869168,0.15653850901951843
15,85.0,1,0,20,0.9941406472287782,19.882812944575562,1.0166433619812525,0.02286414844811532,10,18.7437299221172,187.437299221172,1.3662315342344098,0.4822045510712299
