col,fam,ic,n,abs_ic
vol.garman_klass,vol,-0.1302521580439003,2240,0.1302521580439003
vol.parkinson,vol,-0.12931060286967735,2240,0.12931060286967735
vol.atr_pct,vol,-0.1272521602794112,2240,0.1272521602794112
vol.rv96,vol,-0.12118317929361738,2238,0.12118317929361738
hmm.side,hmm,0.11664475902766201,2240,0.11664475902766201
vol.atr_tod,vol,-0.1091382904893584,2238,0.1091382904893584
hmm.bull,hmm,-0.10037409691872164,2240,0.10037409691872164
vol.range_tod,vol,-0.06485782727310334,2238,0.06485782727310334
hmm.sojourn,hmm,0.05778247013616813,2240,0.05778247013616813
hmm.bear,hmm,-0.052881174758653844,2240,0.052881174758653844
vol.rv_tod,vol,-0.04666637047022874,2238,0.04666637047022874
hmm.fwd12,hmm,0.034072769973290506,2240,0.034072769973290506
hmm.edge,hmm,0.031700302081913566,2240,0.031700302081913566
hmm.conf,hmm,0.029285505165210703,2240,0.029285505165210703
hmm.entropy,hmm,-0.028545208774246805,2240,0.028545208774246805
vol.vol_of_vol,vol,0.020666610443023797,2236,0.020666610443023797
vol.atr_rank250,vol,-0.015314454986346177,2236,0.015314454986346177
vol.rv_ratio,vol,0.014911707570474926,2236,0.014911707570474926
vol.atr_rank1000,vol,-0.0009335442017739101,2229,0.0009335442017739101
