arm,keep,n,pts,pf,total,sd,mde,win,tgt,uplift,mde_split,rand_p,boot_p,n_sig_keep,ctl_n
+ema34>89,0.7,540,1.6340740740740751,1.0632567022067438,882.4000000000005,65.21305011613127,7.863316642984171,0.40925925925925927,0.08888888888888889,-0.8779345342473033,15.452493512595103,0.6925,0.617,4003,582.7075
+ema34>89,0.6,480,1.6329166666666661,1.0644372061974154,783.7999999999997,63.95686418061533,8.17964912064051,0.4125,0.07916666666666666,-0.8790919416547123,14.374792375160311,0.61,0.633,3407,531.225
+ema34>89,0.5,409,2.0254034229828863,1.081222509613669,828.3900000000006,63.65779208035089,8.819786012895843,0.4180929095354523,0.07579462102689487,-0.48660518533849206,13.44275420917029,0.53,0.565,2823,472.665
+ema34>89,0.4,343,1.266851311953353,1.0514757535731418,434.53000000000014,62.54066843878649,9.462014072612329,0.40233236151603496,0.06997084548104957,-1.2451572963680253,13.153509542301945,0.605,0.645,2228,403.4225
+ema34>89,0.3,264,0.3804545454545446,1.0151912748480343,100.43999999999977,61.378719933125886,10.584832609510869,0.39015151515151514,0.056818181818181816,-2.131554062866834,13.523059244405626,0.6725,0.692,1634,321.38
+adx<=20,0.7,291,9.242646048109966,1.3743159740585074,2689.61,73.17589672559521,12.019590993521911,0.45017182130584193,0.13058419243986255,2.982646048109965,21.92112516596466,0.0425,0.25,1929,324.405
+adx<=20,0.6,264,7.736515151515152,1.3133033187350913,2042.4400000000003,71.76362801364196,12.375722250369844,0.45075757575757575,0.11742424242424243,1.4765151515151507,21.08364529969738,0.15,0.374,1678,292.975
+adx<=20,0.5,227,6.4148458149779755,1.2539168554255316,1456.1700000000005,71.64357528117259,13.32393339354299,0.44052863436123346,0.10572687224669604,0.1548458149779739,20.030878769997354,0.355,0.5,1404,254.745
+adx<=20,0.4,187,6.71534759358289,1.2628855296459818,1255.7700000000004,73.11189666268471,14.980812836196053,0.44919786096256686,0.11229946524064172,0.45534759358288834,20.05257405543702,0.2925,0.485,1123,213.6525
+adx<=20,0.3,146,3.4497260273972623,1.1247010354201845,503.6600000000003,73.73606751338326,17.099037910143462,0.410958904109589,0.10273972602739725,-2.8102739726027393,20.99669586055084,0.61,0.671,868,172.36
