feature,imp,sd
tf,0.4747817460042343,0.006952440620330434
exit2,0.310516553287017,0.001869417514054543
units,0.26431793543806775,0.000971000074454552
entry1,0.24416311185063538,0.002461110265348915
exit1,0.24324247821243686,0.0033674109508616463
atr_mult,0.23016536375318686,0.0020898069808343665
pyr,0.2082628441766138,0.001259587957657687
adx_adx>=25,0.20274910985139927,0.002418918693554203
ext_ext>=3.0,0.18672353549124665,0.0014873858165935399
adx_adx<22,0.14609221089458124,0.0020759976162606176
ext_ext<3.193,0.05740462289735601,0.0005165556998597199
entry2,0.05706170366574245,0.0007312298355983224
ext_ext<3.964,0.04499784745713256,0.0008781671026638851
ext_off,0.03586438704462344,0.0006554354217964202
adx_adx>=20,0.02011307122913325,0.0003302379928360285
skip_False,0.013417216546438626,0.0007046822480600649
adx_off,0.013343638866643914,0.00024017638109887271
skip_True,0.00246503894114225,0.00011602233868920234
