name,tf,stop,gate,block,src,n,mae_R,mfe_R,mae_N,mfe_N,mae_med_R,mae_p90_R,ratio,R,win,held,c_mae_R,c_mfe_R,c_ratio,c_n,c_held,c_R
base 30/20 unfiltered,30,2.0,none,research,"the family baseline, no filter",452,1.0270063281072113,1.6854462056914887,2.0540126562144225,3.3708924113829775,1.0321787477196556,1.733791932884189,1.641125433762217,0.1199546627476502,0.3008849557522124,20.707964601769913,0.7444771990638845,1.3256893776234258,1.7837245243645934,449.85,18.62403359352691,0.08955682768340367
base 30/20 unfiltered,30,2.0,none,locked,"the family baseline, no filter",227,1.0001377559422935,1.590832083367447,2.000275511884587,3.181664166734894,1.023646028880079,1.6245816810846159,1.5906129669793565,0.14038951749950795,0.3568281938325991,22.427312775330396,0.7824834816722459,1.2656871614563499,1.6218183481961972,220.0,18.95688104508061,0.06937109004391265
V24 shipped  CHOP<=40,30,2.0,chop<=40,research,STUDY_V24_MA_CROSSOVER (the shipped configuration),240,0.9652164375051018,1.720706045823146,1.9304328750102036,3.441412091646292,1.015578622797789,1.773691294044689,1.7827152325242606,0.14800070193263884,0.35833333333333334,23.241666666666667,0.7205262092239058,1.286122027525246,1.7910557614929998,250.15,18.42047478588065,0.07269650547213621
V24 shipped  CHOP<=40,30,2.0,chop<=40,locked,STUDY_V24_MA_CROSSOVER (the shipped configuration),126,0.8981502507092253,1.599627782351067,1.7963005014184505,3.199255564702134,0.7410956679263625,1.8337539891021746,1.7810247016998761,0.16832184118780497,0.4444444444444444,24.150793650793652,0.7201720861959918,1.2404334695744257,1.7347637301156482,119.05,20.12811458653661,0.09977538482241347
V21  CHOP<=45,30,2.0,chop<=45,research,STUDY_V21_ADX_CHOP,315,1.0461838968147863,1.7294831448659909,2.0923677936295726,3.4589662897319817,1.0607586708975767,1.8700427546145832,1.6531349317568154,0.14242563284564302,0.33015873015873015,21.76825396825397,0.7348514074789566,1.281880663822057,1.7490510640541224,323.125,18.29332726439823,0.07500418512006105
V21  CHOP<=45,30,2.0,chop<=45,locked,STUDY_V21_ADX_CHOP,163,0.9262677695284592,1.5770879787909664,1.8525355390569185,3.154175957581933,0.9390752297243753,1.7803428196150393,1.7026264225881724,0.11426204686736029,0.37423312883435583,23.766871165644172,0.7418736158328059,1.268187103820039,1.7186068247723802,166.9,20.050113656686136,0.10035061876572693
V11  55/20 2.5N ADX>=25,15,2.5,adx>=25,research,STUDY_V11_MARKET,349,0.8912105051397198,1.6207081801708707,2.2280262628492995,4.051770450427177,0.9301233297743906,1.6108030869617402,1.8185469884208598,0.1698628781501663,0.3524355300859599,28.017191977077363,0.6393527690977617,1.1153337660082208,1.7480316064226749,346.1,21.88334204726924,0.06153350823879409
V11  55/20 2.5N ADX>=25,15,2.5,adx>=25,locked,STUDY_V11_MARKET,180,0.7817577764487936,1.4718676022099983,1.954394441121984,3.679669005524996,0.7752319649100944,1.3381895952079228,1.8827668192775668,0.14846101442712872,0.36666666666666664,31.67222222222222,0.6108864323393497,1.1085870520534162,1.8275719698701753,186.475,24.357787275421668,0.11192079397950656
V12  30/20 2.0N ADX>=25,15,2.0,adx>=25,research,STUDY_V12_DONCHIAN_3020,416,1.0144212693391714,1.9131141414181803,2.028842538678343,3.8262282828363605,1.0456169541696416,1.735254275226024,1.885916826906092,0.1822542937538379,0.3173076923076923,24.723557692307693,0.75919064348109,1.3258560625150408,1.7489145843579714,415.675,20.460786135912407,0.06167303377868917
V12  30/20 2.0N ADX>=25,15,2.0,adx>=25,locked,STUDY_V12_DONCHIAN_3020,225,0.8815824699108236,1.6734819370574112,1.7631649398216471,3.3469638741148224,0.9511286421270284,1.4313279994895665,1.8982704331980333,0.14109789568942901,0.3111111111111111,28.506666666666668,0.7287425362928847,1.3354795368522794,1.8400476250991311,228.95,23.170858927839813,0.13459717274132066
V38  70/30 2.5N (geom),30,2.5,none,research,"STUDY_V38_LINREG_GRID -- GEOMETRY ONLY, the LRMA/MA stack is not applied",237,0.9262622527915317,1.5927505298335585,2.3156556319788293,3.9818763245838964,0.9653797214476298,1.5651383578799465,1.7195459763510725,0.12854104201324615,0.32489451476793246,30.248945147679326,0.7522315093986707,1.3361316776171148,1.7807969238747503,240.2,26.276386973636505,0.06868273373996711
V38  70/30 2.5N (geom),30,2.5,none,locked,"STUDY_V38_LINREG_GRID -- GEOMETRY ONLY, the LRMA/MA stack is not applied",129,0.9031138548277285,1.3556566239597534,2.2577846370693213,3.3891415598993833,0.9479973137726305,1.4882941828183847,1.501091602916831,-0.0475807131409718,0.37209302325581395,32.2093023255814,0.7696454936096748,1.2818940454397432,1.6719531042228781,135.25,27.916754348220092,0.05111932443440681
V40  40/25 1.5N MA200d,15,1.5,ma200_far,research,"STUDY_V40 -- (close-MA200)/ATR above its median, the one filter of 17 that scored",589,1.3055171510046963,2.14494789458368,1.9582757265070445,3.2174218418755203,1.1608237697136754,2.2713960029058984,1.6429871433959922,0.0666295939785933,0.21901528013582344,21.857385398981325,1.0446318617187422,2.006756843085617,1.923006530092311,577.675,23.007870906181036,0.12886931669269047
V40  40/25 1.5N MA200d,15,1.5,ma200_far,locked,"STUDY_V40 -- (close-MA200)/ATR above its median, the one filter of 17 that scored",284,1.2359039077199305,2.1974661088395604,1.8538558615798957,3.296199163259341,1.1128844246960827,1.9644163663965326,1.7780234329815958,0.18837504998868945,0.2852112676056338,26.038732394366196,1.0494468516630717,1.8529841158495226,1.7694633988334871,285.45,23.469053692280788,0.08974081407088466
V42 SPEC 20/55 (1 unit),240,2.0,adx<22&ext<3.964,research,STUDY_V42_TURTLE_MILLION -- LADDER OFF here so it is comparable; it ships with 4,36,0.7457064002612608,1.8964386605358226,1.4914128005225216,3.792877321071645,0.580185001014781,1.6693982561057608,2.5431438698546756,0.5959524108618204,0.5277777777777778,25.27777777777778,0.7897547502141868,1.7276901895023307,2.2169274410014976,38.4,22.90872945557454,0.3703947704400371
V42 SPEC 20/55 (1 unit),240,2.0,adx<22&ext<3.964,locked,STUDY_V42_TURTLE_MILLION -- LADDER OFF here so it is comparable; it ships with 4,24,0.7773813222622863,1.5999974610045282,1.5547626445245726,3.1999949220090564,0.6129533882002485,1.7740050055191474,2.0581887102050715,0.32196297483668934,0.5,22.541666666666668,0.8051511010532444,1.5117806598645245,1.9141971979343417,24.1,23.35565638453251,0.1825948843072799
