feat,fam,dir,n,thr,mfe,mae,mfe_pts,mae_pts,atr_pts,ratio,tf,win,hz,base_mfe,base_mae,base_n
mom.rsi14,mom,high,4767,62.514407172309525,1.9192262563871978,2.072645154848454,29.05391231382421,31.982955737361024,14.446952394392415,0.9259791778142198,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.rsi14,mom,low,4767,39.132850478163625,1.812993461301358,2.1120389359843017,30.517306482064193,34.8440318858821,14.91979463672877,0.8584091090425019,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.rsi7,mom,high,4767,67.66033652399801,1.909258160145454,2.0605688273802323,28.400251730648208,31.018932242500526,13.87585229519229,0.9265684964150642,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.rsi7,mom,low,4767,34.496537985821796,1.8573170509023391,2.1367317266355754,29.80726872246696,34.59880427942102,14.406421272279681,0.869232682675989,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.roc10,mom,high,4767,0.15124413843116483,1.7584369884159332,1.9352106295321516,34.82074680092301,37.74213341724355,19.503467973373134,0.9086540563499517,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.roc10,mom,low,4767,-0.13713831729709222,1.739879862303978,1.9957240125618212,34.87355779316132,39.53015523389973,19.69823050003712,0.8718038422910853,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.roc30,mom,high,4767,0.217581270109745,1.7927517195260807,1.9738752017682233,33.13787497377806,36.83967904342354,18.29554227033487,0.9082396485452121,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.roc30,mom,low,4767,-0.1973948143109758,1.7261764914929327,1.9351016436872108,35.32163834696874,37.72178518984686,19.19756091650061,0.8920340164684142,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.macd_hist,mom,high,4767,0.20152189737080464,1.869625432635006,2.0388158197906914,29.647209985315712,32.15617788965807,14.740026223243161,0.9170153647458676,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.macd_hist,mom,low,4767,-0.1957805694656306,1.8060119543173334,2.0844379450127337,29.464862597021188,34.07205789804909,14.474192055173473,0.8664263470344283,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.di_spread,mom,high,4767,12.161378151011641,1.916843756613699,2.0554813918730432,28.62513110971261,31.100954478707784,13.938993250057557,0.9325522304373617,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.di_spread,mom,low,4767,-13.311975691892012,1.817538878968457,2.083668357204228,30.956261799874135,34.860918816865954,15.102836267769638,0.8722783895452291,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
mom.adx14,mom,high,4767,35.379979760582344,1.827271106849306,2.00366309394051,31.78335431088735,35.10420599958045,16.9679117684257,0.9119652462409226,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
