tf,k,stop_atr,tp_r,block,n,pf,pts,R,win,hit_tp,hit_sl,flat,t_tp,t_sl,t_tp_med,t_sl_med,t_flat
5,0,0.75,1.0,research,15065,0.8133047998068454,-1.230387920877024,-0.13106184386185118,0.49678061732492534,0.48277464321274477,0.486292731496847,0.03093262529040823,4.620101746184518,4.448675948675949,3.0,3.0,4.860515021459228
5,0,0.75,1.0,locked,8039,0.8050320485704405,-1.8871254444056502,-0.12838786384158182,0.48239830824729446,0.46647592984202013,0.5027988555790521,0.030725214578927726,4.774933333333333,4.442850074220683,3.0,3.0,5.364372469635628
5,0,0.75,1.5,research,11967,0.8358276782937993,-1.297185142592528,-0.12971326767114744,0.4016044121333668,0.3808807554107128,0.5804295144982033,0.03868973009108381,7.901053093462044,5.708609271523179,6.0,3.0,8.056155507559396
5,0,0.75,1.5,locked,6462,0.8364913513567943,-1.87093496213409,-0.12751619182919013,0.3910554008047044,0.3681522748375116,0.5931600123800681,0.0386877127824203,7.934426229508197,5.686929298199844,6.0,3.0,8.7
5,0,0.75,2.0,research,10100,0.8429985748306978,-1.373521526915826,-0.1379030385533604,0.33712871287128715,0.3092079207920792,0.6438613861386139,0.04693069306930693,11.43067563240474,6.893126249423343,8.0,4.0,10.377637130801688
5,0,0.75,2.0,locked,5342,0.8349970137083633,-2.089038851429456,-0.12775092273088504,0.33058779483339573,0.3006364657431674,0.6518157993260951,0.04754773493073755,11.724782067247821,6.979896611143022,8.0,3.0,12.598425196850394
5,0,1.0,1.0,research,10877,0.8451037538786846,-1.3280804499700256,-0.10573466458645082,0.4920474395513469,0.47283258251356075,0.48395697343017374,0.043210444056265514,7.869142523818783,7.393996960486322,5.0,5.0,8.736170212765957
5,0,1.0,1.0,locked,5756,0.8347807763382156,-2.0715350524137013,-0.10172577025990644,0.48436414176511466,0.46108408617095203,0.495135510771369,0.04378040305767894,8.070459683496608,7.573333333333333,5.0,5.0,9.825396825396826
5,0,1.0,1.5,research,8392,0.8623948958829011,-1.3910814359529802,-0.10859527856599861,0.40014299332697806,0.3677311725452812,0.5747140133460439,0.057554814108674926,13.110823071937784,9.307484967862326,10.0,6.0,12.937888198757763
5,0,1.0,1.5,locked,4464,0.8602097483983642,-2.055841548376493,-0.09578106287073732,0.39471326164874554,0.362679211469534,0.5797491039426523,0.05757168458781362,13.261272390364422,9.470247295208654,9.0,6.0,14.342412451361868
5,0,1.0,2.0,research,6937,0.8840347268100944,-1.2757754135973458,-0.09951867690055534,0.3446734899812599,0.30142712988323483,0.6286579212916246,0.06991494882514054,18.95456719273075,11.056867690896583,14.0,6.0,17.276288659793813
5,0,1.0,2.0,locked,3762,0.8723759519303589,-2.0456924766461446,-0.10251313718397906,0.3349282296650718,0.2913343965975545,0.6395534290271132,0.06911217437533226,18.455291970802918,11.18246051537822,14.0,6.0,18.85
5,0,1.5,1.0,research,6432,0.8859882148079347,-1.375454184825202,-0.07574907960077917,0.4916044776119403,0.45537935323383083,0.46906094527363185,0.07555970149253731,15.857630590645272,14.323500165727545,11.0,10.0,17.271604938271604
5,0,1.5,1.0,locked,3408,0.9121002383712645,-1.531793668895448,-0.05656875487249163,0.49471830985915494,0.4565727699530516,0.46742957746478875,0.07599765258215962,15.633676092544988,14.941619585687382,11.0,10.0,20.042471042471043
5,0,1.5,1.5,research,4930,0.9073606869791803,-1.2993687351867689,-0.06557841363290817,0.40872210953346855,0.3531440162271805,0.5482758620689655,0.09858012170385395,24.954623779437107,17.82870884202738,20.0,11.0,23.05349794238683
5,0,1.5,1.5,locked,2579,0.9112935767292412,-1.777168554799136,-0.06616535300185046,0.4059713067080264,0.3443195036835983,0.5552539744086855,0.10042652190771617,24.914414414414413,18.758379888268156,18.0,11.0,27.185328185328185
5,0,1.5,2.0,research,4126,0.910819869057272,-1.3540235509274972,-0.0702691053712518,0.35288414929714007,0.27944740668928747,0.601308773630635,0.11924381968007755,35.47441457068517,20.425231761386538,28.0,12.0,27.73170731707317
5,0,1.5,2.0,locked,2149,0.9278451785438473,-1.544132186108426,-0.061023531623951396,0.3550488599348534,0.27221963704048396,0.6040018613308515,0.1237785016286645,35.738461538461536,21.28813559322034,26.0,12.0,32.74812030075188
5,1,0.75,1.0,research,8017,0.8123249604593118,-1.0912617636145834,-0.13682092052910025,0.5009355120369215,0.49020830734688786,0.4840962953723338,0.025695397280778347,5.093384223918575,4.856995619685648,3.0,3.0,5.315533980582524
5,1,0.75,1.0,locked,4524,0.7898107886385476,-1.7862900566688296,-0.12445275369693058,0.4907161803713528,0.47723253757736517,0.49712643678160917,0.02564102564102564,5.279759147753589,4.931525122276567,3.0,3.0,5.344827586206897
5,1,0.75,1.5,research,6470,0.8490469748593532,-1.050251799259099,-0.12583531038696927,0.40741885625965996,0.3911901081916538,0.5754250386398764,0.03338485316846986,8.712761754247333,6.19231802309965,6.0,4.0,8.24074074074074
5,1,0.75,1.5,locked,3618,0.8041363685500785,-1.9858588421809718,-0.11962391236693579,0.39856274184632395,0.37838584853510226,0.5881702598120508,0.03344389165284688,8.823228634039445,6.552161654135339,6.0,4.0,8.512396694214877
5,1,0.75,2.0,research,5554,0.8685777638539567,-1.0131743999520657,-0.12575229336360236,0.34389629096146923,0.3208498379546273,0.6382787180410515,0.04087144400432121,12.441077441077441,7.588152327221438,9.5,4.0,10.52863436123348
5,1,0.75,2.0,locked,3038,0.801007820111125,-2.25546870002706,-0.1283262992598426,0.33410138248847926,0.30513495720868994,0.65174456879526,0.043120473996050034,13.022653721682849,8.008585858585858,9.0,4.0,12.488549618320612
5,1,1.0,1.0,research,5954,0.8604582436940574,-1.0524414795971782,-0.0984667008469071,0.5003359086328518,0.4853879744709439,0.47783003023177695,0.03678199529727914,8.655709342560554,8.02390158172232,6.0,6.0,9.251141552511415
5,1,1.0,1.0,locked,3263,0.8017950043333392,-2.224082857870235,-0.10230483446720262,0.4878945755439779,0.4692001225865768,0.4934109714986209,0.03738890591480233,9.003919007184846,8.683850931677018,6.0,6.0,9.344262295081966
5,1,1.0,1.5,research,4725,0.8914239182599106,-0.9723138644360206,-0.09586156041645105,0.4067724867724868,0.38095238095238093,0.56994708994709,0.0491005291005291,14.227222222222222,10.22539918306721,11.0,6.0,12.737068965517242
5,1,1.0,1.5,locked,2553,0.817658780862952,-2.4308402252402015,-0.09834506942341835,0.39796318057187624,0.36662749706227965,0.5804935370152762,0.052878965922444184,14.948717948717949,10.987179487179487,11.0,7.0,14.785185185185185
5,1,1.0,2.0,research,3923,0.914364434381633,-0.8436744983901135,-0.08475193492692425,0.349732347693092,0.31353555952077494,0.6257965842467499,0.06066785623247515,20.815447154471546,12.30794297352342,16.0,7.0,17.126050420168067
5,1,1.0,2.0,locked,2173,0.8288796535237503,-2.5506732376055825,-0.10356559683698927,0.3368614818223654,0.29406350667280257,0.6419696272434422,0.06396686608375518,21.190923317683882,13.16057347670251,16.0,7.0,18.928057553956833
5,1,1.5,1.0,research,3737,0.902769539689745,-1.0486231289155519,-0.07078872342191428,0.49531709927749534,0.46588172330746586,0.46695210061546694,0.06716617607706717,17.283744974152786,15.958166189111747,12.0,11.0,16.99203187250996
5,1,1.5,1.0,locked,2009,0.8663274965471955,-2.1229767224997467,-0.05782012674637745,0.4962667994026879,0.45993031358885017,0.46689895470383275,0.07317073170731707,17.6525974025974,17.550106609808104,12.0,12.0,18.54421768707483
5,1,1.5,1.5,research,2881,0.9277297957773004,-0.9144786338561293,-0.061241391964170756,0.4113155154460257,0.36167997223186393,0.5498090940645609,0.08851093370357514,27.44337811900192,20.386994949494948,21.0,13.0,22.905882352941177
5,1,1.5,1.5,locked,1558,0.8518974513792446,-2.748509182145409,-0.07484534913466348,0.4050064184852375,0.3446726572528883,0.5577663671373556,0.0975609756097561,28.905027932960895,21.734177215189874,22.0,14.0,25.56578947368421
5,1,1.5,2.0,research,2473,0.9420087214317514,-0.7939686971673113,-0.05968312103112955,0.3522038010513546,0.2907399919126567,0.6021027092600081,0.10715729882733523,38.39916550764951,23.289456010745468,31.0,15.0,26.871698113207547
5,1,1.5,2.0,locked,1305,0.8669392107812322,-2.7011468375544383,-0.06450241130914927,0.35019157088122604,0.27816091954022987,0.6045977011494252,0.11724137931034483,41.34159779614325,25.20785804816223,33.0,16.0,30.202614379084967
5,2,0.75,1.0,research,2944,0.8510371395289845,-0.7501812420389923,-0.1249890598698546,0.5166440217391305,0.5088315217391305,0.47214673913043476,0.019021739130434784,5.518024032042724,5.2748201438848925,4.0,4.0,4.464285714285714
