tf,stop_atr,tp_atr,tp_r,rung,block,n,pf,pts,win,hit_tp,hit_sl,flat,p_star,c_pts,p,t_tp,t_sl
5,2.2,7.37,3.3499999999999996,MAE p60,research,1989,0.9428135589211752,-1.1973210983191718,0.31975867269984914,0.13675213675213677,0.615887380593263,0.2473604826546003,0.24012212042014372,-1.2327600673509318,0.43,87.5,31.0
5,2.2,7.37,3.3499999999999996,MAE p60,locked,1055,0.9100054983808462,-2.707019046492655,0.3061611374407583,0.12132701421800948,0.6246445497630332,0.25402843601895736,0.23742740799670467,-3.8256271588284094,0.29,86.5,28.0
5,3.53,7.37,2.087818696883853,MAE p75,research,1487,0.9337053865933124,-1.7237325220604771,0.3913920645595158,0.18022864828513785,0.48755884330867516,0.33221250840618693,0.33300114218667753,-1.5879958064906075,0.56,95.5,59.0
5,3.53,7.37,2.087818696883853,MAE p75,locked,776,0.9270595595670158,-2.6971477147871123,0.39819587628865977,0.16108247422680413,0.49355670103092786,0.34536082474226804,0.33063362709878896,-4.549307179230307,0.28,116.0,58.0
5,6.13,7.37,1.202283849918434,MAE p90,research,1129,0.9490428271507706,-1.561313540035062,0.47741364038972545,0.24357838795394154,0.3170947741364039,0.43932683790965454,0.4616190800815713,-2.211904925091934,0.38,124.0,93.5
5,6.13,7.37,1.202283849918434,MAE p90,locked,591,0.9008228949178063,-4.336003229696022,0.47715736040609136,0.21150592216582065,0.3333333333333333,0.45516074450084604,0.45971204992270887,-2.763081832111843,0.71,147.0,114.0
15,1.44,4.62,3.2083333333333335,MAE p60,research,1926,0.9205029993103518,-1.60344906009887,0.32139148494288683,0.1360332294911734,0.6079958463136034,0.25597092419522327,0.247957650801333,-1.5275806142444346,0.54,81.0,30.0
15,1.44,4.62,3.2083333333333335,MAE p60,locked,984,0.9321038527288465,-1.9759285181558843,0.3241869918699187,0.12703252032520326,0.6026422764227642,0.2703252032520325,0.24510823117320224,-3.5558407577217523,0.19,87.0,31.0
15,2.21,4.62,2.090497737556561,MAE p75,research,1472,0.9144824273690833,-2.1386496530525205,0.39402173913043476,0.17527173913043478,0.49184782608695654,0.3328804347826087,0.33279600071807935,-1.6898417151375567,0.65,91.0,56.0
15,2.21,4.62,2.090497737556561,MAE p75,locked,764,0.8972028198609109,-3.7390735816572116,0.39659685863874344,0.16099476439790575,0.4882198952879581,0.3507853403141361,0.33026346042376925,-3.4606108497503643,0.54,124.0,55.0
15,3.71,4.62,1.2452830188679245,MAE p90,research,1109,0.939394217537425,-1.7441252558844778,0.4896302975653742,0.22813345356176737,0.3255184851217313,0.44634806131650134,0.4531780605794648,-1.4530545433146136,0.55,130.0,89.0
15,3.71,4.62,1.2452830188679245,MAE p90,locked,589,0.9495752707794294,-2.17435677899885,0.4940577249575552,0.21561969439728354,0.3293718166383701,0.45500848896434637,0.4509991269353556,-2.3998989237571884,0.48,138.0,117.5
