feat,fam,h,block,n,ic,t,p
rp.rv20,rp,1,research,490,0.05214456179683024,1.1583837597562194,0.246707463601882
rp.rv20,rp,1,locked,267,0.025906624686821866,0.43572672459243983,0.6630350135644449
rp.rv20,rp,5,research,490,0.03841247118216798,0.4543943468185043,0.6495450205184858
rp.rv20,rp,5,locked,263,0.05106627474055563,0.4628087409054481,0.6435014653017397
rp.rv20,rp,10,research,490,0.043275873192104186,0.3980354272541294,0.6906040715007182
rp.rv20,rp,10,locked,258,0.10258335432527813,0.6251023892552808,0.5319038599332928
rp.rv20,rp,20,research,490,0.08116769179652171,0.6968828559997595,0.48587610761363353
rp.rv20,rp,20,locked,248,0.0012871126664159576,0.005665142956720861,0.9954798940780338
rp.rv_term_5_60,rp,1,research,476,0.03483013860956498,0.7436913287279461,0.45706323659073367
rp.rv_term_5_60,rp,1,locked,267,-0.013248364916988093,-0.2369798732526361,0.8126724043860933
rp.rv_term_5_60,rp,5,research,476,0.011274913143012915,0.14918858715729802,0.8814048253396347
rp.rv_term_5_60,rp,5,locked,263,-0.1256151331326207,-1.3330882171032459,0.18250285565349422
rp.rv_term_5_60,rp,10,research,476,-0.0027473789913184735,-0.03310008433896215,0.9735947754952634
rp.rv_term_5_60,rp,10,locked,258,-0.13078045663332064,-1.1192691669542592,0.2630253254997892
rp.rv_term_5_60,rp,20,research,476,-0.05885957958158437,-0.8133385406175574,0.41602398590069134
rp.rv_term_5_60,rp,20,locked,248,-0.25584275196646583,-1.723138522443058,0.08486347795922478
rp.rv_term_20_60,rp,1,research,476,0.0019013126601186653,0.04225719683734938,0.9662936667609361
rp.rv_term_20_60,rp,1,locked,267,-0.00013428674823063024,-0.00216331213452781,0.9982739279939759
rp.rv_term_20_60,rp,5,research,476,-0.07845952283594669,-0.9373710731763002,0.3485677152117681
rp.rv_term_20_60,rp,5,locked,263,0.04152758830871041,0.3793320592367146,0.704441295654666
rp.rv_term_20_60,rp,10,research,476,-0.1310055382629715,-1.2722637825290035,0.2032794121764101
rp.rv_term_20_60,rp,10,locked,258,0.06615135372713872,0.39244766435297995,0.6947274737875491
rp.rv_term_20_60,rp,20,research,476,-0.14044634338343084,-1.4009967094285347,0.1612150571078561
rp.rv_term_20_60,rp,20,locked,248,-0.032226594768783895,-0.14409774836197475,0.8854232827136272
rp.volofvol,rp,1,research,471,0.04875149588502416,1.054056142240023,0.291857214087214
rp.volofvol,rp,1,locked,267,0.050471012345554477,0.8828377347281792,0.3773239492703504
rp.volofvol,rp,5,research,471,0.0903495030560845,1.0155985361228468,0.3098206022532506
