sue,thr,h,block,n,mean_bp,t,p
pead.sue,0.0,1,research,476,0.059238017085502685,0.013094200788276751,0.9895526379033002
pead.sue,0.0,1,locked,267,-11.051405404644942,-1.2426955700118123,0.2139800369990481
pead.sue,0.0,5,research,476,-5.518479860166995,-0.5931353440937001,0.5530905785091833
pead.sue,0.0,5,locked,263,-22.62141978366395,-1.3378686608442907,0.18093925474186756
pead.sue,0.0,10,research,476,7.689752671605009,0.599143410596688,0.5490772554841763
pead.sue,0.0,10,locked,258,-14.201373138159191,-0.5809414617257077,0.5612799071742749
pead.sue,0.0,20,research,476,-10.365828397861367,-0.47724515602655865,0.6331875595440375
pead.sue,0.0,20,locked,248,6.105838446793262,0.18380864881234066,0.8541635709724871
pead.sue,1.0,1,research,148,5.345857555352458,0.7024618812815683,0.4823911657782638
pead.sue,1.0,1,locked,75,-23.768679246487775,-1.0472158359974801,0.29500004312552197
pead.sue,1.0,5,research,148,-6.336333780208517,-0.42075498211544343,0.6739340076126787
pead.sue,1.0,5,locked,75,-29.822037236846676,-0.969152062819767,0.3324693247280377
pead.sue,1.0,10,research,148,-18.33602575573148,-0.8507165097268482,0.3949268498117333
pead.sue,1.0,10,locked,75,-32.75378456877173,-0.8489435720218496,0.39591269194336753
pead.sue,1.0,20,research,148,-34.9899581825054,-1.0516639764976072,0.2929537440835237
pead.sue,1.0,20,locked,72,-65.17818825125809,-1.8220465020360073,0.06844793005935457
pead.sue,1.5,1,research,69,11.549119793388257,1.0824441817008719,0.2790552053297095
pead.sue,1.5,1,locked,38,-11.724079865322516,-0.5030743646738247,0.6149119894101021
pead.sue,1.5,5,research,69,-8.103207347888565,-0.3409450001886995,0.7331449869710855
pead.sue,1.5,5,locked,38,-3.646663226343742,-0.07932956742308679,0.9367704890009461
pead.sue,1.5,10,research,69,-19.964369867984175,-0.5341452728042475,0.5932410292937538
pead.sue,1.5,10,locked,38,-40.288077072539835,-0.942566156165382,0.3459028576263248
pead.sue,1.5,20,research,69,-5.874206803885494,-0.10754605642709553,0.9143557894223122
pead.sue,1.5,20,locked,36,-54.90645250161642,-1.0767243786505871,0.2816034178399396
pead.sue,2.0,1,research,25,27.84108945871751,1.3547210148544153,0.17550645983372481
pead.sue,2.0,5,research,25,-1.6624047067971048,-0.052182599256721765,0.9583831978232609
pead.sue,2.0,10,research,25,7.534307297489562,0.09871152800679618,0.921367315546296
pead.sue,2.0,20,research,25,13.285220628091565,0.15636226368936354,0.8757474804746008
pead.sue_on,0.0,1,research,476,3.9992451998089926,0.9442738966583207,0.34502970149235734
pead.sue_on,0.0,1,locked,267,10.800210469385771,1.1444078711535004,0.252454525433361
pead.sue_on,0.0,5,research,476,-15.740621728993961,-1.5964317217337147,0.11039243852466374
pead.sue_on,0.0,5,locked,263,18.483781883791767,1.0496459420001616,0.29388092623221684
pead.sue_on,0.0,10,research,476,-3.9112125462885152,-0.33526334554134,0.7374264412714164
pead.sue_on,0.0,10,locked,258,14.00168496736571,0.9208489952646397,0.35712927083861556
pead.sue_on,0.0,20,research,476,-16.13460571694358,-1.3702903649544496,0.1705962795237579
pead.sue_on,0.0,20,locked,248,18.192221553206704,0.6746701532644344,0.49988535123846956
pead.sue_on,1.0,1,research,132,10.62564040398129,1.303574095671023,0.19237883769848896
pead.sue_on,1.0,1,locked,69,23.09407744161067,0.9513116069817252,0.34144621657901086
pead.sue_on,1.0,5,research,132,-1.7580172381029857,-0.0767520058546919,0.938820831831356
pead.sue_on,1.0,5,locked,69,-17.950286590926552,-0.6652051474341097,0.5059192886188566
pead.sue_on,1.0,10,research,132,15.126139644314819,0.5970722483325577,0.5504591452731606
pead.sue_on,1.0,10,locked,68,-10.89214261066066,-0.44464372562927124,0.6565772430056576
pead.sue_on,1.0,20,research,132,-3.671489539527003,-0.12574905434288813,0.8999305702795841
pead.sue_on,1.0,20,locked,64,-20.31574328183322,-0.4095153107074352,0.682161533149988
pead.sue_on,1.5,1,research,57,20.67821618618332,1.90931088743825,0.05622199864391808
pead.sue_on,1.5,1,locked,38,53.58312288283102,1.3208571031909577,0.1865490152984659
pead.sue_on,1.5,5,research,57,1.8281761234337468,0.053803872218347024,0.9570914244063318
pead.sue_on,1.5,5,locked,38,2.062545696116583,0.06123755530181742,0.951170021036523
pead.sue_on,1.5,10,research,57,8.68159055749411,0.32089512876894966,0.7482898655622356
pead.sue_on,1.5,10,locked,38,-20.878999633261046,-0.6012269456691834,0.5476888396455082
pead.sue_on,1.5,20,research,57,-66.32620127442385,-3.33028082206866,0.0008675843648477954
pead.sue_on,1.5,20,locked,36,-45.54545599693692,-1.0850384758386185,0.2779046145482318
