market,tf,block,model,n_kept,kept_R,base_R,lift,p_vs_random,ic
US100L,15,research-CV,ridge,1103,0.17985812053632205,0.05782198314496339,0.12203613739135866,0.004,0.08700999951187172
US100L,15,research-CV,lgbm,1103,0.13976652574647153,0.05782198314496339,0.08194454260150813,0.034,0.09884669898041204
US100L,15,research-CV,mlp,1103,0.08757796759095005,0.05782198314496339,0.029755984445986657,0.2575,0.020319127958598866
US100L,15,LOCKED,ridge,598,0.19655094246435278,0.11917153163835484,0.07737941082599795,0.0985,0.0863841070115448
US30L,15,UNSEEN,ridge,1601,0.06430250948801192,0.026711316488316348,0.03759119299969557,0.1445,0.07257648970346525
US100L,30,research-CV,ridge,611,0.08008068204246951,0.07444811066942934,0.005632571373040171,0.458,0.024288735497656706
US100L,30,research-CV,lgbm,611,0.1524846131568673,0.07444811066942934,0.07803650248743794,0.067,0.03531613912435401
US100L,30,research-CV,mlp,611,0.09053370416052506,0.07444811066942934,0.016085593491095715,0.3755,-0.054835770620116756
US100L,30,LOCKED,lgbm,343,0.12889638304712092,0.15146333358617314,-0.022566950539052222,0.602,-0.01892353446107259
US30L,30,UNSEEN,lgbm,825,0.23460238217687868,0.13929738187591012,0.09530500030096856,0.0205,0.021681332949149763
US100L,60,research-CV,ridge,253,0.18851838782094638,0.19901687748768573,-0.010498489666739358,0.5525,-0.08932917474922179
US100L,60,research-CV,lgbm,253,0.08105141019991373,0.19901687748768573,-0.117965467287772,0.926,-0.07287876202078661
US100L,60,research-CV,mlp,253,0.17136948863371862,0.19901687748768573,-0.027647388853967114,0.6345,-0.07399823594399575
US100L,60,LOCKED,ridge,145,0.1281272297608429,0.10451403903175396,0.023613190729088934,0.411,-0.025355584612716295
US30L,60,UNSEEN,ridge,369,0.325171009812542,0.20130335363729707,0.12386765617524492,0.054,0.009087892473482758
