market,tf,block,n_in,R_in,n_out,R_out,diff,p
US100L,15,research,166,-0.12799468312153794,2048,0.07712084674268417,-0.2051155298642221,0.08466666666666667
US100L,15,LOCKED,109,0.0007725080178626263,1088,0.1310331985268049,-0.13026069050894226,0.26466666666666666
US100L,30,research,180,-0.09612611330756256,1051,0.1039236005103689,-0.20004971381793146,0.04933333333333333
US100L,30,LOCKED,121,-0.05043305755043433,565,0.19470132177649083,-0.24513437932692517,0.072
US100L,60,research,183,0.16686168844209312,330,0.2013010064931704,-0.03443931805107728,0.356
US100L,60,LOCKED,110,0.0391711824996444,180,0.14444578469026537,-0.10527460219062096,0.23466666666666666
US30L,15,research,134,0.17139936253165067,1871,0.05216278957663572,0.11923657295501494,0.7773333333333333
US30L,15,LOCKED,107,-0.03760947276993347,1099,-0.03282316847440905,-0.0047863042955244225,0.508
US30L,30,research,135,0.4148526571532583,862,0.18522580441870112,0.22962685273455719,0.896
US30L,30,LOCKED,120,0.22483367390437303,539,-0.030650067847177172,0.2554837417515502,0.9466666666666667
US30L,60,research,152,0.30426476629674615,317,0.21591705136846343,0.08834771492828272,0.7166666666666667
US30L,60,LOCKED,119,0.10230897552363004,154,0.1494983937788557,-0.04718941825522567,0.406
