family,n_all,n_fill,fill,mkt_all,mkt_onfill,lim_onfill,immed,selection,price,delta
bar.closehi,15469,2190,0.14157346951968452,0.011877926218398187,-0.5028103678892848,0.1007461314340087,-0.04311503619904225,-0.514688294107683,0.6035564993232935,0.08886820521561052
bar.closelo,13180,2291,0.1738239757207891,-0.02936337539998099,-0.5406795249976813,-0.0036525442010205376,-0.04980363195525488,-0.5113161495977003,0.5370269807966608,0.025710831198960452
bar.narrow,10565,988,0.09351632749645054,0.057762535745487904,-0.5724824877591729,-0.08597716825230582,-0.04002436044606774,-0.6302450235046608,0.48650531950686704,-0.14373970399779373
bar.wide,5911,1648,0.2788022331246828,-0.03336030590515057,-0.4805015677324794,0.07917816743608633,-0.04886217476210855,-0.44714126182732883,0.5596797351685657,0.1125384733412369
bb.lower,7377,1673,0.2267859563508201,-0.025974106952259615,-0.6096599658336046,-0.11990024667312368,-0.04295202109656941,-0.5836858588813449,0.4897597191604809,-0.09392613972086407
bb.upper,7515,1153,0.15342648037258816,0.08771980830184227,-0.5348378826233432,0.02665947700441753,-0.02988296836348999,-0.6225576909251854,0.5614973596277607,-0.06106033129742474
don.break10,24332,3634,0.14935064935064934,0.04885888876177643,-0.48829662138866176,0.04623544633018237,-0.03964101987328393,-0.5371555101504382,0.5345320677188441,-0.0026234424315940627
don.break100,8119,1321,0.16270476659687153,0.17064435986596116,-0.4420424364029058,0.13707676130200713,-0.03192308419635047,-0.6126867962688669,0.5791191977049129,-0.033567598563954026
don.break20,17230,2662,0.15449796865931514,0.05785441519575492,-0.4944872599921126,0.0452634227490982,-0.044175688315339315,-0.5523416751878676,0.5397506827412109,-0.01259099244665672
don.break200,5679,906,0.1595351294241944,0.16607677840057292,-0.4482187477880911,0.07892479253567199,-0.010182074843297188,-0.614295526188664,0.5271435403237631,-0.08715198586490093
don.break30,14153,2240,0.15827033137850632,0.07456182249932014,-0.47518354355031167,0.08652657557405775,-0.04318188395730767,-0.5497453660496319,0.5617101191243694,0.011964753074737614
don.break55,10476,1699,0.16218022145857197,0.12276792079316,-0.47059132591563535,0.08231093305980314,-0.04121187123868521,-0.5933592467087954,0.5529022589754384,-0.04045698773335686
don.low10,20416,3978,0.19484717868338558,0.017873595876291896,-0.551320249312414,-0.014796538466505466,-0.03783967425750418,-0.5691938451887059,0.5365237108459086,-0.03267013434279736
don.low100,5818,1141,0.1961155036094878,0.017808139256136366,-0.5623283579369389,-0.03265268932313262,-0.03277320226763762,-0.5801364971930753,0.5296756686138063,-0.05046082857926899
don.low20,13733,2747,0.20002912692055633,0.0136647892427973,-0.5669338223844138,-0.0348618097815119,-0.042150197801601647,-0.5805986116272112,0.5320720126029019,-0.0485265990243092
don.low200,3763,674,0.17911241031092215,0.05927711750166598,-0.5041609629066331,0.028263135118206904,-0.0074050299512876385,-0.5634380804082991,0.53242409802484,-0.031013982383459072
don.low30,10982,2246,0.2045164815152067,0.02788125398561813,-0.576441802378511,-0.04975139322852042,-0.038775244987577444,-0.6043230563641291,0.5266904091499905,-0.07763264721413855
don.low55,7812,1603,0.20519713261648745,0.03462106078481731,-0.5608112512529349,-0.012517450259531285,-0.030963690050726037,-0.5954323120377522,0.5482938009934035,-0.047138511044348595
ema.above20,9235,1398,0.15138061721710883,-0.017913985017171338,-0.5058242273785502,0.044904628264940655,-0.041186481808145436,-0.4879102423613788,0.5507288556434908,0.062818613282112
ema.above200,2541,403,0.15859897678079496,0.1004931091660773,-0.5249113547491753,-0.05869051618045742,-0.004354027497309249,-0.6254044639152526,0.4662208385687179,-0.1591836253465347
ema.above50,5656,895,0.15823903818953325,0.008291594773410555,-0.5285596566101238,0.005935405279219893,-0.04003833690115244,-0.5368512513835344,0.5344950618893437,-0.002356189494190662
ema.below20,9240,1582,0.1712121212121212,-0.01048212507432833,-0.4904364673192221,0.12306066889700872,-0.03610558434587269,-0.47995434224489375,0.6134971362162308,0.13354279397133706
ema.below200,2544,497,0.19536163522012578,0.09091780512501621,-0.5227467861383029,0.008287304990752871,-0.0028286732237921934,-0.6136645912633192,0.5310340911290559,-0.08263050013426335
ema.below50,5657,1106,0.19550998762595015,0.005017208533423084,-0.4730536978591946,0.04437490451680062,-0.03759164034265503,-0.4780709063926177,0.5174286023759952,0.03935769598337754
null.random0,566,99,0.17491166077738515,-0.00020973777857349229,-0.03413635648638321,0.4947009625851221,-0.11909301049992037,-0.03392661870780972,0.5288373190715053,0.49491070036369555
null.random1,549,77,0.14025500910746813,-0.10464062486107716,-0.6059139563211826,-0.0790348093047228,-0.06330549067394471,-0.5012733314601054,0.5268791470164598,0.025605815556354355
null.random2,534,71,0.13295880149812733,-0.0740149361255725,-0.5613438986098249,-0.04145476018568396,-0.09256231274745103,-0.4873289624842524,0.519889138424141,0.03256017593988854
null.random3,559,73,0.13059033989266547,0.07592798592465398,-0.4671640050940548,0.08471385517657119,-0.03908226125499415,-0.5430919910187088,0.551877860270626,0.008785869251917211
roc.dn12,12455,2084,0.16732236049779206,0.05647147013494813,-0.4896286846246952,0.0462438922115957,-0.023978847958617332,-0.5461001547596434,0.535872576836291,-0.01022757792335243
roc.dn192,11841,1696,0.1432311460180728,-0.0617094796275688,-0.5699336129502893,-0.08913263713291197,-0.054164706958881446,-0.5082241333227205,0.48080097581737735,-0.027423157505343174
roc.dn48,11867,1620,0.13651301929721074,0.03300941700733781,-0.4974510569746899,0.03636769106494989,-0.01679734243311472,-0.5304604739820277,0.5338187480396398,0.003358274057612083
roc.up12,12635,1584,0.12536604669568657,0.11723390134834069,-0.4613537823933912,0.1045873567664329,-0.001419552784818897,-0.5785876837417319,0.5659411391598241,-0.012646544581907795
roc.up192,12528,1716,0.13697318007662834,0.06556052141792126,-0.4940411951186925,0.0014462865592265268,-0.014312763029817618,-0.5596017165366137,0.495487481677919,-0.06411423485869473
roc.up48,12558,1568,0.12486064659977704,0.2100353675813497,-0.40361069172641334,0.1466877980614337,0.004315750585938668,-0.6136460593077631,0.550298489787847,-0.06334756951991599
rsi.hi14,7832,1139,0.14542900919305413,0.1902587114675552,-0.4452681855001597,0.053748514521384905,-0.02183229145815184,-0.6355268969677149,0.4990167000215446,-0.1365101969461703
rsi.hi28,2262,318,0.14058355437665782,0.23109813075949812,-0.444030697426578,0.1370738485185206,0.03450632316559822,-0.6751288281860761,0.5811045459450986,-0.0940242822409775
rsi.hi7,18948,2642,0.13943424108085287,0.09983591838989957,-0.46332232034541826,0.06394644379280977,-0.036292033227649366,-0.5631582387353178,0.527268764138228,-0.0358894745970898
rsi.lo14,6212,1306,0.21023824855119125,-0.02635403556863677,-0.614496484351048,-0.05203655285251394,-0.05907278783480134,-0.5881424487824112,0.562459931498534,-0.02568251728387717
rsi.lo28,1719,338,0.1966259453170448,0.01323271248792457,-0.6187694282747944,-0.14209930328878723,-0.08685968941596715,-0.632002140762719,0.4766701249860072,-0.1553320157767118
rsi.lo7,15161,3057,0.20163577600422136,-0.0412456126790967,-0.603608098128993,-0.08267797745568758,-0.049821043290286776,-0.5623624854498963,0.5209301206733054,-0.04143236477659088
shock.dn2.0,4565,1037,0.22716319824753559,0.04876065102692022,-0.4677424914222262,0.031976855311774605,-0.018773512710881384,-0.5165031424491464,0.49971934673400076,-0.016783795715145614
shock.dn3.0,1835,455,0.24795640326975477,0.056921417972369624,-0.43136262582890383,0.06131499324352257,-0.0022125733714587776,-0.48828404380127344,0.4926776190724264,0.004393575271152944
shock.up2.0,4286,690,0.16098926738217453,0.07855990129936309,-0.5080594166254182,0.07350431186129831,-0.004755754196257013,-0.5866193179247813,0.5815637284867166,-0.005055589438064778
shock.up3.0,1519,289,0.1902567478604345,0.10249130719996723,-0.4275783352506876,0.20034650026716852,-0.008968357035207021,-0.5300696424506548,0.6279248355178562,0.0978551930672013
