family,side,n,immed,mkt,gap_atr,gap_R
bar.closehi.L,L,15400,-0.04301724427535603,0.00818827723795387,-0.010869478984263605,-0.005434739492131802
bar.closehi.S,S,15400,-0.06563174386134446,-0.13056543309383714,0.010869478984263605,0.005434739492131802
bar.closelo.L,L,13111,-0.04946488363465272,-0.037388913146947145,0.01080042244331798,0.00540021122165899
bar.closelo.S,S,13111,-0.06260264661094025,-0.12883398705570062,-0.01080042244331798,-0.00540021122165899
bar.narrow.L,L,10521,-0.03961635080458935,0.055235563431364085,0.00021198550616986824,0.00010599275308493412
bar.narrow.S,S,10521,-0.07826501606705434,-0.15898955661447228,-0.00021198550616986824,-0.00010599275308493412
bar.wide.L,L,5886,-0.04882545813096736,-0.03552475595292864,0.0003984897980861864,0.0001992448990430932
bar.wide.S,S,5886,-0.04623487882070395,-0.1140586609454854,-0.0003984897980861864,-0.0001992448990430932
bb.lower.L,L,7334,-0.04114475000630525,-0.021156093094903728,0.00364593978526961,0.001822969892634805
bb.lower.S,S,7334,-0.03698135389928326,-0.09421711100806807,-0.00364593978526961,-0.001822969892634805
bb.upper.L,L,7462,-0.029340812176316414,0.07438869772876723,-0.002153810804850271,-0.0010769054024251355
bb.upper.S,S,7462,-0.0834967230587291,-0.14264833206904143,0.002153810804850271,0.0010769054024251355
don.break10.L,L,24215,-0.039454494014515305,0.04082152617006069,7.97817752445415e-06,3.989088762227075e-06
don.break10.S,S,24215,-0.07658096117291974,-0.18570174072418175,-7.97817752445415e-06,-3.989088762227075e-06
don.break100.L,L,8069,-0.03240607116050706,0.14778012693416692,0.00021624360479860708,0.00010812180239930354
don.break100.S,S,8069,-0.06502196769072671,-0.16835757333342719,-0.00021624360479860708,-0.00010812180239930354
don.break20.L,L,17137,-0.04373983144779936,0.04837801371202437,-0.0001278990397387762,-6.39495198693881e-05
don.break20.S,S,17137,-0.07154614694682238,-0.16581940454962737,0.0001278990397387762,6.39495198693881e-05
don.break200.L,L,5654,-0.01098345903051749,0.16592182674116376,0.0011057895583031522,0.0005528947791515761
don.break200.S,S,5654,-0.07731010415514916,-0.16237265513131718,-0.0011057895583031522,-0.0005528947791515761
don.break30.L,L,14073,-0.04275950224325087,0.06315262320732946,-0.0003041234599661446,-0.0001520617299830723
don.break30.S,S,14073,-0.07061789666551387,-0.14831639520080275,0.0003041234599661446,0.0001520617299830723
don.break55.L,L,10423,-0.041360853700292,0.10518448667308479,-0.0005628633377246462,-0.0002814316688623231
don.break55.S,S,10423,-0.06276220726818751,-0.14523387678049446,0.0005628633377246462,0.0002814316688623231
don.low10.L,L,20296,-0.03669132366034585,0.017878960942817112,0.0014515184734246063,0.0007257592367123032
don.low10.S,S,20296,-0.05413358190234555,-0.0980532060639635,-0.0014515184734246063,-0.0007257592367123032
don.low100.L,L,5783,-0.032637496751178205,0.02200781227815258,0.00011742044726318367,5.8710223631591834e-05
don.low100.S,S,5783,-0.018308879835876393,-0.03305234264983302,-0.00011742044726318367,-5.8710223631591834e-05
don.low20.L,L,13649,-0.040453410050388584,0.016288310554306958,0.001232950278237867,0.0006164751391189335
don.low20.S,S,13649,-0.04260260369485336,-0.07561697322253888,-0.001232950278237867,-0.0006164751391189335
don.low200.L,L,3744,-0.008041931734414353,0.06131896114278,-0.0005373053013185793,-0.00026865265065928966
don.low200.S,S,3744,-0.031323536615996586,-0.08941641622810022,0.0005373053013185793,0.00026865265065928966
don.low30.L,L,10918,-0.037645640212405865,0.03128648263671585,0.0008816669638355432,0.0004408334819177716
don.low30.S,S,10918,-0.03795877254941883,-0.07004479292272942,-0.0008816669638355432,-0.0004408334819177716
don.low55.L,L,7767,-0.030441461388425715,0.039276745546463314,0.0005200794004988597,0.00026003970024942983
don.low55.S,S,7767,-0.029939238343459355,-0.0309910053236398,-0.0005200794004988597,-0.00026003970024942983
ema.above20.L,L,9188,-0.04179397007610324,-0.025689752653960705,-0.0031472525865683465,-0.0015736262932841733
ema.above20.S,S,9188,-0.07991217086739148,-0.18225983697578066,0.0031472525865683465,0.0015736262932841733
ema.above200.L,L,2532,-0.003314540163352111,0.09813463785649958,-0.002012190938857469,-0.0010060954694287344
ema.above200.S,S,2532,-0.07359457926662022,-0.1530586957272255,0.002012190938857469,0.0010060954694287344
ema.above50.L,L,5627,-0.04018367260902701,0.0025597031801418394,-0.004332766913641235,-0.0021663834568206174
ema.above50.S,S,5627,-0.06832924388281506,-0.13037365031789,0.004332766913641235,0.0021663834568206174
ema.below20.L,L,9193,-0.036468261901616346,-0.02164938128185528,0.003875110195519091,0.0019375550977595456
ema.below20.S,S,9193,-0.08806630218859138,-0.19274506261251384,-0.003875110195519091,-0.0019375550977595456
ema.below200.L,L,2535,-0.0008102428163392147,0.09494438695529511,0.0034207769929441322,0.0017103884964720661
