family,side,expiry,fill_res,c1_immed,c1_sel,c1_mkt,c1_lim,c1_price,c1_delta,c1.5_immed,c1.5_sel,c1.5_mkt,c1.5_lim,c1.5_price,c1.5_delta,c2_immed,c2_sel,c2_mkt,c2_lim,c2_price,c2_delta
bar.closehi.L,L,15,0.34584415584415584,-0.04301724427535603,-0.5043593557117009,0.00818827723795387,0.0607988356904911,0.556969914164238,0.05261055845253723,-0.07069781215500408,-0.5095337717705039,-0.0278529804338978,0.024502661771146225,0.5618894139755479,0.052355642205044024,-0.09759046687894267,-0.5113648692621545,-0.06178186054761851,-0.016309390659511796,0.5568373391502612,0.045472469888106715
bar.closehi.S,S,16,0.3537012987012987,-0.06563174386134446,-0.46432754896017936,-0.13056543309383714,-0.11879522213530908,0.47609775991870745,0.011770210958528066,-0.09233603053413954,-0.46659580142414653,-0.16351380751112948,-0.15453879610073581,0.47557081283454017,0.008975011410393668,-0.11961935617848804,-0.4703176000571233,-0.19990236974533737,-0.1895856052760561,0.48063436452640457,0.010316764469281259
bar.closelo.L,L,14,0.3553504690717718,-0.04946488363465272,-0.5298462523355042,-0.037388913146947145,-0.017512614308369038,0.5497225511740823,0.019876298838578107,-0.07673523011813704,-0.5290404572766507,-0.07195657356096631,-0.06209077151551366,0.5389062593221033,0.009865802045452648,-0.10479715696246858,-0.532738904876036,-0.10697755120528726,-0.10203794695373161,0.5376785091275917,0.0049396042515556515
bar.closelo.S,S,14,0.35687590572801464,-0.06260264661094025,-0.44064364114517196,-0.12883398705570062,-0.1613440446013475,0.40813358359952506,-0.03251005754564687,-0.09071494041388536,-0.44519607916605936,-0.16207916415275653,-0.19694004802844883,0.41033519529036705,-0.034860883875692306,-0.11861690658872319,-0.4458481999016022,-0.19757168695263327,-0.23501869267198447,0.40840119418225096,-0.037447005719351195
bar.narrow.L,L,23,0.34768558121851534,-0.03961635080458935,-0.5749696656615592,0.055235563431364085,0.013454308688383444,0.5331884109185786,-0.04178125474298064,-0.06739863952135035,-0.5792656709603533,0.021935395142673154,-0.02734475915668531,0.5299855166609948,-0.04928015429935846,-0.09461818980589759,-0.5828951545757802,-0.013246993968781285,-0.0658744389358728,0.5302677096086887,-0.05262744496709152
bar.narrow.S,S,23,0.35129740518962077,-0.07826501606705434,-0.4893717898479854,-0.15898955661447228,-0.24316247283080364,0.4051988736316541,-0.08417291621633136,-0.1063852412549396,-0.4942729162690171,-0.19354316023410395,-0.2757746090114716,0.41204146749164944,-0.08223144877736766,-0.1339047564448707,-0.49624480997130793,-0.22656640450764068,-0.31075848212427526,0.4120527323546733,-0.08419207761663458
bar.wide.L,L,8,0.35694869181107713,-0.04882545813096736,-0.4765546474885491,-0.03552475595292864,0.04751995750803194,0.5595993609495097,0.08304471346096057,-0.07073860264723006,-0.4843406965602961,-0.06729005748534457,0.021214107071219682,0.5728448611168604,0.08850416455656425,-0.09392274053485422,-0.48458660760751326,-0.09706174098974726,-0.01919254798552089,0.5624558006117397,0.07786919300422637
bar.wide.S,S,9,0.3525314305130819,-0.04623487882070395,-0.4851605318711008,-0.1140586609454854,-0.15636540413343772,0.4428537886831485,-0.042306743187952314,-0.06878309641607858,-0.4862347028292828,-0.14230431611895308,-0.18057820820913414,0.44796081073910177,-0.03827389209018106,-0.0917186514209113,-0.49013171535652056,-0.17463994870249297,-0.21730191183770495,0.4474697522213086,-0.04266196313521198
bb.lower.L,L,11,0.35928551949822746,-0.04114475000630525,-0.5656032576245306,-0.021156093094903728,-0.10460966748465957,0.48214968323477475,-0.08345357438975584,-0.06519906297482422,-0.5640757497704546,-0.05150372798869087,-0.13786924555355187,0.4777102322055936,-0.086365517564861,-0.09022269360397141,-0.567421179942156,-0.08454476660288206,-0.1784059814533611,0.47355996509167697,-0.09386121485047903
bb.lower.S,S,12,0.35751295336787564,-0.03698135389928326,-0.5276732231510417,-0.09421711100806807,-0.1472429615010693,0.47464737265804047,-0.053025850493001236,-0.06248176521025039,-0.5272666733719271,-0.1258052386048897,-0.17826743088014987,0.47480448109666695,-0.05246219227526017,-0.08774835584245082,-0.5306033832922876,-0.1582770006832666,-0.22245914691431765,0.4664212370612365,-0.06418214623105103
bb.upper.L,L,15,0.3507102653444117,-0.029340812176316414,-0.6067717246229781,0.07438869772876723,-0.02757567040964929,0.5048073564845617,-0.10196436813841653,-0.05596054601582789,-0.608062768353738,0.03646528488740528,-0.061363854086269154,0.5102336293800636,-0.09782913897367443,-0.08337368313799794,-0.6047184849914714,0.0034945388420681246,-0.10034571840126282,0.5008782277481405,-0.10384025724333094
bb.upper.S,S,13,0.3554006968641115,-0.0834967230587291,-0.4340520606199348,-0.14264833206904143,-0.05104942760270395,0.5256509650862723,0.09159890446633748,-0.11090879679308277,-0.4386233117942929,-0.17454604385824604,-0.08178405084811224,0.5313853048044267,0.0927619930101338,-0.13805057314604896,-0.44568903278910904,-0.2111946265966172,-0.11512131187005892,0.5417623475156673,0.09607331472655828
don.break10.L,L,15,0.34763576295684495,-0.039454494014515305,-0.5723344459232121,0.04082152617006069,-0.001693465500839223,0.5298194542523121,-0.042514991670899914,-0.06632892690140192,-0.5717073724618399,0.005284850514335387,-0.04073457645995535,0.5256879454875492,-0.04601942697429074,-0.0938599144809349,-0.573953190034934,-0.028557255966242232,-0.07707421076768202,0.5254362352334941,-0.04851695480143979
don.break10.S,S,14,0.3541606442287838,-0.07658096117291974,-0.43941886472884384,-0.18570174072418175,-0.1620705433809278,0.4630500620720978,0.023631197343253946,-0.10350371934122744,-0.4419337126250025,-0.21815189341109217,-0.1954972764620836,0.4645883295740111,0.022654616949008582,-0.13065804373336462,-0.4442045344902673,-0.25155072291466674,-0.227587723439695,0.468167533965239,0.02396299947497174
don.break100.L,L,14,0.3524600322220845,-0.03240607116050706,-0.6227610909051375,0.14778012693416692,0.08195628164694184,0.5569372456179124,-0.06582384528722508,-0.05396118822345543,-0.6234978620977589,0.1200404121676147,0.056045132635113744,0.559502582565258,-0.06399527953250095,-0.07726939450016578,-0.6282022625754106,0.09136018900589424,0.026697004757062427,0.5635390783265787,-0.06466318424883181
don.break100.S,S,13,0.3535754120708886,-0.06502196769072671,-0.42090330338310444,-0.16835757333342719,-0.14985644712499133,0.43940442959154025,0.01850112620843586,-0.08709799061405543,-0.4211437742355723,-0.19291866345540937,-0.17670474782688506,0.4373576898640966,0.01621391562852431,-0.10957792526266324,-0.4259229172650205,-0.22304337046471923,-0.2057770508961159,0.4431892368336239,0.017266319568603333
don.break20.L,L,14,0.3452179494660676,-0.04373983144779936,-0.5846005931585965,0.04837801371202437,8.57719534460984e-05,0.5363083514000182,-0.04829224175857827,-0.06976082492410346,-0.5831906494610859,0.01593142811318411,-0.03744540130033721,0.5298138200475645,-0.053376829413521315,-0.09718745367889117,-0.5845818502180125,-0.016825218046508602,-0.07480463062203836,0.5266024376424827,-0.05797941257552976
don.break20.S,S,13,0.34422594386415356,-0.07154614694682238,-0.45172922328008924,-0.16581940454962737,-0.12660159403162982,0.4909470337980868,0.03921781051799755,-0.09804023802466293,-0.455356267256412,-0.19601986981654163,-0.1607505757622774,0.49062556131067625,0.03526929405426424,-0.12471527966866572,-0.459055965789433,-0.229306457848211,-0.19221470236868152,0.49614772126896245,0.037091755479529476
don.break200.L,L,15,0.3517863459497701,-0.01098345903051749,-0.6103523121459924,0.16592182674116376,0.07998637812171736,0.524416863526546,-0.08593544861944641,-0.02941819544579304,-0.6096814105777496,0.1452006682018673,0.057898214618807085,0.5223789569946894,-0.08730245358306021,-0.04949928088876613,-0.6139325209753465,0.11978228751095428,0.02991468343087639,0.5240649168952686,-0.08986760408007789
