family,side,expiry,fill_res,n_res,nf_res,mkt_res_R,sel_res,gap_res,immed_res,n_lk,nf_lk,mkt_lk_R,sel_lk,gap_lk,immed_lk,fill_lk
bar.closehi.L,L,15,0.34584415584415584,15400,5326,0.00818827723795387,-0.5043593557117009,-0.7710079489736146,-0.04301724427535603,8725,2974,0.05693940223739784,-0.5464073486494548,-0.8289695908479384,-0.026658562652061596,0.3408595988538682
bar.closehi.S,S,16,0.3537012987012987,15400,5447,-0.13056543309383714,-0.46432754896017936,-0.7184410985619172,-0.06563174386134446,8725,3041,-0.023654052728208613,-0.49648858070342294,-0.7621152122866582,-0.0374557385862545,0.3485386819484241
bar.closelo.L,L,14,0.3553504690717718,13111,4659,-0.037388913146947145,-0.5298462523355042,-0.8219136552734021,-0.04946488363465272,7162,2532,0.017963057853392483,-0.5166631441669362,-0.799209813935982,-0.03550247300748532,0.35353253281206365
bar.closelo.S,S,14,0.35687590572801464,13111,4679,-0.12883398705570062,-0.44064364114517196,-0.6851611455235234,-0.06260264661094025,7162,2583,0.04487918269212817,-0.5681936390041551,-0.8887099459593271,-0.03091271920993713,0.36065344875733035
bar.narrow.L,L,23,0.34768558121851534,10521,3658,0.055235563431364085,-0.5749696656615592,-0.8814302568010002,-0.03961635080458935,5489,2065,0.13722978806968839,-0.6478025409870742,-1.038489529053169,-0.014556540257629437,0.376206959373292
bar.narrow.S,S,23,0.35129740518962077,10521,3696,-0.15898955661447228,-0.4893717898479854,-0.7543854360425868,-0.07826501606705434,5489,2174,-0.06970325728622291,-0.4693107424429977,-0.7770879834900797,-0.06354049234449306,0.3960648569867007
bar.wide.L,L,8,0.35694869181107713,5886,2101,-0.03552475595292864,-0.4765546474885491,-0.7410833963322588,-0.04882545813096736,3100,1112,0.025504355352688413,-0.4476880601492584,-0.6981051239752016,0.0021103383832807125,0.35870967741935483
bar.wide.S,S,9,0.3525314305130819,5886,2075,-0.1140586609454854,-0.4851605318711008,-0.7493190476497769,-0.04623487882070395,3100,1129,-0.013714598257032255,-0.525129068382728,-0.8259259827430019,-0.017124629492369297,0.3641935483870968
bb.lower.L,L,11,0.35928551949822746,7334,2635,-0.021156093094903728,-0.5656032576245306,-0.882769587448033,-0.04114475000630525,4155,1554,0.004054732021493271,-0.5409675393241437,-0.8641753655870114,-0.018385016241262403,0.3740072202166065
bb.lower.S,S,12,0.35751295336787564,7334,2622,-0.09421711100806807,-0.5276732231510417,-0.8212978392592827,-0.03698135389928326,4155,1588,0.08185726654413557,-0.5825729544646031,-0.9429647938451211,-0.01923203757153866,0.38219013237063776
bb.upper.L,L,15,0.3507102653444117,7462,2617,0.07438869772876723,-0.6067717246229781,-0.9345161215968345,-0.029340812176316414,3904,1383,0.08790704287104849,-0.5468290469403165,-0.8468149937544609,-0.002625815671818144,0.3542520491803279
bb.upper.S,S,13,0.3554006968641115,7462,2652,-0.14264833206904143,-0.4340520606199348,-0.6733672507995745,-0.0834967230587291,3904,1320,-0.022674745070552733,-0.5819964361898962,-0.8793011172156946,-0.05551743553516649,0.33811475409836067
don.break10.L,L,15,0.34763576295684495,24215,8418,0.04082152617006069,-0.5723344459232121,-0.8773234543287067,-0.039454494014515305,13420,4703,0.08862287801552493,-0.556113386675761,-0.8561479464481718,-0.02887426588215846,0.35044709388971684
don.break10.S,S,14,0.3541606442287838,24215,8576,-0.18570174072418175,-0.43941886472884384,-0.6803841555987566,-0.07658096117291974,13420,4363,0.03776050182158053,-0.5102852389135928,-0.7561033351242592,-0.028547772709881205,0.3251117734724292
don.break100.L,L,14,0.3524600322220845,8069,2844,0.14778012693416692,-0.6227610909051375,-0.9617338263183837,-0.03240607116050706,4534,1534,0.11427961171385871,-0.5411616907438264,-0.8178757019441696,-0.03179264819943153,0.3383325981473313
don.break100.S,S,13,0.3535754120708886,8069,2853,-0.16835757333342719,-0.42090330338310444,-0.6511251447466008,-0.06502196769072671,4534,1484,-0.019761435224662963,-0.5251196193060481,-0.7806204439126629,-0.019025304119586098,0.32730480811645346
don.break20.L,L,14,0.3452179494660676,17137,5916,0.04837801371202437,-0.5846005931585965,-0.8928170720041768,-0.04373983144779936,9509,3263,0.08893312103420632,-0.5572068334169521,-0.8482996764268007,-0.024585024555678566,0.343148596066884
don.break20.S,S,13,0.34422594386415356,17137,5899,-0.16581940454962737,-0.45172922328008924,-0.6888488787462974,-0.07154614694682238,9509,3039,0.030475072346036237,-0.5170161824225684,-0.759861959606832,-0.029161178533639823,0.3195919655063624
don.break200.L,L,15,0.3517863459497701,5654,1989,0.16592182674116376,-0.6103523121459924,-0.9415912613570099,-0.01098345903051749,3161,1075,0.15741287468853063,-0.554203926605216,-0.839807580057089,-0.001586914957694257,0.3400822524517558
don.break200.S,S,13,0.3533781393703573,5654,1998,-0.16237265513131718,-0.44046722388982307,-0.6811820798339877,-0.07731010415514916,3161,1024,-0.010795462306086455,-0.5605871125692636,-0.829207235765766,-0.03440063183529017,0.3239481176842771
don.break30.L,L,14,0.35088467277765933,14073,4938,0.06315262320732946,-0.5889190412139318,-0.9072641124251408,-0.04275950224325087,7739,2652,0.0712305173120699,-0.5471061297570555,-0.8323283542736097,-0.019589881375425115,0.3426799328078563
don.break30.S,S,13,0.34925033752575857,14073,4915,-0.14831639520080275,-0.45383355545752513,-0.6974011384531286,-0.07061789666551387,7739,2520,0.0051444279689649665,-0.5390188295694125,-0.7992846756155745,-0.02950001361101454,0.3256234655640264
don.break55.L,L,14,0.3540247529502063,10423,3690,0.10518448667308479,-0.619419564149435,-0.9588905565319414,-0.041360853700292,5825,1981,0.09145149299592208,-0.5290438996917495,-0.801685930204069,-0.021633053216798627,0.34008583690987126
don.break55.S,S,13,0.3541206946176725,10423,3691,-0.14523387678049446,-0.43659578633450247,-0.6759711647303208,-0.06276220726818751,5825,1942,-0.026785216589296904,-0.4954387162956486,-0.7432218703121692,-0.02787447788433899,0.3333905579399142
don.low10.L,L,12,0.34666929444225464,20296,7036,0.017878960942817112,-0.5766367887793571,-0.8826108797183885,-0.03669132366034585,11329,4150,-0.0023586955905565373,-0.5335564958028253,-0.8419921355272612,-0.021761600921701464,0.36631653279194987
don.low10.S,S,12,0.34346669294442256,20296,6971,-0.0980532060639635,-0.5166681057429281,-0.7869640430888156,-0.05413358190234555,11329,4030,0.018955028570032336,-0.5402364321086538,-0.838517405036161,-0.03376804306121757,0.3557242475063995
don.low100.L,L,12,0.34895383019194187,5783,2018,0.02200781227815258,-0.6122348859523753,-0.9403862803353482,-0.032637496751178205,3086,1232,-0.038456026149613555,-0.4554402907695656,-0.758084540083538,-0.03320531989085317,0.39922229423201555
don.low100.S,S,12,0.3429016081618537,5783,1983,-0.03305234264983302,-0.4945425680546983,-0.7526157029106106,-0.018308879835876393,3086,1126,-0.063305269765594,-0.5508387987409912,-0.867290067813622,0.021606923651451358,0.3648736228127025
don.low20.L,L,12,0.35284636237086964,13649,4816,0.016288310554306958,-0.5762812332748285,-0.890485967731024,-0.040453410050388584,7497,2826,-0.034604604414897655,-0.4758833690198757,-0.7637973918950992,-0.01456604394326701,0.37695078031212487
don.low20.S,S,12,0.3485237013700637,13649,4757,-0.07561697322253888,-0.5209396220225515,-0.7996294310600321,-0.04260260369485336,7497,2710,0.02152477090447414,-0.5415881342559271,-0.8481901488440956,-0.030806518025250904,0.3614779245031346
don.low200.L,L,13,0.3456196581196581,3744,1294,0.06131896114278,-0.5926230481173524,-0.9056247723066806,-0.008041931734414353,2004,818,0.0029607924572985157,-0.4533050411607214,-0.7659555670203083,-0.038582206052364766,0.40818363273453095
don.low200.S,S,13,0.343482905982906,3744,1286,-0.08941641622810022,-0.5126970928495054,-0.7809348721027454,-0.031323536615996586,2004,731,0.035622566322049264,-0.6205526056020524,-0.9768950680491069,0.027775133083103698,0.3647704590818363
don.low30.L,L,12,0.35592599377175305,10918,3886,0.03128648263671585,-0.5875968269608418,-0.9123125933956868,-0.037645640212405865,5977,2280,-0.01800340897905727,-0.48463195283857974,-0.783512356536703,-0.024023005712285706,0.38146227204283084
don.low30.S,S,12,0.3503388899065763,10918,3825,-0.07004479292272942,-0.5202227640074806,-0.8007602054749293,-0.03795877254941883,5977,2143,0.02149592847027963,-0.5552318901317201,-0.8655766842246457,-0.012159151693431174,0.35854107411745023
don.low55.L,L,12,0.3544483069396163,7767,2753,0.039276745546463314,-0.5839169083293481,-0.9045238585947439,-0.030441461388425715,4303,1688,-0.03170767952320318,-0.4671477566376266,-0.7686947597750314,-0.03405520868136779,0.3922844527074134
