which,cross,block,n,keep,R,pf,ctrl,p
EXHAUSTED SELLERS,off,research,166,0.21536905965621841,0.35090097424825945,1.6963280644773975,0.14149133740237796,0.0
EXHAUSTED SELLERS,off,LOCKED,88,0.21536905965621841,0.3176287404953601,1.6480835780666778,0.12428794994824545,0.005
EXHAUSTED SELLERS,EMA13 > EMA48,research,133,0.17007077856420627,0.2979975031709878,1.5883199960801462,0.14378164054133402,0.014
EXHAUSTED SELLERS,EMA13 > EMA48,LOCKED,75,0.17007077856420627,0.207935767588494,1.4234505044122459,0.1189306049888719,0.158
EXHAUSTED SELLERS,EMA13x48 cross <= 20 bars,research,60,0.06895854398382205,0.09669626977207775,1.173743390236773,0.15378635536272275,0.6775
EXHAUSTED SELLERS,EMA13x48 cross <= 20 bars,LOCKED,38,0.06895854398382205,0.23502368294261514,1.54492927562114,0.09013800694068183,0.1745
ABSORBED SELLING,off,research,176,0.24064711830131447,0.23075172140189057,1.4039569911476302,0.13749613021377413,0.0495
ABSORBED SELLING,off,LOCKED,106,0.24064711830131447,0.03290593083994386,1.054908004161946,0.12751204280486272,0.908
ABSORBED SELLING,EMA13 > EMA48,research,133,0.1846309403437816,0.3369692654615601,1.6203443848080725,0.1430324017911721,0.0015
ABSORBED SELLING,EMA13 > EMA48,LOCKED,84,0.1846309403437816,0.0966691723246146,1.1681379342233005,0.1204095228472074,0.611
ABSORBED SELLING,EMA13x48 cross <= 20 bars,research,57,0.058038422649140546,0.1918960305763273,1.3208539897257658,0.15311181128234186,0.3935
ABSORBED SELLING,EMA13x48 cross <= 20 bars,LOCKED,37,0.058038422649140546,0.014535214122982552,1.0276949399031374,0.08620861897770084,0.685
EITHER (the union),off,research,285,0.41759352881698686,0.184203947576829,1.3358866890134478,0.12084908265305117,0.0435
EITHER (the union),off,LOCKED,155,0.41759352881698686,0.18291469364608162,1.3421751548245997,0.143632066868558,0.21
EITHER (the union),EMA13 > EMA48,research,220,0.32699696663296257,0.22064582712217629,1.4142045989915448,0.12938694782168966,0.0235
EITHER (the union),EMA13 > EMA48,LOCKED,129,0.32699696663296257,0.17101496263332694,1.3308193450493175,0.13588126875307832,0.286
EITHER (the union),EMA13x48 cross <= 20 bars,research,107,0.12032355915065723,0.1243978488271751,1.2221778075241108,0.149134803326377,0.6175
EITHER (the union),EMA13x48 cross <= 20 bars,LOCKED,69,0.12032355915065723,0.16775312736662615,1.3588252612573963,0.10918005659899413,0.285
