which,k,w,res_R,lk_R,lk_n
EXHAUSTED SELLERS,2,5,0.5352194498021319,0.07304703334968135,66
EXHAUSTED SELLERS,2,10,0.340905454043257,0.1429353930425712,86
EXHAUSTED SELLERS,2,20,0.2693499525482156,0.23313225327192263,122
EXHAUSTED SELLERS,2,40,0.16313320924208832,0.24213902550054098,159
EXHAUSTED SELLERS,3,5,0.5499129207946444,0.6307608831448493,37
EXHAUSTED SELLERS,3,10,0.3948694227676028,0.4486454157744785,56
EXHAUSTED SELLERS,3,20,0.35090097424825945,0.3176287404953601,88
EXHAUSTED SELLERS,3,40,0.24542198899709552,0.23631153497105825,121
EXHAUSTED SELLERS,4,5,0.4581636718912061,0.22248830878531242,37
EXHAUSTED SELLERS,4,10,0.45323444606050994,0.3111357027686524,51
EXHAUSTED SELLERS,4,20,0.40493847583887477,0.18523051350256906,75
EXHAUSTED SELLERS,4,40,0.3197634665502433,0.252086242257132,99
EXHAUSTED SELLERS,5,5,0.24819546947804322,0.04343338869559527,23
EXHAUSTED SELLERS,5,10,0.3846017271851943,0.228477726514142,36
EXHAUSTED SELLERS,5,20,0.38533224784768694,0.16307433707822744,56
EXHAUSTED SELLERS,5,40,0.20725442896324855,0.21648085598178599,79
EITHER (the union),2,5,0.45996600962542117,0.13736776977685825,125
EITHER (the union),2,10,0.36848594282159874,0.1215674469294256,149
EITHER (the union),2,20,0.16970539160656362,0.20356473640005068,190
EITHER (the union),2,40,0.10647135344040971,0.14752379468392393,232
EITHER (the union),3,5,0.5106656822214819,0.4133791858801733,79
EITHER (the union),3,10,0.42026726101296036,0.21539666647972858,109
EITHER (the union),3,20,0.184203947576829,0.18291469364608162,155
EITHER (the union),3,40,0.13433581308261153,0.11397214682077925,199
EITHER (the union),4,5,0.5956179490693805,0.20064358036484964,68
EITHER (the union),4,10,0.37720564674717855,0.24158419006121917,90
EITHER (the union),4,20,0.2570619989163022,0.11675258449978805,129
EITHER (the union),4,40,0.1612949867897837,0.18737332069080562,173
EITHER (the union),5,5,0.37380734397933596,0.17817646742969373,52
EITHER (the union),5,10,0.36710216258558376,0.1255215479857974,77
EITHER (the union),5,20,0.2817190389225553,0.055317650981556034,112
EITHER (the union),5,40,0.13920270866070805,0.1242713033854425,151
