model,block,cond,tp,n,R,pf,p,tp_hit
engine,research,off,0.0,166,0.35090097424825945,1.6963280644773975,0.0,
engine,research,ADX >= 20,0.0,117,0.203405281976573,1.4201364939049157,0.2605,
engine,research,ADX >= 25,0.0,84,0.14381619758286363,1.3097378563970588,0.5505,
engine,research,ADX <= 20,0.0,90,0.3980280940227147,1.7680258689134087,0.027,
engine,research,TP 2 ATR,2.0,274,0.0953040263525507,1.2368057353963415,0.021,50.0
engine,research,TP 3 ATR,3.0,230,0.18181001163746813,1.4190399597333594,0.0,40.43478260869565
engine,research,TP 4 ATR,4.0,210,0.21529586605353093,1.4708615178137612,0.0005,31.9047619047619
engine,research,TP 6 ATR,6.0,184,0.21980210455675409,1.4439714646772752,0.0035,17.934782608695652
engine,LOCKED,off,0.0,88,0.3176287404953601,1.6480835780666778,0.0055,
engine,LOCKED,ADX >= 20,0.0,68,0.2744243125699867,1.5953964169111705,0.0395,
engine,LOCKED,ADX >= 25,0.0,46,0.1563072720597016,1.3545908961933102,0.3085,
engine,LOCKED,ADX <= 20,0.0,39,0.40848430336293384,1.8207080467967256,0.015,
engine,LOCKED,TP 2 ATR,2.0,145,0.06913855739427166,1.163900566949321,0.1265,48.96551724137931
engine,LOCKED,TP 3 ATR,3.0,118,0.2060398241712949,1.485453787666316,0.003,40.67796610169492
engine,LOCKED,TP 4 ATR,4.0,105,0.208768540152915,1.4600468580270323,0.0045,30.476190476190478
engine,LOCKED,TP 6 ATR,6.0,96,0.33428969720912566,1.7192878198726351,0.0,20.833333333333336
SCRIPT v2,research,off,0.0,166,0.3051355994629887,1.5884277773201667,0.002,
SCRIPT v2,research,ADX >= 20,0.0,116,0.18997270880872402,1.3822015788867756,0.2815,
SCRIPT v2,research,ADX >= 25,0.0,83,0.13446836207670154,1.2836572984703294,0.5535,
SCRIPT v2,research,ADX <= 20,0.0,91,0.31664753692321335,1.5871197940371908,0.0995,
SCRIPT v2,research,TP 2 ATR,2.0,273,0.07967519804103695,1.1947932883883423,0.048,49.08424908424908
SCRIPT v2,research,TP 3 ATR,3.0,230,0.16693801552209755,1.3792842387314892,0.001,40.0
SCRIPT v2,research,TP 4 ATR,4.0,210,0.19486212959228802,1.4184052397721307,0.004,31.428571428571427
SCRIPT v2,research,TP 6 ATR,6.0,184,0.17833075099664156,1.3522170419989255,0.056,17.391304347826086
SCRIPT v2,LOCKED,off,0.0,88,0.3124530261055409,1.6337128785516686,0.003,
SCRIPT v2,LOCKED,ADX >= 20,0.0,68,0.2703376236851372,1.5850928540683327,0.0345,
SCRIPT v2,LOCKED,ADX >= 25,0.0,46,0.15794428666465005,1.3611649955001879,0.2745,
SCRIPT v2,LOCKED,ADX <= 20,0.0,39,0.40150796755138185,1.79918420094032,0.013,
SCRIPT v2,LOCKED,TP 2 ATR,2.0,145,0.06521421385462692,1.1533642584275068,0.127,48.96551724137931
SCRIPT v2,LOCKED,TP 3 ATR,3.0,118,0.21778360588534185,1.5129658116681977,0.0025,41.52542372881356
SCRIPT v2,LOCKED,TP 4 ATR,4.0,105,0.22679706320066462,1.499613469261303,0.0015,31.428571428571427
SCRIPT v2,LOCKED,TP 6 ATR,6.0,96,0.3304503409324757,1.706755035924622,0.0,20.833333333333336
