name,tf,ent,exN,stop,tp,hold,adapt,cvd,ma,chop,psh,n_res,R_res,pf_res,pct_res,tot_res,sh_res,win_res,nb
F1 marginal consensus,15,40,30,3.0,0.0,240,0,off,2.0,40.0,1,212,0.18118222057819366,1.3551684617996216,0.09154802560806274,19.40818214416504,1.402450680732727,0.3820754587650299,18.823274612426758
F2 top research total,15,15,30,3.0,6.0,240,0,off,-99.0,99.0,0,967,0.05783209577202797,1.1263302564620972,0.038561783730983734,37.28924560546875,1.8437501192092896,0.37435367703437805,25.92667579650879
F3 best neighbourhood mean,60,55,30,2.5,4.0,960,0,off,2.0,45.0,1,114,0.4438982903957367,2.1150996685028076,0.2994399070739746,34.13615036010742,3.0764405727386475,0.5526315569877625,28.8510684967041
F4 top research Sharpe,15,55,30,2.5,3.0,960,0,k5w5,-99.0,99.0,0,64,0.46799829602241516,2.842427968978882,0.21745429933071136,13.917075157165527,3.391115665435791,0.65625,13.089811325073242
F5 top research per trade,60,55,30,3.0,0.0,960,0,off,2.0,45.0,1,64,0.5433311462402344,2.232492208480835,0.4542897045612335,29.074541091918945,1.9292140007019043,0.4375,25.663127899169922
G1 CVD kept: consensus,15,40,20,3.0,0.0,240,0,k2w40,2.0,40.0,1,117,0.14261052012443542,1.3660722970962524,0.08261267095804214,9.665682792663574,1.1890395879745483,0.49572649598121643,9.413627624511719
G2 CVD kept: top total,15,15,30,2.5,0.0,960,0,k5w40,-99.0,99.0,0,269,0.35766103863716125,1.7340980768203735,0.10828473418951035,29.12859344482422,2.0468239784240723,0.3643122613430023,24.356719970703125
G3 CVD kept: top Sharpe,15,55,30,2.5,3.0,480,0,k5w5,-99.0,99.0,0,64,0.46799829602241516,2.842427968978882,0.21745429933071136,13.917075157165527,3.391115665435791,0.65625,13.089811325073242
G4 CVD kept: neighbourhood,15,15,30,2.5,0.0,480,0,k5w40,-99.0,99.0,0,269,0.35766103863716125,1.7340980768203735,0.10828473418951035,29.12859344482422,2.0468239784240723,0.3643122613430023,24.356719970703125
S  shipped (the incumbent),30,20,20,2.0,0.0,480,0,k3w20,-99.0,99.0,0,157,0.3623531758785248,1.7103149890899658,0.12027432024478912,18.883068084716797,1.5162992477416992,0.35668790340423584,16.591880798339844
