name,block,tf,ent,exN,stop,tp,hold,adapt,cvd,ma,chop,psh,n,pct,tot,pf,sh,win,ctl,p,boot_p0,dd,mc99,dd_pctile,keep,pool_n
F1 marginal consensus,res,15,40,30,3.0,0.0,240,0,off,2.0,40.0,1,212,0.09154802046242802,19.40818033803474,1.5279285707915093,1.4024507789670433,0.38207547169811323,0.044568758190515395,0.0005,0.0176,3.1371974153514373,9.200748218557495,0.0324,0.2496039176148639,811
F1 marginal consensus,lock,15,40,30,3.0,0.0,240,0,off,2.0,40.0,1,117,0.08282187549111082,9.690159432459966,1.478729994377432,1.3863935828960263,0.46153846153846156,0.09022046028762222,0.5785,0.0722,5.595233230933401,7.3697329665607745,0.9046,0.2496039176148639,811
F2 top research total,res,15,15,30,3.0,6.0,240,0,off,-99.0,99.0,0,967,0.038561729458696285,37.28919238655931,1.237124869163368,1.8437485063804953,0.37435367114788004,0.038561729458696285,1.0,0.0092,6.724084537479097,14.852035135683392,0.2692,1.0,1448
F2 top research total,lock,15,15,30,3.0,6.0,240,0,off,-99.0,99.0,0,481,0.059030331603141015,28.393589501110828,1.294713440341677,1.9591980853192372,0.3991683991683992,0.059030331603141015,1.0,0.0228,7.799911918625213,15.354782803149549,0.4528,1.0,1448
F3 best neighbourhood mean,res,60,55,30,2.5,4.0,960,0,off,2.0,45.0,1,114,0.29944002263707553,34.13616258062661,2.379774900130736,3.0764418735009693,0.5526315789473685,0.17326537010086795,0.0,0.0,2.2200224987881967,5.626108842432906,0.1398,0.5857627118644068,255
F3 best neighbourhood mean,lock,60,55,30,2.5,4.0,960,0,off,2.0,45.0,1,60,0.04057231841591327,2.4343391049547964,1.1334245638956604,0.40527035565015374,0.38333333333333336,-0.05681909600903225,0.031,0.338,4.279899094634988,8.766329604759681,0.3306,0.5857627118644068,255
F4 top research Sharpe,res,15,55,30,2.5,3.0,960,0,k5w5,-99.0,99.0,0,64,0.21745433000159828,13.91707712010229,3.8139353489125067,3.3911161417048357,0.65625,0.020241600517333265,0.0,0.0,0.6071870642471424,1.8082709691581946,0.053,0.03685545224006762,1314
F4 top research Sharpe,lock,15,55,30,2.5,3.0,960,0,k5w5,-99.0,99.0,0,32,0.05360403305054991,1.715329057617597,1.373614791149431,0.7986731603290472,0.53125,0.010478861422771086,0.196,0.1982,1.793586302165132,2.693983282569791,0.773,0.03685545224006762,1314
F5 top research per trade,res,60,55,30,3.0,0.0,960,0,off,2.0,45.0,1,64,0.4542897892222145,29.07454651022173,2.5789185331779145,1.929214375139059,0.4375,0.32042995846011,0.002,0.0024,2.3109187311072255,7.217125004135406,0.0406,0.5857627118644068,147
F5 top research per trade,lock,60,55,30,3.0,0.0,960,0,off,2.0,45.0,1,41,0.08338887249921524,3.418943772467825,1.2466902163607243,0.4588555924494793,0.3902439024390244,-0.0382835287743538,0.0045,0.3382,4.395349784325964,8.99965122981481,0.3204,0.5857627118644068,147
G1 CVD kept: consensus,res,15,40,20,3.0,0.0,240,0,k2w40,2.0,40.0,1,117,0.08261266165857999,9.665681414053859,1.5552809212195595,1.1890395522226136,0.49572649572649574,0.037887571578608566,0.0165,0.0374,3.187779722045326,5.969018490980736,0.5606,0.11349560708627394,944
G1 CVD kept: consensus,lock,15,40,20,3.0,0.0,240,0,k2w40,2.0,40.0,1,77,0.045318881575210364,3.489553881291198,1.301512699972005,0.7236390809311228,0.42857142857142855,0.0690977514365338,0.717,0.236,4.303980169653782,5.456849829185398,0.9112,0.11349560708627394,944
G2 CVD kept: top total,res,15,15,30,2.5,0.0,960,0,k5w40,-99.0,99.0,0,269,0.10828469363325474,29.128582587345527,1.8018547043411681,2.0468231617879877,0.3643122676579926,0.03369754193878359,0.0,0.0004,2.9404237419151684,7.038199396257246,0.188,0.2447036864209053,1172
G2 CVD kept: top total,lock,15,15,30,2.5,0.0,960,0,k5w40,-99.0,99.0,0,148,0.03839452042266489,5.682389022554403,1.2010203056677515,0.7440221694542487,0.35135135135135137,0.07985928036116209,0.927,0.2152,6.897701554645212,10.227090032302456,0.776,0.2447036864209053,1172
G3 CVD kept: top Sharpe,res,15,55,30,2.5,3.0,480,0,k5w5,-99.0,99.0,0,64,0.21745433000159828,13.91707712010229,3.8139353489125067,3.3911161417048357,0.65625,0.020241600517333265,0.0,0.0,0.6071870642471424,1.8082709691581946,0.053,0.03685545224006762,1314
