model,keep,n,base,filt,up,p,p_ctl
ridge,0.8,180,0.06966526706680079,0.09049056143425227,0.020825294367451487,0.091,0.09666666666666666
ridge,0.7,157,0.06966526706680079,0.0907387978137641,0.021073530746963307,0.1445,0.16833333333333333
ridge,0.6,135,0.06966526706680079,0.06817918560298895,-0.001486081463811836,1.0,0.505
ridge,0.5,113,0.06966526706680079,0.0977720754118154,0.028106808345014618,0.154,0.205
ridge,0.4,90,0.06966526706680079,0.11321121179838471,0.04354594473158392,0.118,0.13666666666666666
logit,0.8,180,0.06966526706680079,0.06581524393108461,-0.003850023135716185,1.0,0.6066666666666667
logit,0.7,157,0.06966526706680079,0.06916744149547335,-0.0004978255713274332,1.0,0.5333333333333333
logit,0.6,135,0.06966526706680079,0.04073414898941134,-0.028931118077389444,1.0,0.8366666666666667
logit,0.5,113,0.06966526706680079,0.045063260410032197,-0.02460200665676859,1.0,0.7633333333333333
logit,0.4,90,0.06966526706680079,0.06199654826435021,-0.007668718802450578,1.0,0.6033333333333334
rf,0.8,180,0.06966526706680079,0.0675665549183036,-0.0020987121484971802,1.0,0.5683333333333334
rf,0.7,157,0.06966526706680079,0.079210373012529,0.009545105945728218,0.31,0.35
rf,0.6,135,0.06966526706680079,0.07358164433454076,0.003916377267739964,0.455,0.38333333333333336
rf,0.5,113,0.06966526706680079,0.10515286021195153,0.035487593145150736,0.141,0.14333333333333334
rf,0.4,90,0.06966526706680079,0.1798131511011701,0.11014788403436934,0.0065,0.006666666666666667
lgbm,0.8,180,0.06966526706680079,0.0879846959940893,0.01831942892728852,0.1225,0.10833333333333334
lgbm,0.7,157,0.06966526706680079,0.0784050411473071,0.008739774080506326,0.335,0.35
lgbm,0.6,135,0.06966526706680079,0.08667978852094799,0.017014521454147197,0.241,0.2683333333333333
lgbm,0.5,113,0.06966526706680079,0.12265018226983071,0.05298491520302993,0.0415,0.05
lgbm,0.4,90,0.06966526706680079,0.15619002305211685,0.08652475598531606,0.0165,0.02666666666666667
