feature,family,ic,twin_p95,p
mom.roc240,mom,0.18703118415507797,0.10797629582806574,0.0
struct.range_atr,struct,-0.14710703750526763,0.11032348293299618,0.0
trend.slope200,trend,0.1338769490096924,0.1024650758533502,0.02
volu.trend20,volu,-0.14557416772018544,0.12392509481668776,0.02
ffd.cvd_z,ffd,-0.15417825537294566,0.11429403708386009,0.02
ffd.price_z,ffd,-0.12524968394437422,0.11065755372945639,0.04
vol.atr_pct,vol,-0.16684681837336704,0.15697092288242728,0.04
trend.er60,trend,0.11926253687315637,0.11586114622840286,0.04
regime.hmm_bear,regime,-0.14484288043371046,0.14183315379619832,0.04
regime.chop48,regime,-0.12363674673409186,0.1316499157184997,0.06
regime.hmm_side,regime,0.14061525495153815,0.14151401179941003,0.06
vol.rv96,vol,-0.12233038348082598,0.1303000421407501,0.08
trend.er20,trend,0.12391550035467971,0.13094539950388584,0.08
struct.excess,struct,-0.11488612793444518,0.11904469549753502,0.08
trend.d_ema200,trend,0.13525073746312685,0.1484278866413822,0.12
mom.rsi48,mom,0.09643067846607671,0.1298754740834387,0.14
volu.vs_ma50,volu,-0.08739675516224191,0.12633212178676778,0.14
volu.z50,volu,-0.10539506953223769,0.15270917614833543,0.14
mom.tsmom96,mom,0.11292878213232198,0.15178086809945218,0.14
volu.up_share20,volu,0.10020438263801096,0.11086804677623263,0.14
regime.tod,regime,0.09184099845002892,0.11607869819788408,0.16
trend.align,trend,0.09420362745554511,0.13000253509449036,0.16
vol.rv_ratio,vol,-0.08001264222503161,0.15654498525073746,0.18
volu.vs_tod,volu,-0.08633270122208177,0.14342783396544453,0.2
vol.parkinson,vol,-0.09147387273493468,0.15018283817951955,0.2
trend.d_ema50,trend,0.06822166034555417,0.1389788769490097,0.26
struct.body,struct,-0.07259903076274758,0.11390755372945637,0.26
vol.atr_rank250,vol,-0.07702438324890032,0.15894577337979177,0.3
regime.hmm_bull,regime,-0.046806784660766966,0.10948103666245257,0.36
struct.d_hi55,struct,-0.049543826380109575,0.15053703118415507,0.38
trend.adx14,trend,0.06553202697008008,0.14545575221238932,0.38
struct.close_pos,struct,-0.05206502017112752,0.14708083747606043,0.42
trend.di_diff,trend,-0.0489338390223346,0.10670485672144964,0.44
vol.atr_ratio50,vol,-0.06471449641803625,0.14492156552886643,0.48
mom.roc5,mom,-0.05795828065739571,0.12756436999578594,0.48
struct.ch_width,struct,-0.050676359039190905,0.11873588284871471,0.48
struct.gap_open,struct,-0.035555962945054656,0.11153092484064674,0.52
regime.chop14,regime,-0.039395290611908926,0.11901865229105243,0.52
regime.hmm_edge,regime,0.031095214641950045,0.14371895733024279,0.6
trend.r2_50,trend,-0.0352117572692794,0.11442093341761482,0.6
mom.macd_hist,mom,-0.03456173619890435,0.13789659713442898,0.62
mom.roc60,mom,0.03793721028234303,0.1446516540244416,0.64
struct.pos_in_ch,struct,0.028414484212493873,0.11744702638757716,0.68
ffd.price,ffd,0.024369995785924994,0.16154361567635903,0.7
mom.roc20,mom,-0.013950695322376739,0.11165987147071219,0.78
mom.rsi14,mom,0.01807311420143279,0.1118593552465234,0.78
struct.upper_wick,struct,0.018405562387463305,0.12118680874189072,0.8
vol.vol_of_vol,vol,0.0085566793088917,0.10866714075010535,0.9
ffd.cvd,ffd,0.00974715549936789,0.10651854193004634,0.92
trend.up_share20,trend,0.003954887682795191,0.1245687849703128,0.96
regime.hmm_conf,regime,-0.005697971180938382,0.11574508993163285,0.96
