tf,arm,block,n,pf,pct,tot,dd,ret_dd
30m,"all hours, no flatten",research,158,1.7843255795653203,0.11926008127089001,18.843092840800622,746.4779773766886,10.022747224947944
30m,"all hours, no flatten",locked,87,1.6110867389743122,0.13836748133879642,12.037970876475288,3126.816632172503,1.7325620462499332
30m,"07:00-11:00, NO flatten",research,75,1.6830758023586134,0.10460201687334693,7.84515126550102,594.5949178992238,5.20096803355431
30m,"07:00-11:00, NO flatten",locked,39,2.852594376520374,0.3495448517969526,13.632249220081151,1019.1228521811363,5.80222657376998
30m,"all hours, flatten 11:00",research,108,1.3480966222111082,0.04617480729328173,4.986879187674427,669.996817705317,2.9834427100089016
30m,"all hours, flatten 11:00",locked,51,1.1698498963324038,0.017830131867081638,0.9093367252211635,1715.4010250724905,0.4262680641447647
30m,07:00-11:00 + flatten,research,76,1.3225059675963602,0.044023157743320204,3.3457599884923357,536.4156122520953,2.367880123417109
30m,07:00-11:00 + flatten,locked,39,1.5979366629657907,0.07199185923987558,2.8076825103551477,638.7405628729227,2.1609135705114975
15m,"all hours, no flatten",research,225,1.570288817050087,0.06966526706680078,15.674685090030174,797.984582990863,7.435126137094739
15m,"all hours, no flatten",locked,125,1.8689574945511114,0.1022427254794114,12.780340684926426,697.1404105342854,8.234518104377308
15m,"07:00-11:00, NO flatten",research,87,1.6789514104774397,0.09204148846488908,8.00760949644535,706.4080687209339,4.329684422921606
15m,"07:00-11:00, NO flatten",locked,45,1.8299666513321626,0.09420013067854388,4.239005880534474,670.7564537551375,3.028853514854256
15m,"all hours, flatten 11:00",research,147,1.3588050636054585,0.03687368055809399,5.420431042039816,712.7641099656688,3.0830249005786112
15m,"all hours, flatten 11:00",locked,76,1.3231635081984756,0.034492548412281304,2.621433679333379,1249.3406623884448,1.0567528718448016
15m,07:00-11:00 + flatten,research,87,1.151352606919311,0.017057249776176155,1.4839807305273254,876.0801600873781,0.7693634008330211
15m,07:00-11:00 + flatten,locked,45,1.8594817500288603,0.07963168847510567,3.583425981379755,388.2340820151576,4.264893439492502
